timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780915474.35, 4637.25, 567.57, 1463.20, 85.90
1780915478.99, 4861.74, 567.57, 1463.20, 84.80
1780915483.85, 4617.90, 567.57, 1463.20, 85.35
1780915488.48, 4767.22, 567.57, 1463.20, 85.35
1780915493.24, 4907.70, 567.57, 1463.20, 84.25
1780915498.15, 4902.51, 567.57, 1463.20, 83.70
1780915503.06, 5039.36, 567.57, 1463.20, 84.80
1780915508.09, 4729.02, 567.57, 1463.20, 84.25
1780915512.82, 4822.14, 567.57, 1463.20, 85.90
1780915517.65, 4778.27, 567.57, 1463.20, 84.80
1780915522.43, 4956.52, 567.57, 1463.20, 85.35
1780915527.39, 4819.40, 567.57, 1463.20, 84.80
1780915532.21, 4939.49, 567.57, 1463.20, 84.25
1780915537.15, 4929.10, 567.57, 1463.20, 85.90
1780915542.08, 4818.74, 567.57, 1463.20, 83.70
1780915546.90, 4818.89, 567.57, 1463.20, 84.80
1780915551.72, 5025.20, 567.57, 1463.20, 87.00
1780915556.75, 4985.02, 567.57, 1463.20, 84.25
1780915561.74, 4947.36, 567.57, 1463.20, 85.35
1780915566.69, 5023.91, 567.57, 1463.20, 85.35
1780915571.71, 4856.14, 567.57, 1463.20, 85.90
1780915576.57, 5071.39, 567.57, 1463.20, 85.35
1780915581.65, 4911.86, 567.57, 1463.20, 84.80
1780915586.57, 5092.61, 567.57, 1463.20, 84.80
1780915591.66, 5010.03, 567.57, 1463.20, 85.90
1780915596.68, 4822.55, 567.57, 1463.20, 85.35
1780915601.50, 4839.80, 567.57, 1463.20, 85.35
1780915606.34, 4762.35, 567.57, 1463.20, 84.80
1780915611.11, 4711.61, 567.57, 1463.20, 85.35
1780915615.82, 4757.64, 567.57, 1463.20, 83.70
1780915620.58, 4667.26, 567.57, 1463.20, 84.80
1780915625.25, 4650.62, 567.57, 1463.20, 84.25
1780915629.90, 4845.07, 567.57, 1463.20, 85.90
1780915634.75, 4657.21, 567.57, 1463.20, 85.90
1780915639.41, 4806.75, 567.57, 1463.20, 84.80
1780915644.22, 4924.52, 567.57, 1463.20, 85.90
1780915649.15, 4834.87, 567.57, 1463.20, 85.35
1780915653.99, 4739.82, 567.57, 1463.20, 85.35
1780915658.73, 4866.05, 567.57, 1463.20, 85.90
1780915663.59, 4824.69, 567.57, 1463.20, 85.90
1780915668.42, 4834.75, 567.57, 1463.20, 85.35
1780915673.26, 4886.11, 567.57, 1463.20, 85.35
1780915678.15, 4880.07, 567.57, 1463.20, 85.35
1780915683.03, 4710.61, 567.57, 1463.20, 84.25
1780915687.74, 4787.27, 567.57, 1463.20, 84.80
1780915692.53, 4891.50, 567.57, 1463.20, 85.35
1780915697.42, 4979.59, 567.57, 1463.20, 85.90
1780915702.41, 4921.88, 567.57, 1463.20, 85.90
1780915707.33, 5167.63, 567.57, 1463.20, 85.35
1780915712.50, 4964.74, 567.57, 1463.20, 85.35
1780915717.47, 4871.39, 567.57, 1463.20, 85.90
1780915722.34, 4797.52, 567.57, 1463.20, 85.35
1780915727.15, 4820.84, 567.57, 1463.20, 85.35
1780915731.97, 5104.26, 567.57, 1463.20, 85.90
1780915737.07, 4933.71, 567.57, 1463.20, 85.35
