timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780906348.29, 2368.22, 420.95, 1324.95, 84.80
1780906350.66, 2339.87, 420.95, 1324.95, 85.35
1780906353.01, 2318.87, 420.95, 1324.95, 84.25
1780906355.33, 2418.32, 420.95, 1324.95, 85.35
1780906357.75, 2373.59, 420.95, 1324.95, 84.25
1780906360.13, 2495.90, 420.95, 1324.95, 84.25
1780906362.63, 2561.64, 420.95, 1324.95, 84.80
1780906365.19, 2397.97, 420.95, 1324.95, 84.80
1780906367.59, 2217.59, 420.95, 1324.95, 84.25
1780906369.81, 2549.31, 420.95, 1324.95, 84.80
1780906372.36, 2266.31, 420.95, 1324.95, 83.70
1780906374.63, 2523.68, 420.95, 1324.95, 85.90
1780906377.16, 2342.69, 420.95, 1324.95, 84.80
1780906379.50, 2301.69, 420.95, 1324.95, 84.25
1780906381.81, 2359.63, 420.95, 1324.95, 83.70
1780906384.17, 2301.49, 420.95, 1324.95, 84.25
1780906386.47, 2405.81, 420.95, 1324.95, 84.80
1780906388.88, 2522.14, 420.95, 1324.95, 84.80
1780906391.40, 2456.47, 420.95, 1324.95, 84.80
1780906393.86, 2329.58, 420.95, 1324.95, 84.80
1780906396.19, 2337.32, 420.95, 1324.95, 84.25
1780906398.53, 2426.46, 420.95, 1324.95, 86.45
1780906400.97, 2451.68, 420.95, 1324.95, 84.80
1780906403.42, 2385.34, 420.95, 1324.95, 83.15
1780906405.81, 2261.67, 420.95, 1324.95, 84.80
1780906408.07, 2320.11, 420.95, 1324.95, 84.25
1780906410.40, 2572.88, 420.95, 1324.95, 84.80
1780906412.98, 2539.81, 420.95, 1324.95, 84.80
1780906415.52, 2453.37, 420.95, 1324.95, 84.80
1780906417.98, 2261.35, 420.95, 1324.95, 85.35
1780906420.24, 2482.18, 420.95, 1324.95, 86.45
1780906422.72, 2312.58, 420.95, 1324.95, 85.35
1780906425.04, 2398.62, 420.95, 1324.95, 84.80
1780906427.44, 2346.78, 420.95, 1324.95, 84.80
1780906429.79, 2263.71, 420.95, 1324.95, 84.80
1780906432.05, 2598.48, 420.95, 1324.95, 84.80
1780906434.65, 2477.68, 420.95, 1324.95, 84.25
1780906437.13, 2303.66, 420.95, 1324.95, 84.80
1780906439.44, 2308.30, 420.95, 1324.95, 85.90
1780906441.75, 2406.49, 420.95, 1324.95, 87.00
1780906444.16, 2440.78, 420.95, 1324.95, 85.90
1780906446.60, 2296.16, 420.95, 1324.95, 84.25
1780906448.90, 2352.67, 420.95, 1324.95, 85.90
1780906451.26, 2313.35, 420.95, 1324.95, 85.90
1780906453.58, 2606.85, 420.95, 1324.95, 84.80
1780906456.19, 2447.28, 420.95, 1324.95, 84.80
1780906458.63, 2388.77, 420.95, 1324.95, 85.90
