timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780916645.15, 583.09, 321.95, 1223.27, 85.35
1780916645.74, 632.84, 321.95, 1223.27, 86.45
1780916646.38, 714.60, 321.95, 1223.27, 84.25
1780916647.09, 726.14, 321.95, 1223.27, 83.70
1780916647.82, 589.74, 321.95, 1223.27, 84.25
1780916648.41, 715.63, 321.95, 1223.27, 85.90
1780916649.13, 659.88, 321.95, 1223.27, 85.35
1780916649.80, 558.38, 321.95, 1223.27, 87.55
1780916650.36, 641.28, 321.95, 1223.27, 85.90
1780916651.00, 658.25, 321.95, 1223.27, 87.55
1780916651.66, 725.61, 321.95, 1223.27, 85.90
1780916652.39, 652.21, 321.95, 1223.27, 85.90
1780916653.04, 704.70, 321.95, 1223.27, 86.45
1780916653.75, 662.70, 321.95, 1223.27, 85.35
1780916654.42, 664.13, 321.95, 1223.27, 85.35
1780916655.08, 626.79, 321.95, 1223.27, 85.35
1780916655.71, 680.75, 321.95, 1223.27, 86.45
1780916656.40, 609.25, 321.95, 1223.27, 85.35
1780916657.01, 666.69, 321.95, 1223.27, 87.55
1780916657.68, 628.53, 321.95, 1223.27, 87.00
1780916658.31, 586.51, 321.95, 1223.27, 85.90
1780916658.90, 686.10, 321.95, 1223.27, 85.90
1780916659.59, 734.71, 321.95, 1223.27, 85.90
1780916660.32, 617.20, 321.95, 1223.27, 86.45
1780916660.94, 577.66, 321.95, 1223.27, 85.90
1780916661.52, 652.74, 321.95, 1223.27, 86.45
1780916662.18, 656.84, 321.95, 1223.27, 86.45
1780916662.84, 645.80, 321.95, 1223.27, 85.90
1780916663.49, 642.80, 321.95, 1223.27, 85.35
1780916664.13, 638.18, 321.95, 1223.27, 85.90
1780916664.77, 683.12, 321.95, 1223.27, 86.45
1780916665.46, 654.69, 321.95, 1223.27, 86.45
1780916666.12, 575.72, 321.95, 1223.27, 86.45
1780916666.69, 632.16, 321.95, 1223.27, 87.00
1780916667.33, 583.20, 321.95, 1223.27, 86.45
1780916667.91, 717.25, 321.95, 1223.27, 86.45
1780916668.63, 702.79, 321.95, 1223.27, 88.10
1780916669.34, 617.14, 321.95, 1223.27, 86.45
1780916669.95, 661.79, 321.95, 1223.27, 86.45
1780916670.62, 693.62, 321.95, 1223.27, 86.45
1780916671.31, 614.79, 321.95, 1223.27, 85.90
1780916671.93, 671.29, 321.95, 1223.27, 86.45
1780916672.60, 597.87, 321.95, 1223.27, 88.10
1780916673.20, 616.24, 321.95, 1223.27, 86.45
1780916673.82, 611.55, 321.95, 1223.27, 86.45
1780916674.44, 624.27, 321.95, 1223.27, 87.00
1780916675.06, 579.74, 321.95, 1223.27, 86.45
1780916675.65, 595.11, 321.95, 1223.27, 87.00
1780916676.24, 749.78, 321.95, 1223.27, 87.00
1780916676.99, 564.33, 321.95, 1223.27, 86.45
1780916677.56, 639.28, 321.95, 1223.27, 86.45
1780916678.21, 626.67, 321.95, 1223.27, 87.00
1780916678.84, 704.31, 321.95, 1223.27, 86.45
1780916679.54, 727.73, 321.95, 1223.27, 87.55
1780916680.27, 590.16, 321.95, 1223.27, 86.45
1780916680.87, 649.65, 321.95, 1223.27, 86.45
1780916681.52, 669.61, 321.95, 1223.27, 87.00
1780916682.19, 604.20, 321.95, 1223.27, 89.20
1780916682.80, 585.75, 321.95, 1223.27, 87.00
1780916683.39, 655.71, 321.95, 1223.27, 86.45
1780916684.04, 711.78, 321.95, 1223.27, 87.55
1780916684.76, 627.30, 321.95, 1223.27, 87.00
1780916685.39, 673.26, 321.95, 1223.27, 88.65
1780916686.07, 630.26, 321.95, 1223.27, 87.00
1780916686.70, 663.83, 321.95, 1223.27, 88.10
1780916687.37, 610.29, 321.95, 1223.27, 87.55
1780916687.98, 597.58, 321.95, 1223.27, 89.20
1780916688.58, 658.78, 321.95, 1223.27, 88.10
1780916689.24, 667.10, 321.95, 1223.27, 88.10
1780916689.91, 636.27, 321.95, 1223.27, 89.20
1780916690.55, 607.76, 321.95, 1223.27, 88.10
1780916691.16, 689.64, 321.95, 1223.27, 87.55
1780916691.85, 624.59, 321.95, 1223.27, 86.45
1780916692.48, 589.38, 321.95, 1223.27, 88.10
1780916693.07, 595.69, 321.95, 1223.27, 88.10
1780916693.67, 595.66, 321.95, 1223.27, 89.20
1780916694.27, 614.64, 321.95, 1223.27, 88.10
1780916694.89, 606.70, 321.95, 1223.27, 88.65
1780916695.50, 598.15, 321.95, 1223.27, 87.00
1780916696.10, 656.65, 321.95, 1223.27, 89.20
1780916696.76, 675.17, 321.95, 1223.27, 88.10
1780916697.44, 631.26, 321.95, 1223.27, 89.20
1780916698.07, 669.33, 321.95, 1223.27, 88.65
1780916698.74, 598.61, 321.95, 1223.27, 88.10
1780916699.34, 594.25, 321.95, 1223.27, 87.55
1780916699.94, 630.94, 321.95, 1223.27, 86.45
1780916700.57, 682.70, 321.95, 1223.27, 89.20
1780916701.26, 670.30, 321.95, 1223.27, 89.20
1780916701.93, 603.79, 321.95, 1223.27, 88.65
1780916702.53, 587.18, 321.95, 1223.27, 88.65
1780916703.12, 756.25, 321.95, 1223.27, 88.65
1780916703.88, 790.90, 321.95, 1223.27, 87.00
1780916704.67, 638.04, 321.95, 1223.27, 88.65
1780916705.31, 575.29, 321.95, 1223.27, 89.75
1780916705.89, 643.67, 321.95, 1223.27, 88.10
1780916706.54, 686.74, 321.95, 1223.27, 88.65
1780916707.23, 629.72, 321.95, 1223.27, 88.65
1780916707.86, 694.72, 321.95, 1223.27, 88.65
1780916708.56, 621.72, 321.95, 1223.27, 88.65
1780916709.18, 633.92, 321.95, 1223.27, 88.65
1780916709.81, 634.09, 321.95, 1223.27, 88.65
1780916710.45, 595.70, 321.95, 1223.27, 88.65
1780916711.05, 631.63, 321.95, 1223.27, 88.65
1780916711.69, 628.90, 321.95, 1223.27, 88.10
1780916712.32, 624.72, 321.95, 1223.27, 88.10
1780916712.94, 696.90, 321.95, 1223.27, 88.65
1780916713.65, 564.75, 321.95, 1223.27, 88.10
1780916714.21, 683.29, 321.95, 1223.27, 89.20
1780916714.90, 601.74, 321.95, 1223.27, 88.65
1780916715.50, 718.45, 321.95, 1223.27, 88.65
1780916716.22, 623.04, 321.95, 1223.27, 88.65
1780916716.85, 560.03, 321.95, 1223.27, 88.65
1780916717.41, 691.31, 321.95, 1223.27, 88.65
1780916718.10, 546.64, 321.95, 1223.27, 88.65
1780916718.65, 652.26, 321.95, 1223.27, 88.65
1780916719.31, 607.47, 321.95, 1223.27, 89.20
1780916719.92, 676.31, 321.95, 1223.27, 89.20
1780916720.60, 612.74, 321.95, 1223.27, 88.65
1780916721.21, 618.66, 321.95, 1223.27, 89.20
1780916721.84, 713.27, 321.95, 1223.27, 88.65
1780916722.55, 647.10, 321.95, 1223.27, 88.65
1780916723.20, 610.55, 321.95, 1223.27, 89.20
1780916723.81, 620.27, 321.95, 1223.27, 89.20
1780916724.43, 772.55, 321.95, 1223.27, 89.20
1780916725.21, 685.15, 321.95, 1223.27, 88.65
1780916725.90, 634.13, 321.95, 1223.27, 88.65
1780916726.53, 649.69, 321.95, 1223.27, 88.65
1780916727.19, 612.44, 321.95, 1223.27, 88.10
1780916727.80, 617.91, 321.95, 1223.27, 89.20
1780916728.42, 679.86, 321.95, 1223.27, 88.65
1780916729.10, 703.64, 321.95, 1223.27, 88.65
1780916729.81, 666.00, 321.95, 1223.27, 89.20
1780916730.48, 613.21, 321.95, 1223.27, 88.65
1780916731.09, 677.76, 321.95, 1223.27, 89.20
1780916731.77, 590.06, 321.95, 1223.27, 89.20
1780916732.37, 650.27, 321.95, 1223.27, 89.75
1780916733.02, 647.26, 321.95, 1223.27, 89.20
1780916733.67, 650.09, 321.95, 1223.27, 88.65
1780916734.32, 622.69, 321.95, 1223.27, 88.65
1780916734.94, 660.75, 321.95, 1223.27, 88.10
1780916735.61, 639.23, 321.95, 1223.27, 87.55
1780916736.25, 612.27, 321.95, 1223.27, 89.20
1780916736.86, 672.79, 321.95, 1223.27, 88.65
1780916737.54, 706.93, 321.95, 1223.27, 88.65
1780916738.25, 687.26, 321.95, 1223.27, 87.55
1780916738.94, 616.82, 321.95, 1223.27, 88.65
1780916739.56, 626.77, 321.95, 1223.27, 89.20
1780916740.19, 648.81, 321.95, 1223.27, 89.75
1780916740.84, 610.86, 321.95, 1223.27, 89.20
1780916741.46, 575.61, 321.95, 1223.27, 88.10
1780916742.04, 714.68, 321.95, 1223.27, 88.65
1780916742.75, 740.82, 321.95, 1223.27, 91.95
1780916743.50, 694.29, 321.95, 1223.27, 88.10
1780916744.19, 656.52, 321.95, 1223.27, 87.55
1780916744.85, 603.67, 321.95, 1223.27, 88.65
1780916745.46, 676.54, 321.95, 1223.27, 88.10
1780916746.14, 678.24, 321.95, 1223.27, 88.65
1780916746.82, 661.02, 321.95, 1223.27, 88.10
1780916747.48, 671.57, 321.95, 1223.27, 88.65
1780916748.16, 654.30, 321.95, 1223.27, 88.10
1780916748.82, 716.72, 321.95, 1223.27, 88.65
1780916749.54, 654.65, 321.95, 1223.27, 89.75
1780916750.19, 569.70, 321.95, 1223.27, 89.75
1780916750.77, 591.23, 321.95, 1223.27, 89.20
