timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780916213.93, 1130.72, 355.07, 1239.42, 85.90
1780916215.06, 1109.86, 355.07, 1239.42, 85.90
1780916216.18, 1056.20, 355.07, 1239.42, 84.80
1780916217.23, 1149.29, 355.07, 1239.42, 84.80
1780916218.38, 1108.24, 355.07, 1239.42, 85.90
1780916219.49, 1120.33, 355.07, 1239.42, 84.80
1780916220.61, 1236.32, 355.07, 1239.42, 85.90
1780916221.85, 1094.15, 355.07, 1239.42, 87.00
1780916222.95, 1111.27, 355.07, 1239.42, 84.25
1780916224.06, 1040.16, 355.07, 1239.42, 85.35
1780916225.10, 1085.35, 355.07, 1239.42, 86.45
1780916226.19, 1105.37, 355.07, 1239.42, 85.35
1780916227.30, 1097.27, 355.07, 1239.42, 84.80
1780916228.39, 1198.01, 355.07, 1239.42, 84.80
1780916229.59, 1220.60, 355.07, 1239.42, 86.45
1780916230.82, 1055.36, 355.07, 1239.42, 84.80
1780916231.88, 1068.36, 355.07, 1239.42, 85.35
1780916232.95, 1086.25, 355.07, 1239.42, 85.90
1780916234.04, 1170.29, 355.07, 1239.42, 85.90
1780916235.21, 1204.33, 355.07, 1239.42, 85.35
1780916236.42, 1092.17, 355.07, 1239.42, 85.90
1780916237.51, 1046.27, 355.07, 1239.42, 86.45
1780916238.56, 1180.51, 355.07, 1239.42, 84.80
1780916239.74, 1072.34, 355.07, 1239.42, 85.35
1780916240.82, 1060.33, 355.07, 1239.42, 85.35
1780916241.88, 1038.27, 355.07, 1239.42, 86.45
1780916242.92, 1091.26, 355.07, 1239.42, 85.35
1780916244.02, 1085.25, 355.07, 1239.42, 85.35
1780916245.10, 1073.32, 355.07, 1239.42, 85.90
1780916246.18, 1054.26, 355.07, 1239.42, 85.90
1780916247.24, 1118.44, 355.07, 1239.42, 85.90
1780916248.36, 1246.01, 355.07, 1239.42, 85.90
1780916249.60, 1145.24, 355.07, 1239.42, 85.90
1780916250.75, 1043.73, 355.07, 1239.42, 85.90
1780916251.80, 1098.32, 355.07, 1239.42, 87.00
1780916252.90, 1069.30, 355.07, 1239.42, 87.00
1780916253.97, 1123.15, 355.07, 1239.42, 85.35
1780916255.09, 1127.45, 355.07, 1239.42, 87.00
1780916256.22, 1075.06, 355.07, 1239.42, 85.35
1780916257.30, 1184.21, 355.07, 1239.42, 86.45
1780916258.48, 1281.05, 355.07, 1239.42, 85.90
1780916259.76, 1152.27, 355.07, 1239.42, 84.25
1780916260.92, 1071.41, 355.07, 1239.42, 85.90
1780916261.99, 1087.53, 355.07, 1239.42, 85.90
1780916263.08, 1174.28, 355.07, 1239.42, 86.45
1780916264.25, 1156.17, 355.07, 1239.42, 86.45
1780916265.41, 1067.22, 355.07, 1239.42, 85.90
1780916266.48, 1084.34, 355.07, 1239.42, 85.90
1780916267.57, 1115.82, 355.07, 1239.42, 86.45
1780916268.69, 1208.08, 355.07, 1239.42, 87.55
1780916269.90, 1150.30, 355.07, 1239.42, 84.25
1780916271.05, 1296.22, 355.07, 1239.42, 85.35
1780916272.35, 1238.72, 355.07, 1239.42, 85.35
1780916273.59, 1062.27, 355.07, 1239.42, 85.90
1780916274.66, 1161.43, 355.07, 1239.42, 87.00
1780916275.82, 1076.95, 355.07, 1239.42, 84.80
1780916276.90, 1074.38, 355.07, 1239.42, 85.35
1780916277.97, 1199.23, 355.07, 1239.42, 84.80
1780916279.17, 1127.33, 355.07, 1239.42, 87.00
1780916280.30, 1072.15, 355.07, 1239.42, 85.35
1780916281.38, 1078.28, 355.07, 1239.42, 87.00
1780916282.46, 1013.10, 355.07, 1239.42, 87.55
1780916283.47, 1078.36, 355.07, 1239.42, 86.45
1780916284.55, 1114.02, 355.07, 1239.42, 87.00
1780916285.67, 1090.08, 355.07, 1239.42, 86.45
1780916286.76, 1138.28, 355.07, 1239.42, 87.00
1780916287.90, 1078.36, 355.07, 1239.42, 86.45
1780916288.98, 1211.17, 355.07, 1239.42, 87.00
1780916290.19, 1089.44, 355.07, 1239.42, 86.45
1780916291.29, 1079.32, 355.07, 1239.42, 86.45
1780916292.37, 957.35, 355.07, 1239.42, 84.80
1780916293.33, 951.18, 355.07, 1239.42, 88.10
1780916294.28, 1085.09, 355.07, 1239.42, 85.90
1780916295.37, 1140.20, 355.07, 1239.42, 85.90
1780916296.51, 1205.31, 355.07, 1239.42, 87.00
1780916297.72, 1118.29, 355.07, 1239.42, 86.45
