timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780907618.96, 2785.70, 481.99, 1461.59, 84.80
1780907621.74, 2679.05, 481.99, 1461.59, 85.35
1780907624.42, 2712.96, 481.99, 1461.59, 84.25
1780907627.14, 2726.34, 481.99, 1461.59, 84.80
1780907629.87, 2840.70, 481.99, 1461.59, 85.90
1780907632.71, 2727.74, 481.99, 1461.59, 85.35
1780907635.44, 2820.22, 481.99, 1461.59, 85.90
1780907638.26, 2663.83, 481.99, 1461.59, 84.25
1780907640.92, 2811.90, 481.99, 1461.59, 85.35
1780907643.74, 2672.32, 481.99, 1461.59, 84.80
1780907646.41, 2732.23, 481.99, 1461.59, 84.80
1780907649.15, 2820.22, 481.99, 1461.59, 84.80
1780907651.97, 2872.35, 481.99, 1461.59, 85.35
1780907654.85, 2849.25, 481.99, 1461.59, 85.90
1780907657.70, 2681.31, 481.99, 1461.59, 84.25
1780907660.38, 2865.25, 481.99, 1461.59, 84.80
1780907663.25, 2816.61, 481.99, 1461.59, 84.80
1780907666.07, 2902.32, 481.99, 1461.59, 85.35
1780907668.98, 2912.76, 481.99, 1461.59, 84.80
1780907671.90, 2640.75, 481.99, 1461.59, 86.45
1780907674.54, 2837.86, 481.99, 1461.59, 84.80
1780907677.38, 2792.11, 481.99, 1461.59, 85.90
1780907680.17, 2689.35, 481.99, 1461.59, 85.90
1780907682.86, 2909.19, 481.99, 1461.59, 84.25
1780907685.78, 2810.29, 481.99, 1461.59, 84.80
1780907688.59, 2751.16, 481.99, 1461.59, 85.90
1780907691.34, 2788.02, 481.99, 1461.59, 83.15
1780907694.13, 2695.21, 481.99, 1461.59, 85.35
1780907696.83, 2713.15, 481.99, 1461.59, 84.80
1780907699.54, 2765.02, 481.99, 1461.59, 85.35
1780907702.31, 2777.05, 481.99, 1461.59, 85.90
1780907705.08, 2838.52, 481.99, 1461.59, 84.25
1780907707.93, 2746.27, 481.99, 1461.59, 85.90
1780907710.68, 2881.36, 481.99, 1461.59, 84.80
1780907713.56, 2829.15, 481.99, 1461.59, 84.25
1780907716.39, 2898.21, 481.99, 1461.59, 85.90
1780907719.29, 3003.32, 481.99, 1461.59, 85.90
1780907722.30, 2910.32, 481.99, 1461.59, 86.45
1780907725.21, 2966.26, 481.99, 1461.59, 84.25
1780907728.18, 2757.30, 481.99, 1461.59, 85.35
1780907730.94, 2973.31, 481.99, 1461.59, 84.80
1780907733.92, 2865.15, 481.99, 1461.59, 87.00
1780907736.78, 2675.26, 481.99, 1461.59, 85.90
1780907739.46, 2731.14, 481.99, 1461.59, 85.90
1780907742.19, 2651.10, 481.99, 1461.59, 85.90
1780907744.84, 2648.28, 481.99, 1461.59, 85.35
1780907747.50, 2690.36, 481.99, 1461.59, 85.90
1780907750.19, 2717.44, 481.99, 1461.59, 85.90
1780907752.91, 2748.25, 481.99, 1461.59, 85.35
1780907755.66, 2953.14, 481.99, 1461.59, 85.90
1780907758.61, 2752.91, 481.99, 1461.59, 87.00
1780907761.37, 2935.79, 481.99, 1461.59, 85.90
1780907764.31, 2786.29, 481.99, 1461.59, 87.00
1780907767.10, 2840.13, 481.99, 1461.59, 84.25
1780907769.94, 2841.11, 481.99, 1461.59, 85.35
1780907772.78, 2977.12, 481.99, 1461.59, 86.45
1780907775.76, 2712.33, 481.99, 1461.59, 85.90
1780907778.47, 2910.42, 481.99, 1461.59, 87.00
1780907781.39, 2952.41, 481.99, 1461.59, 85.90
1780907784.34, 3018.39, 481.99, 1461.59, 84.80
1780907787.36, 2810.17, 481.99, 1461.59, 85.90
1780907790.17, 2973.90, 481.99, 1461.59, 85.90
1780907793.15, 3004.83, 481.99, 1461.59, 87.55
1780907796.16, 2797.56, 481.99, 1461.59, 87.00
1780907798.96, 2826.47, 481.99, 1461.59, 85.90
1780907801.79, 2665.86, 481.99, 1461.59, 86.45
1780907804.46, 2781.36, 481.99, 1461.59, 85.90
1780907807.24, 2717.12, 481.99, 1461.59, 84.80
1780907809.96, 2795.34, 481.99, 1461.59, 86.45
1780907812.76, 2818.22, 481.99, 1461.59, 86.45
1780907815.58, 2698.29, 481.99, 1461.59, 84.80
1780907818.28, 2919.54, 481.99, 1461.59, 85.90
1780907821.20, 2785.61, 481.99, 1461.59, 86.45
1780907823.99, 2883.06, 481.99, 1461.59, 87.00
1780907826.87, 2923.18, 481.99, 1461.59, 85.90
1780907829.80, 2842.21, 481.99, 1461.59, 86.45
1780907832.64, 2803.33, 481.99, 1461.59, 85.90
1780907835.45, 2843.37, 481.99, 1461.59, 86.45
1780907838.29, 2857.24, 481.99, 1461.59, 87.00
1780907841.15, 2870.77, 481.99, 1461.59, 85.90
1780907844.03, 2817.02, 481.99, 1461.59, 85.90
1780907846.85, 2959.37, 481.99, 1461.59, 87.00
1780907849.81, 2806.33, 481.99, 1461.59, 86.45
1780907852.62, 2883.33, 481.99, 1461.59, 85.90
1780907855.51, 2981.32, 481.99, 1461.59, 85.35
1780907858.49, 2884.36, 481.99, 1461.59, 86.45
1780907861.38, 2763.15, 481.99, 1461.59, 86.45
1780907864.14, 2827.33, 481.99, 1461.59, 84.80
1780907866.98, 2851.39, 481.99, 1461.59, 85.90
1780907869.83, 2815.26, 481.99, 1461.59, 86.45
1780907872.65, 2918.33, 481.99, 1461.59, 85.90
1780907875.57, 2814.37, 481.99, 1461.59, 87.00
1780907878.39, 2752.38, 481.99, 1461.59, 86.45
1780907881.14, 2706.51, 481.99, 1461.59, 86.45
1780907883.85, 2861.42, 481.99, 1461.59, 85.90
1780907886.72, 2939.58, 481.99, 1461.59, 86.45
1780907889.66, 2745.38, 481.99, 1461.59, 85.35
1780907892.41, 2759.16, 481.99, 1461.59, 85.90
1780907895.17, 2908.63, 481.99, 1461.59, 85.90
1780907898.08, 2903.44, 481.99, 1461.59, 87.55
1780907900.98, 2972.05, 481.99, 1461.59, 85.90
1780907903.96, 2698.04, 481.99, 1461.59, 86.45
1780907906.66, 2896.21, 481.99, 1461.59, 85.35
1780907909.56, 2708.08, 481.99, 1461.59, 87.00
1780907912.27, 2929.44, 481.99, 1461.59, 86.45
1780907915.20, 2763.33, 481.99, 1461.59, 87.00
1780907917.97, 2889.32, 481.99, 1461.59, 87.55
1780907920.86, 2905.62, 481.99, 1461.59, 87.00
1780907923.76, 2834.66, 481.99, 1461.59, 87.00
1780907926.60, 2767.21, 481.99, 1461.59, 87.00
1780907929.37, 2942.22, 481.99, 1461.59, 87.00
