timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780911791.44, 783.70, 328.91, 1231.60, 79.85
1780911792.23, 887.09, 329.03, 1231.60, 78.20
1780911793.12, 828.40, 329.03, 1231.60, 76.55
1780911793.95, 735.06, 329.03, 1231.60, 79.30
1780911794.68, 761.13, 329.03, 1231.60, 79.30
1780911795.44, 767.34, 329.03, 1231.60, 78.20
1780911796.21, 830.41, 329.03, 1231.60, 79.30
1780911797.05, 749.16, 329.03, 1231.60, 79.85
1780911797.80, 738.51, 329.03, 1231.60, 78.20
1780911798.54, 842.40, 329.03, 1231.60, 79.85
1780911799.38, 780.01, 329.03, 1231.60, 80.95
1780911800.17, 718.32, 329.03, 1231.60, 79.30
1780911800.89, 795.62, 329.03, 1231.60, 79.30
1780911801.69, 802.72, 329.03, 1231.60, 80.95
1780911802.49, 824.38, 329.03, 1231.60, 80.40
1780911803.32, 721.20, 329.03, 1231.60, 83.15
1780911804.05, 810.24, 329.03, 1231.60, 82.05
1780911804.86, 826.25, 329.03, 1231.60, 82.05
1780911805.69, 703.21, 329.03, 1231.60, 82.60
1780911806.39, 733.18, 329.03, 1231.60, 83.15
1780911807.13, 790.49, 329.03, 1231.60, 82.05
1780911807.92, 713.23, 329.03, 1231.60, 81.50
1780911808.64, 777.17, 329.03, 1231.60, 82.05
1780911809.41, 693.31, 329.03, 1231.60, 83.70
1780911810.11, 706.23, 329.03, 1231.60, 83.70
1780911810.82, 744.09, 329.03, 1231.60, 82.60
1780911811.56, 785.37, 329.03, 1231.60, 82.05
1780911812.35, 800.20, 329.03, 1231.60, 82.60
1780911813.15, 779.23, 329.03, 1231.60, 82.60
1780911813.93, 744.23, 329.03, 1231.60, 82.60
1780911814.68, 816.21, 329.03, 1231.60, 83.15
1780911815.50, 778.82, 329.03, 1231.60, 83.70
1780911816.28, 761.68, 329.03, 1231.60, 83.15
1780911817.05, 824.26, 329.03, 1231.60, 84.25
1780911817.87, 786.04, 329.03, 1231.60, 83.70
1780911818.66, 786.72, 329.03, 1231.60, 84.80
1780911819.45, 774.63, 329.03, 1231.60, 84.25
1780911820.23, 784.37, 329.03, 1231.60, 83.15
1780911821.02, 748.15, 329.03, 1231.60, 84.25
1780911821.77, 825.39, 329.03, 1231.60, 84.25
1780911822.59, 792.10, 329.03, 1231.60, 84.25
1780911823.39, 762.17, 329.03, 1231.60, 84.25
1780911824.15, 729.28, 329.03, 1231.60, 84.80
1780911824.88, 782.58, 329.03, 1231.60, 85.35
1780911825.67, 822.89, 329.03, 1231.60, 83.70
1780911826.50, 853.41, 329.03, 1231.60, 84.25
1780911827.35, 762.95, 329.03, 1231.60, 84.80
1780911828.12, 736.30, 329.03, 1231.60, 84.25
1780911828.86, 887.35, 329.03, 1231.60, 83.70
1780911829.75, 783.34, 329.03, 1231.60, 84.25
1780911830.53, 951.11, 329.03, 1231.60, 84.80
1780911831.49, 859.39, 329.03, 1231.60, 84.80
1780911832.35, 846.35, 329.03, 1231.60, 84.80
1780911833.20, 889.05, 329.03, 1231.60, 83.70
1780911834.09, 785.19, 329.03, 1231.60, 84.80
1780911834.87, 796.32, 329.03, 1231.60, 83.70
1780911835.67, 825.88, 329.03, 1231.60, 84.25
1780911836.50, 893.22, 329.03, 1231.60, 84.80
1780911837.40, 836.46, 329.03, 1231.60, 83.70
1780911838.24, 842.13, 329.03, 1231.60, 83.15
1780911839.08, 896.12, 329.03, 1231.60, 84.25
1780911839.98, 818.33, 329.03, 1231.60, 84.80
1780911840.80, 796.32, 329.03, 1231.60, 85.35
1780911841.60, 782.16, 329.03, 1231.60, 85.35
1780911842.39, 865.31, 329.03, 1231.60, 85.35
1780911843.26, 904.52, 329.03, 1231.60, 87.00
1780911844.17, 785.82, 329.03, 1231.60, 84.80
1780911844.96, 766.26, 329.03, 1231.60, 84.25
1780911845.72, 865.26, 329.03, 1231.60, 84.80
1780911846.59, 821.25, 329.03, 1231.60, 84.25
1780911847.41, 950.02, 329.03, 1231.60, 83.70
1780911848.37, 821.08, 329.03, 1231.60, 83.15
1780911849.19, 801.18, 329.03, 1231.60, 84.80
1780911849.99, 814.66, 329.03, 1231.60, 84.25
1780911850.81, 758.09, 329.03, 1231.60, 84.80
1780911851.57, 850.28, 329.03, 1231.60, 84.25
1780911852.42, 882.98, 329.03, 1231.60, 85.35
1780911853.31, 795.40, 329.03, 1231.60, 84.25
1780911854.11, 858.27, 329.03, 1231.60, 85.35
1780911854.97, 755.43, 329.03, 1231.60, 84.80
1780911855.73, 807.16, 329.03, 1231.60, 85.35
1780911856.54, 767.43, 329.03, 1231.60, 84.80
1780911857.31, 788.87, 329.03, 1231.60, 84.25
1780911858.10, 811.15, 329.03, 1231.60, 84.80
1780911858.92, 860.25, 329.03, 1231.60, 84.80
1780911859.78, 884.04, 329.03, 1231.60, 84.25
1780911860.67, 890.95, 329.03, 1231.60, 85.90
1780911861.56, 772.45, 329.03, 1231.60, 85.35
1780911862.33, 749.24, 329.03, 1231.60, 83.70
1780911863.09, 860.90, 329.03, 1231.60, 86.45
1780911863.95, 802.56, 329.03, 1231.60, 84.80
1780911864.76, 791.83, 329.03, 1231.60, 84.80
1780911865.55, 847.94, 329.03, 1231.60, 84.80
1780911866.40, 733.31, 329.03, 1231.60, 85.35
1780911867.14, 771.45, 329.03, 1231.60, 85.35
1780911867.91, 906.13, 329.03, 1231.60, 84.25
1780911868.82, 758.12, 329.03, 1231.60, 85.35
1780911869.58, 857.25, 329.03, 1231.60, 83.70
1780911870.44, 847.04, 329.03, 1231.60, 85.35
1780911871.29, 834.24, 329.03, 1231.60, 83.70
