timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780910350.61, 1425.59, 386.07, 1307.96, 83.15
1780910352.03, 1406.03, 386.07, 1307.96, 84.25
1780910353.44, 1462.15, 386.07, 1307.96, 84.25
1780910354.90, 1412.19, 386.07, 1307.96, 84.25
1780910356.32, 1612.38, 386.07, 1307.96, 84.25
1780910357.93, 1463.31, 386.07, 1307.96, 85.35
1780910359.40, 1529.28, 386.07, 1307.96, 84.25
1780910360.93, 1441.26, 386.07, 1307.96, 84.80
1780910362.37, 1493.17, 386.07, 1307.96, 83.70
1780910363.87, 1572.26, 386.07, 1307.96, 84.25
1780910365.44, 1654.36, 386.07, 1307.96, 83.70
1780910367.10, 1566.26, 386.07, 1307.96, 84.80
1780910368.67, 1484.15, 386.07, 1307.96, 84.25
1780910370.15, 1493.98, 386.07, 1307.96, 84.80
1780910371.65, 1457.21, 386.07, 1307.96, 84.25
1780910373.11, 1462.13, 386.07, 1307.96, 84.25
1780910374.57, 1569.08, 386.07, 1307.96, 83.70
1780910376.14, 1603.14, 386.07, 1307.96, 83.15
1780910377.75, 1513.14, 386.07, 1307.96, 83.15
1780910379.26, 1545.32, 386.07, 1307.96, 83.15
1780910380.81, 1463.04, 386.07, 1307.96, 84.25
1780910382.28, 1567.09, 386.07, 1307.96, 84.80
1780910383.85, 1608.26, 386.07, 1307.96, 84.25
1780910385.46, 1486.12, 386.07, 1307.96, 86.45
1780910386.95, 1404.06, 386.07, 1307.96, 84.25
1780910388.36, 1452.27, 386.07, 1307.96, 85.35
1780910389.82, 1400.27, 386.07, 1307.96, 84.80
1780910391.22, 1619.38, 386.07, 1307.96, 84.80
1780910392.84, 1530.30, 386.07, 1307.96, 85.35
1780910394.37, 1521.13, 386.07, 1307.96, 84.25
1780910395.90, 1531.30, 386.07, 1307.96, 85.35
1780910397.43, 1475.32, 386.07, 1307.96, 84.80
1780910398.91, 1645.28, 386.07, 1307.96, 85.35
1780910400.56, 1521.68, 386.07, 1307.96, 85.90
1780910402.08, 1635.66, 386.07, 1307.96, 84.80
1780910403.72, 1511.13, 386.07, 1307.96, 84.80
1780910405.23, 1451.36, 386.07, 1307.96, 85.35
1780910406.69, 1418.14, 386.07, 1307.96, 84.25
1780910408.10, 1459.40, 386.07, 1307.96, 84.25
