timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761633905.75, 179.34, 381.46, 1271.69, 67.20
1761633905.93, 208.76, 381.46, 1271.69, 67.20
1761633906.14, 194.50, 381.46, 1271.69, 66.10
1761633906.34, 188.76, 381.46, 1271.69, 66.10
1761633906.53, 183.55, 381.46, 1271.69, 66.65
1761633906.72, 187.29, 381.46, 1271.69, 66.65
1761633906.90, 176.04, 381.46, 1271.69, 66.65
1761633907.08, 182.81, 381.46, 1271.69, 67.20
1761633907.26, 244.84, 381.46, 1271.69, 67.75
1761633907.51, 213.72, 381.46, 1271.69, 67.75
1761633907.73, 205.07, 381.46, 1271.69, 67.75
1761633907.93, 210.11, 381.46, 1271.69, 68.30
1761633908.14, 198.66, 381.46, 1271.69, 67.75
1761633908.35, 209.43, 381.46, 1271.69, 68.85
1761633908.56, 162.45, 381.46, 1271.69, 68.30
1761633908.72, 166.00, 381.46, 1271.69, 68.30
1761633908.89, 182.01, 381.46, 1271.69, 69.40
1761633909.07, 181.98, 381.46, 1271.69, 69.40
1761633909.26, 171.84, 381.46, 1271.69, 69.40
1761633909.43, 145.67, 381.46, 1271.69, 70.50
1761633909.58, 162.75, 381.46, 1271.69, 69.40
1761633909.74, 141.79, 381.46, 1271.69, 69.40
1761633909.88, 203.12, 381.46, 1271.69, 70.50
1761633910.08, 207.81, 381.46, 1271.69, 69.95
1761633910.29, 158.11, 381.46, 1271.69, 69.40
1761633910.46, 150.68, 381.46, 1271.69, 70.50
1761633910.61, 162.37, 381.46, 1271.69, 70.50
1761633910.77, 165.39, 381.46, 1271.69, 69.95
1761633910.94, 155.07, 381.46, 1271.69, 72.70
1761633911.10, 193.83, 381.46, 1271.69, 71.05
1761633911.29, 157.83, 381.46, 1271.69, 71.05
1761633911.45, 175.62, 381.46, 1271.69, 71.05
1761633911.63, 171.02, 381.46, 1271.69, 71.05
1761633911.81, 165.80, 381.46, 1271.69, 72.70
1761633911.97, 163.47, 381.46, 1271.69, 71.60
1761633912.14, 205.15, 381.46, 1271.69, 71.60
1761633912.34, 228.30, 381.46, 1271.69, 72.15
1761633912.57, 159.89, 381.46, 1271.69, 72.15
1761633912.74, 182.91, 381.46, 1271.69, 71.60
1761633912.92, 206.43, 381.46, 1271.69, 72.15
1761633913.13, 213.73, 381.46, 1271.69, 73.25
1761633913.34, 135.22, 381.46, 1271.69, 72.15
1761633913.48, 164.44, 381.46, 1271.69, 73.80
1761633913.65, 177.83, 381.46, 1271.69, 72.70
1761633913.83, 174.20, 381.46, 1271.69, 72.15
1761633914.00, 178.62, 381.46, 1271.69, 72.70
