timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761635451.74, 832.85, 469.01, 1504.03, 77.65
1761635452.57, 843.78, 469.13, 1504.03, 77.65
1761635453.41, 884.49, 469.13, 1504.03, 79.85
1761635454.30, 798.68, 469.13, 1504.03, 80.40
1761635455.10, 782.70, 469.13, 1504.03, 79.30
1761635455.88, 818.35, 469.13, 1504.03, 78.75
1761635456.70, 831.98, 469.13, 1504.03, 80.95
1761635457.54, 838.42, 469.13, 1504.03, 79.85
1761635458.38, 788.27, 469.13, 1504.03, 80.40
1761635459.17, 846.35, 469.13, 1504.03, 79.85
1761635460.01, 802.47, 469.13, 1504.03, 80.40
1761635460.82, 853.82, 469.13, 1504.03, 82.05
1761635461.67, 807.41, 469.13, 1504.03, 80.40
1761635462.48, 779.75, 469.13, 1504.03, 82.05
1761635463.26, 768.73, 469.13, 1504.03, 80.95
1761635464.03, 768.06, 469.13, 1504.03, 82.60
1761635464.80, 832.64, 469.13, 1504.03, 80.95
1761635465.64, 836.63, 469.13, 1504.03, 82.05
1761635466.47, 786.71, 469.13, 1504.03, 82.05
1761635467.26, 777.94, 469.13, 1504.03, 82.60
1761635468.05, 819.94, 469.13, 1504.03, 84.25
1761635468.87, 889.19, 469.13, 1504.03, 82.60
1761635469.76, 800.33, 469.13, 1504.03, 82.60
1761635470.56, 828.06, 469.13, 1504.03, 82.60
1761635471.40, 830.13, 469.13, 1504.03, 82.05
1761635472.23, 802.15, 469.13, 1504.03, 83.15
1761635473.04, 812.27, 469.13, 1504.03, 84.25
1761635473.85, 786.06, 469.13, 1504.03, 84.25
1761635474.64, 818.63, 469.13, 1504.03, 82.60
1761635475.46, 813.09, 469.13, 1504.03, 84.80
1761635476.27, 808.17, 469.13, 1504.03, 83.70
1761635477.08, 791.36, 469.13, 1504.03, 83.70
1761635477.88, 782.07, 469.13, 1504.03, 84.25
1761635478.66, 788.09, 469.13, 1504.03, 82.60
1761635479.45, 830.96, 469.13, 1504.03, 83.15
1761635480.29, 849.94, 469.13, 1504.03, 84.25
1761635481.14, 802.70, 469.13, 1504.03, 84.25
1761635481.94, 879.87, 469.13, 1504.03, 84.25
1761635482.83, 828.24, 469.13, 1504.03, 83.70
1761635483.66, 858.30, 469.13, 1504.03, 83.15
1761635484.52, 852.39, 469.13, 1504.03, 84.80
1761635485.37, 935.23, 469.13, 1504.03, 82.60
1761635486.31, 891.38, 469.13, 1504.03, 84.25
1761635487.21, 831.89, 469.13, 1504.03, 84.25
1761635488.04, 797.40, 469.13, 1504.03, 84.25
1761635488.84, 881.62, 469.13, 1504.03, 83.15
1761635489.72, 813.67, 469.13, 1504.03, 85.35
1761635490.54, 861.74, 469.13, 1504.03, 85.90
1761635491.40, 845.18, 469.13, 1504.03, 84.80
1761635492.25, 865.69, 469.13, 1504.03, 84.25
1761635493.11, 887.99, 469.13, 1504.03, 84.80
1761635494.00, 814.46, 469.13, 1504.03, 84.80
1761635494.82, 842.24, 469.13, 1504.03, 83.70
1761635495.66, 815.81, 469.13, 1504.03, 84.80
1761635496.48, 872.08, 469.13, 1504.03, 83.70
1761635497.36, 845.34, 469.13, 1504.03, 85.35
1761635498.21, 877.23, 469.13, 1504.03, 83.70
1761635499.09, 863.98, 469.13, 1504.03, 84.25
1761635499.96, 923.38, 469.13, 1504.03, 84.25
1761635500.88, 861.03, 469.13, 1504.03, 84.25
1761635501.74, 911.37, 469.13, 1504.03, 83.70
1761635502.66, 867.98, 469.13, 1504.03, 86.45
1761635503.53, 891.47, 469.13, 1504.03, 84.80
1761635504.42, 890.97, 469.13, 1504.03, 84.25
1761635505.32, 886.82, 469.13, 1504.03, 83.70
1761635506.21, 938.65, 469.13, 1504.03, 84.80
1761635507.15, 834.38, 469.13, 1504.03, 86.45
1761635507.98, 919.70, 469.13, 1504.03, 86.45
1761635508.91, 938.37, 469.13, 1504.03, 85.35
1761635509.85, 828.48, 469.13, 1504.03, 85.35
1761635510.68, 938.13, 469.13, 1504.03, 84.80
1761635511.62, 901.24, 469.13, 1504.03, 83.70
1761635512.52, 899.02, 469.13, 1504.03, 83.70
1761635513.42, 905.06, 469.13, 1504.03, 84.80
1761635514.33, 876.22, 469.13, 1504.03, 84.25
1761635515.21, 899.20, 469.13, 1504.03, 86.45
1761635516.11, 841.00, 469.13, 1504.03, 84.80
1761635516.95, 904.98, 469.13, 1504.03, 84.25
1761635517.86, 944.27, 469.13, 1504.03, 85.35
1761635518.80, 901.00, 469.13, 1504.03, 85.35
1761635519.71, 889.11, 469.13, 1504.03, 84.80
1761635520.60, 861.07, 469.13, 1504.03, 84.25
1761635521.46, 875.76, 469.13, 1504.03, 84.80
1761635522.34, 826.59, 469.13, 1504.03, 85.35
1761635523.17, 903.71, 469.13, 1504.03, 84.25
1761635524.07, 885.78, 469.13, 1504.03, 84.25
1761635524.96, 846.05, 469.13, 1504.03, 83.70
1761635525.81, 859.56, 469.13, 1504.03, 84.80
1761635526.67, 935.98, 469.13, 1504.03, 84.80
1761635527.61, 864.47, 469.13, 1504.03, 85.35
1761635528.48, 912.58, 469.13, 1504.03, 84.80
1761635529.39, 819.46, 469.13, 1504.03, 86.45
1761635530.21, 854.20, 469.13, 1504.03, 84.80
1761635531.07, 914.87, 469.13, 1504.03, 84.80
1761635531.99, 948.00, 469.13, 1504.03, 84.80
1761635532.94, 926.23, 469.13, 1504.03, 84.80
1761635533.86, 885.52, 469.13, 1504.03, 84.25
1761635534.75, 907.34, 469.13, 1504.03, 84.80
1761635535.66, 887.27, 469.13, 1504.03, 84.80
1761635536.55, 843.83, 469.13, 1504.03, 85.35
1761635537.40, 914.46, 469.13, 1504.03, 84.80
1761635538.32, 860.75, 469.13, 1504.03, 85.35
1761635539.18, 833.49, 469.13, 1504.03, 83.70
1761635540.02, 886.03, 469.13, 1504.03, 83.70
1761635540.91, 857.53, 469.13, 1504.03, 84.25
1761635541.77, 886.71, 469.13, 1504.03, 84.25
1761635542.66, 858.02, 469.13, 1504.03, 84.25
1761635543.52, 916.46, 469.13, 1504.03, 85.35
1761635544.44, 874.09, 469.13, 1504.03, 85.35
1761635545.32, 885.06, 469.13, 1504.03, 84.80
1761635546.21, 880.66, 469.13, 1504.03, 84.80
1761635547.09, 943.01, 469.13, 1504.03, 85.35
1761635548.03, 934.09, 469.13, 1504.03, 84.80
1761635548.97, 877.53, 469.13, 1504.03, 84.80
1761635549.85, 969.81, 469.13, 1504.03, 84.80
1761635550.82, 972.30, 469.13, 1504.03, 85.35
1761635551.80, 959.66, 469.13, 1504.03, 84.80
1761635552.76, 875.08, 469.13, 1504.03, 84.80
1761635553.64, 833.27, 469.13, 1504.03, 85.90
1761635554.47, 860.94, 469.13, 1504.03, 85.35
1761635555.34, 969.49, 469.13, 1504.03, 85.90
1761635556.31, 801.14, 469.13, 1504.03, 85.35
1761635557.11, 894.67, 469.13, 1504.03, 86.45
1761635558.00, 859.85, 469.13, 1504.03, 84.80
1761635558.87, 862.31, 469.13, 1504.03, 87.00
1761635559.73, 903.76, 469.13, 1504.03, 84.25
1761635560.64, 875.20, 469.13, 1504.03, 84.80
1761635561.52, 884.82, 469.13, 1504.03, 85.35
1761635562.40, 881.01, 469.13, 1504.03, 85.35
1761635563.29, 861.81, 469.13, 1504.03, 84.80
1761635564.15, 905.67, 469.13, 1504.03, 84.25
1761635565.06, 888.58, 469.13, 1504.03, 84.80
1761635565.95, 974.74, 469.13, 1504.03, 84.80
1761635566.93, 866.49, 469.13, 1504.03, 85.35
1761635567.80, 976.96, 469.13, 1504.03, 85.90
1761635568.78, 869.33, 469.13, 1504.03, 85.35
1761635569.65, 873.12, 469.13, 1504.03, 85.35
1761635570.52, 899.20, 469.13, 1504.03, 84.80
1761635571.42, 876.34, 469.13, 1504.03, 85.90
1761635572.30, 960.90, 469.13, 1504.03, 88.10
1761635573.26, 894.93, 469.13, 1504.03, 84.25
1761635574.16, 870.08, 469.13, 1504.03, 85.90
1761635575.03, 884.55, 469.13, 1504.03, 84.80
1761635575.92, 894.39, 469.13, 1504.03, 85.35
1761635576.82, 961.21, 469.13, 1504.03, 85.35
1761635577.78, 929.90, 469.13, 1504.03, 84.80
1761635578.72, 973.25, 469.13, 1504.03, 85.90
1761635579.69, 863.66, 469.13, 1504.03, 85.90
1761635580.56, 900.16, 469.13, 1504.03, 85.90
1761635581.46, 855.36, 469.13, 1504.03, 84.25
1761635582.31, 919.19, 469.13, 1504.03, 84.80
1761635583.23, 839.06, 469.13, 1504.03, 84.80
1761635584.08, 927.97, 469.13, 1504.03, 85.35
1761635585.00, 892.00, 469.13, 1504.03, 86.45
1761635585.90, 889.28, 469.13, 1504.03, 85.35
1761635586.79, 909.88, 469.13, 1504.03, 84.80
1761635587.71, 881.80, 469.13, 1504.03, 84.80
1761635588.59, 894.42, 469.13, 1504.03, 84.80
1761635589.49, 866.01, 469.13, 1504.03, 85.35
1761635590.36, 895.24, 469.13, 1504.03, 84.25
1761635591.26, 911.33, 469.13, 1504.03, 85.90
1761635592.17, 918.99, 469.13, 1504.03, 84.25
1761635593.09, 910.08, 469.13, 1504.03, 84.80
1761635594.00, 826.43, 469.13, 1504.03, 84.25
1761635594.83, 877.95, 469.13, 1504.03, 84.80
1761635595.71, 863.03, 469.13, 1504.03, 85.35
1761635596.58, 864.38, 469.13, 1504.03, 87.00
1761635597.45, 915.26, 469.13, 1504.03, 85.35
1761635598.37, 898.00, 469.13, 1504.03, 85.35
1761635599.27, 882.21, 469.13, 1504.03, 84.25
1761635600.15, 868.76, 469.13, 1504.03, 85.90
1761635601.03, 906.74, 469.13, 1504.03, 87.00
1761635601.94, 889.97, 469.13, 1504.03, 85.90
1761635602.83, 936.24, 469.13, 1504.03, 84.80
1761635603.77, 898.94, 469.13, 1504.03, 84.80
1761635604.67, 890.25, 469.13, 1504.03, 87.00
1761635605.56, 852.16, 469.13, 1504.03, 85.90
1761635606.42, 965.33, 469.13, 1504.03, 84.25
1761635607.39, 889.26, 469.13, 1504.03, 84.80
1761635608.28, 883.09, 469.13, 1504.03, 84.25
1761635609.17, 874.50, 469.13, 1504.03, 86.45
1761635610.04, 904.13, 469.13, 1504.03, 86.45
1761635610.95, 873.69, 469.13, 1504.03, 86.45
1761635611.83, 866.67, 469.13, 1504.03, 85.35
1761635612.70, 934.02, 469.13, 1504.03, 85.35
1761635613.63, 837.44, 469.13, 1504.03, 85.90
1761635614.47, 836.42, 469.13, 1504.03, 84.80
