timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761653764.76, 24405.61, 941.15, 1923.94, 87.55
1761653789.17, 23876.41, 941.15, 1923.94, 86.45
1761653813.05, 24259.48, 941.15, 1923.94, 86.45
1761653837.31, 29543.41, 941.15, 1923.94, 85.35
1761653866.86, 24967.50, 941.15, 1923.94, 86.45
1761653891.83, 25221.04, 941.15, 1923.94, 86.45
1761653917.06, 29385.38, 941.15, 1923.94, 87.00
1761653946.44, 28969.23, 941.15, 1923.94, 85.90
1761653975.41, 28001.84, 941.15, 1923.94, 88.10
1761654003.42, 26880.47, 941.15, 1923.94, 85.35
1761654030.30, 26161.91, 941.15, 1923.94, 86.45
1761654056.47, 23403.30, 941.15, 1923.94, 87.00
1761654079.87, 26891.43, 941.15, 1923.94, 86.45
1761654106.77, 26420.93, 941.15, 1923.94, 87.00
1761654133.19, 26867.03, 941.15, 1923.94, 87.00
1761654160.06, 22647.03, 941.15, 1923.94, 88.65
1761654182.71, 24158.51, 941.15, 1923.94, 87.00
1761654206.87, 24791.61, 941.15, 1923.94, 88.10
1761654231.66, 20785.43, 941.15, 1923.94, 87.55
1761654252.45, 26301.88, 941.15, 1923.94, 87.00
1761654278.75, 26689.10, 941.15, 1923.94, 87.00
1761654305.44, 23465.08, 941.15, 1923.94, 88.10
1761654328.91, 23624.56, 941.15, 1923.94, 88.65
1761654352.54, 26693.69, 941.15, 1923.94, 87.55
1761654379.23, 24835.74, 941.15, 1923.94, 88.10
1761654404.07, 25520.84, 941.15, 1923.94, 88.10
1761654429.60, 28367.57, 941.15, 1923.94, 87.55
1761654457.97, 25245.66, 941.15, 1923.94, 88.10
1761654483.22, 26242.67, 941.15, 1923.94, 88.10
1761654509.46, 25416.20, 941.15, 1923.94, 88.65
1761654534.88, 25959.42, 941.15, 1923.94, 87.55
1761654560.84, 25381.32, 941.15, 1923.94, 87.55
1761654586.23, 26158.01, 941.15, 1923.94, 87.55
1761654612.39, 26835.81, 941.15, 1923.94, 87.55
1761654639.22, 27406.82, 941.15, 1923.94, 87.55
1761654666.63, 29743.15, 941.15, 1923.94, 88.10
1761654696.38, 26126.89, 941.15, 1923.94, 88.65
1761654722.51, 25582.75, 941.15, 1923.94, 89.75
1761654748.09, 24044.75, 941.15, 1923.94, 88.65
1761654772.14, 29448.47, 941.15, 1923.94, 87.55
1761654801.59, 26152.46, 941.15, 1923.94, 88.10
1761654827.75, 25621.57, 941.15, 1923.94, 89.75
1761654853.37, 25754.05, 941.15, 1923.94, 88.10
1761654879.12, 23288.84, 941.15, 1923.94, 87.55
1761654902.42, 26094.13, 941.15, 1923.94, 88.65
1761654928.51, 27079.57, 941.15, 1923.94, 88.65
1761654955.60, 24331.66, 941.15, 1923.94, 88.65
1761654979.93, 24594.13, 941.15, 1923.94, 89.75
1761655004.53, 26361.25, 941.15, 1923.94, 89.75
1761655030.90, 26199.60, 941.15, 1923.94, 89.75
1761655057.10, 24782.64, 941.15, 1923.94, 89.20
1761655081.88, 25355.17, 941.15, 1923.94, 88.65
1761655107.24, 25202.97, 941.15, 1923.94, 89.75
1761655132.45, 24825.46, 941.15, 1923.94, 89.75
1761655157.28, 29497.64, 941.15, 1923.94, 88.65
1761655186.78, 26866.26, 941.15, 1923.94, 89.20
1761655213.64, 24566.81, 941.15, 1923.94, 89.75
1761655238.21, 25896.45, 941.15, 1923.94, 89.20
1761655264.11, 24659.04, 941.15, 1923.94, 90.30
1761655288.77, 24490.56, 941.15, 1923.94, 88.65
1761655313.26, 29083.54, 941.15, 1923.94, 89.20
1761655342.35, 26231.76, 941.15, 1923.94, 89.20
1761655368.58, 25855.17, 941.15, 1923.94, 89.75
1761655394.44, 27367.78, 941.15, 1923.94, 89.20
1761655421.81, 25874.20, 941.15, 1923.94, 88.65
1761655447.68, 24014.51, 941.15, 1923.94, 88.65
1761655471.70, 25066.04, 941.15, 1923.94, 88.65
1761655496.77, 29004.59, 941.15, 1923.94, 89.75
1761655525.77, 26541.26, 941.15, 1923.94, 90.30
1761655552.32, 26596.64, 941.15, 1923.94, 89.75
1761655578.92, 23911.52, 941.15, 1923.94, 88.65
1761655602.83, 25488.50, 941.15, 1923.94, 89.20
1761655628.32, 26207.92, 941.15, 1923.94, 88.10
1761655654.53, 30041.90, 941.15, 1923.94, 90.30
1761655684.58, 24754.14, 941.15, 1923.94, 89.20
1761655709.33, 25016.77, 941.15, 1923.94, 90.30
1761655734.35, 26673.71, 941.15, 1923.94, 87.55
1761655761.03, 26068.93, 941.15, 1923.94, 88.10
1761655787.10, 25484.60, 941.15, 1923.94, 88.65
1761655812.59, 26306.25, 941.15, 1923.94, 88.65
1761655838.90, 25925.06, 941.15, 1923.94, 89.20
1761655864.83, 28251.95, 941.15, 1923.94, 88.65
1761655893.08, 26442.45, 941.15, 1923.94, 88.10
1761655919.52, 25361.25, 941.15, 1923.94, 89.75
1761655944.89, 25347.84, 941.15, 1923.94, 88.10
1761655970.24, 25539.70, 941.15, 1923.94, 89.20
1761655995.78, 25813.77, 941.15, 1923.94, 88.65
1761656021.59, 24651.88, 941.15, 1923.94, 89.20
1761656046.25, 25660.24, 941.15, 1923.94, 90.30
1761656071.91, 27316.30, 941.15, 1923.94, 88.65
1761656099.23, 26630.66, 941.15, 1923.94, 88.65
1761656125.86, 24538.76, 941.15, 1923.94, 88.65
1761656150.40, 24669.45, 941.15, 1923.94, 88.10
1761656175.07, 26548.94, 941.15, 1923.94, 87.55
1761656201.62, 25688.76, 941.15, 1923.94, 88.65
1761656227.31, 27819.13, 941.15, 1923.94, 88.65
1761656255.13, 26980.46, 941.15, 1923.94, 88.65
1761656282.12, 25806.70, 941.15, 1923.94, 88.65
1761656307.93, 30090.85, 941.15, 1923.94, 89.20
1761656338.02, 27715.51, 941.15, 1923.94, 89.75
