timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761629028.45, 957.83, 435.59, 1356.13, 79.30
1761629029.41, 998.41, 435.59, 1356.13, 80.95
1761629030.41, 1005.73, 435.59, 1356.13, 80.95
1761629031.42, 1040.59, 435.59, 1356.13, 79.85
1761629032.46, 1020.57, 435.59, 1356.13, 79.85
1761629033.48, 994.11, 435.59, 1356.13, 80.40
1761629034.48, 1001.09, 435.59, 1356.13, 79.30
1761629035.49, 1036.81, 435.59, 1356.13, 79.85
1761629036.52, 945.91, 435.59, 1356.13, 80.95
1761629037.47, 1044.63, 435.59, 1356.13, 79.85
1761629038.52, 959.72, 435.59, 1356.13, 80.95
1761629039.48, 1001.54, 435.59, 1356.13, 81.50
1761629040.48, 1031.67, 435.59, 1356.13, 80.40
1761629041.52, 992.92, 435.59, 1356.13, 80.95
1761629042.51, 1071.20, 435.59, 1356.13, 82.05
1761629043.59, 976.88, 435.59, 1356.13, 80.95
1761629044.57, 1004.87, 435.59, 1356.13, 83.15
1761629045.57, 1040.35, 435.59, 1356.13, 82.05
1761629046.62, 1042.34, 435.59, 1356.13, 83.15
1761629047.66, 1068.01, 435.59, 1356.13, 82.60
1761629048.73, 1009.62, 435.59, 1356.13, 82.60
1761629049.75, 991.21, 435.59, 1356.13, 83.70
1761629050.74, 1110.37, 435.59, 1356.13, 82.60
1761629051.85, 1025.61, 435.59, 1356.13, 83.70
1761629052.88, 1087.98, 435.59, 1356.13, 83.15
1761629053.97, 1036.62, 435.59, 1356.13, 84.25
1761629055.01, 1031.00, 435.59, 1356.13, 84.80
1761629056.04, 1041.19, 435.59, 1356.13, 84.25
1761629057.09, 1094.44, 435.59, 1356.13, 82.60
1761629058.18, 1043.26, 435.59, 1356.13, 83.70
1761629059.23, 1025.70, 435.59, 1356.13, 83.70
1761629060.25, 958.64, 435.59, 1356.13, 85.35
1761629061.22, 1024.07, 435.59, 1356.13, 82.60
1761629062.24, 1042.82, 435.59, 1356.13, 84.25
1761629063.29, 1107.80, 435.59, 1356.13, 83.70
1761629064.40, 1038.20, 435.59, 1356.13, 84.25
1761629065.44, 1054.76, 435.59, 1356.13, 83.15
1761629066.50, 1038.64, 435.59, 1356.13, 84.25
1761629067.54, 1053.25, 435.59, 1356.13, 83.15
1761629068.59, 1054.69, 435.59, 1356.13, 84.80
1761629069.65, 1083.24, 435.59, 1356.13, 83.70
1761629070.73, 1144.26, 435.59, 1356.13, 83.15
1761629071.88, 1066.88, 435.59, 1356.13, 85.90
1761629072.95, 1046.14, 435.59, 1356.13, 84.25
1761629073.99, 1005.35, 435.59, 1356.13, 84.25
1761629075.00, 1068.95, 435.59, 1356.13, 84.80
1761629076.08, 1053.07, 435.59, 1356.13, 83.70
1761629077.13, 1106.32, 435.59, 1356.13, 83.15
1761629078.24, 1128.96, 435.59, 1356.13, 84.80
1761629079.37, 1018.91, 435.59, 1356.13, 82.60
1761629080.39, 1060.65, 435.59, 1356.13, 84.80
1761629081.46, 1079.02, 435.59, 1356.13, 86.45
1761629082.54, 1067.31, 435.59, 1356.13, 84.80
1761629083.61, 1091.54, 435.59, 1356.13, 84.25
1761629084.70, 1108.39, 435.59, 1356.13, 85.35
1761629085.81, 1079.48, 435.59, 1356.13, 85.35
1761629086.89, 1032.69, 435.59, 1356.13, 83.70
1761629087.93, 1074.21, 435.59, 1356.13, 84.80
1761629089.00, 1077.29, 435.59, 1356.13, 85.35
1761629090.09, 1076.04, 435.59, 1356.13, 85.90
1761629091.16, 1072.92, 435.59, 1356.13, 84.80
1761629092.24, 1072.14, 435.59, 1356.13, 85.35
1761629093.31, 1122.61, 435.59, 1356.13, 87.00
1761629094.44, 1063.92, 435.59, 1356.13, 84.25
1761629095.50, 1072.38, 435.59, 1356.13, 85.35
1761629096.57, 1013.99, 435.59, 1356.13, 85.90
1761629097.59, 1182.86, 435.59, 1356.13, 85.35
1761629098.78, 1038.03, 435.59, 1356.13, 85.35
1761629099.82, 1059.13, 435.59, 1356.13, 84.25
1761629100.88, 1085.77, 435.59, 1356.13, 84.80
1761629101.96, 1126.45, 435.59, 1356.13, 85.90
1761629103.09, 1190.35, 435.59, 1356.13, 83.70
1761629104.29, 1054.97, 435.59, 1356.13, 84.80
1761629105.34, 1097.29, 435.59, 1356.13, 84.25
1761629106.44, 1056.36, 435.59, 1356.13, 85.90
1761629107.50, 1101.38, 435.59, 1356.13, 84.80
1761629108.60, 1040.27, 435.59, 1356.13, 84.80
1761629109.64, 1082.15, 435.59, 1356.13, 85.90
1761629110.73, 1080.31, 435.59, 1356.13, 84.80
1761629111.81, 1031.07, 435.59, 1356.13, 85.35
1761629112.84, 1094.32, 435.59, 1356.13, 84.80
1761629113.94, 1150.83, 435.59, 1356.13, 84.25
1761629115.09, 1144.77, 435.59, 1356.13, 85.90
1761629116.23, 1082.28, 435.59, 1356.13, 85.90
1761629117.32, 1094.04, 435.59, 1356.13, 84.80
1761629118.41, 1075.46, 435.59, 1356.13, 85.35
1761629119.50, 1133.87, 435.59, 1356.13, 84.80
1761629120.63, 1213.71, 435.59, 1356.13, 84.25
1761629121.85, 1085.33, 435.59, 1356.13, 84.25
1761629122.94, 1128.99, 435.59, 1356.13, 85.35
1761629124.07, 1026.29, 435.59, 1356.13, 84.80
1761629125.10, 1239.81, 435.59, 1356.13, 85.90
1761629126.34, 1046.66, 435.59, 1356.13, 85.35
1761629127.39, 1078.34, 435.59, 1356.13, 86.45
1761629128.47, 1077.40, 435.59, 1356.13, 85.35
1761629129.55, 1100.92, 435.59, 1356.13, 84.25
1761629130.65, 1114.77, 435.59, 1356.13, 84.80
1761629131.77, 1132.77, 435.59, 1356.13, 84.25
1761629132.90, 1108.18, 435.59, 1356.13, 84.80
1761629134.01, 1108.32, 435.59, 1356.13, 85.90
1761629135.12, 1110.92, 435.59, 1356.13, 86.45
1761629136.24, 1118.74, 435.59, 1356.13, 85.35
1761629137.35, 1093.76, 435.59, 1356.13, 84.25
1761629138.45, 1087.06, 435.59, 1356.13, 85.90
