timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb
1761487142.28, 181.56, 528.25, 3564.82
1761487142.47, 183.40, 528.25, 3564.82
1761487142.65, 212.89, 528.25, 3564.82
1761487142.86, 199.66, 523.44, 3564.82
1761487143.06, 195.59, 523.44, 3564.82
1761487143.26, 194.07, 523.44, 3564.82
1761487143.45, 189.94, 523.44, 3564.82
1761487143.64, 213.68, 523.44, 3564.82
1761487143.86, 221.05, 523.44, 3564.82
1761487144.08, 197.87, 523.44, 3564.82
1761487144.28, 194.55, 523.44, 3564.82
1761487144.47, 223.58, 523.44, 3564.82
1761487144.70, 194.02, 523.44, 3564.82
1761487144.89, 191.48, 523.44, 3564.82
1761487145.08, 193.94, 523.44, 3564.82
1761487145.28, 190.93, 523.44, 3564.82
1761487145.47, 178.55, 523.44, 3564.82
1761487145.65, 195.55, 523.44, 3564.82
1761487145.84, 184.96, 523.44, 3564.82
1761487146.03, 186.09, 523.44, 3564.82
1761487146.21, 182.23, 523.44, 3564.82
1761487146.40, 182.95, 523.44, 3564.82
1761487146.58, 200.98, 523.44, 3564.82
1761487146.78, 208.61, 523.44, 3564.82
1761487146.99, 182.38, 523.44, 3564.82
1761487147.17, 182.66, 523.44, 3564.82
1761487147.36, 189.81, 523.44, 3564.82
1761487147.55, 196.61, 523.44, 3564.82
1761487147.74, 232.47, 523.44, 3564.82
1761487147.98, 193.35, 523.44, 3564.82
1761487148.17, 202.15, 523.44, 3564.82
1761487148.37, 199.26, 523.44, 3564.82
1761487148.57, 226.32, 523.44, 3564.82
1761487148.80, 191.98, 523.44, 3564.82
1761487148.99, 192.42, 523.44, 3564.82
1761487149.18, 196.65, 523.44, 3564.82
1761487149.38, 193.90, 523.44, 3564.82
1761487149.57, 227.75, 523.44, 3564.82
1761487149.80, 192.21, 523.44, 3564.82
1761487149.99, 180.74, 523.44, 3564.82
1761487150.18, 188.79, 523.44, 3564.82
1761487150.37, 182.22, 523.44, 3564.82
1761487150.55, 205.03, 523.44, 3564.82
1761487150.75, 204.42, 523.44, 3564.82
1761487150.96, 183.71, 523.44, 3564.82
1761487151.14, 186.58, 523.44, 3564.82
1761487151.33, 191.14, 523.44, 3564.82
