timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761527039.73, 2428.21, 1171.90, 4522.18, nan
1761527042.18, 2448.53, 1171.90, 4522.18, nan
1761527044.63, 2447.49, 1171.90, 4522.18, nan
1761527047.07, 2454.28, 1171.90, 4522.18, nan
1761527049.53, 2441.84, 1171.90, 4522.18, nan
1761527051.97, 2420.80, 1171.90, 4522.18, nan
1761527054.39, 2431.01, 1171.90, 4522.18, nan
1761527056.82, 2468.59, 1171.90, 4522.18, nan
1761527059.29, 2455.92, 1171.90, 4522.18, nan
1761527061.75, 2547.52, 1171.90, 4522.18, nan
1761527064.30, 2695.52, 1171.90, 4522.18, nan
1761527066.99, 2474.38, 1171.90, 4522.18, nan
1761527069.47, 2677.39, 1171.90, 4522.18, nan
1761527072.15, 2597.75, 1171.90, 4522.18, nan
1761527074.74, 2447.40, 1171.90, 4522.18, nan
1761527077.19, 2443.38, 1171.90, 4522.18, nan
1761527079.64, 2453.67, 1171.90, 4522.18, nan
1761527082.09, 2499.62, 1171.90, 4522.18, nan
1761527084.59, 2439.97, 1171.90, 4522.18, nan
1761527087.03, 2497.77, 1171.90, 4522.18, nan
1761527089.53, 2453.58, 1171.90, 4522.18, nan
1761527091.98, 2441.05, 1171.90, 4522.18, nan
1761527094.42, 2459.81, 1171.90, 4522.18, nan
1761527096.88, 2431.80, 1171.90, 4522.18, nan
1761527099.32, 2486.89, 1171.90, 4522.18, nan
1761527101.80, 2444.48, 1171.90, 4522.18, nan
1761527104.25, 2455.35, 1171.90, 4522.18, nan
1761527106.70, 2442.71, 1171.90, 4522.18, nan
1761527109.15, 2461.48, 1171.90, 4522.18, nan
1761527111.61, 2547.75, 1171.90, 4522.18, nan
1761527114.16, 2432.82, 1171.90, 4522.18, nan
1761527116.59, 2452.49, 1171.90, 4522.18, nan
1761527119.04, 2461.43, 1171.90, 4522.18, nan
1761527121.50, 2473.07, 1171.90, 4522.18, nan
1761527123.98, 2461.64, 1171.90, 4522.18, nan
1761527126.44, 2434.64, 1171.90, 4522.18, nan
1761527128.88, 2473.35, 1171.90, 4522.18, nan
1761527131.35, 2443.78, 1171.90, 4522.18, nan
1761527133.79, 2470.07, 1171.90, 4522.18, nan
1761527136.26, 2454.80, 1171.90, 4522.18, nan
1761527138.72, 2446.94, 1171.90, 4522.18, nan
1761527141.17, 2458.02, 1171.90, 4522.18, nan
1761527143.62, 2541.14, 1171.90, 4522.18, nan
1761527146.17, 2507.21, 1171.90, 4522.18, nan
1761527148.67, 2446.60, 1171.90, 4522.18, nan
1761527151.12, 2451.86, 1171.90, 4522.18, nan
1761527153.57, 2431.78, 1171.90, 4522.18, nan
1761527156.01, 2453.21, 1171.90, 4522.18, nan
1761527158.46, 2441.26, 1171.90, 4522.18, nan
1761527160.90, 2469.33, 1171.90, 4522.18, nan
1761527163.37, 2445.23, 1171.90, 4522.18, nan
1761527165.82, 2458.91, 1171.90, 4522.18, nan
1761527168.28, 2419.52, 1171.90, 4522.18, nan
1761527170.70, 2404.21, 1171.90, 4522.18, nan
1761527173.10, 2599.81, 1171.90, 4522.18, nan
1761527175.70, 2490.11, 1171.90, 4522.18, nan
1761527178.19, 2539.72, 1171.90, 4522.18, nan
1761527180.73, 2517.38, 1171.90, 4522.18, nan
1761527183.25, 2460.42, 1171.90, 4522.18, nan
1761527185.71, 2507.92, 1171.90, 4522.18, nan
1761527188.22, 2437.84, 1171.90, 4522.18, nan
1761527190.66, 2432.55, 1171.90, 4522.18, nan
1761527193.09, 2451.89, 1171.90, 4522.18, nan
1761527195.54, 2434.47, 1171.90, 4522.18, nan
1761527197.98, 2442.54, 1171.90, 4522.18, nan
1761527200.42, 2439.53, 1171.90, 4522.18, nan
1761527202.86, 2458.96, 1171.90, 4522.18, nan
1761527205.32, 2434.81, 1171.90, 4522.18, nan
1761527207.75, 2461.07, 1171.90, 4522.18, nan
1761527210.21, 2450.59, 1171.90, 4522.18, nan
1761527212.67, 2421.04, 1171.90, 4522.18, nan
1761527215.09, 2451.24, 1171.90, 4522.18, nan
1761527217.54, 2473.61, 1171.90, 4522.18, nan
1761527220.01, 2442.31, 1171.90, 4522.18, nan
1761527222.46, 2449.62, 1171.90, 4522.18, nan
1761527224.91, 2449.95, 1171.90, 4522.18, nan
1761527227.36, 2479.41, 1171.90, 4522.18, nan
1761527229.84, 2558.44, 1171.90, 4522.18, nan
1761527232.39, 2484.38, 1171.90, 4522.18, nan
1761527234.88, 2557.17, 1171.90, 4522.18, nan
1761527237.44, 2443.44, 1171.90, 4522.18, nan
1761527239.88, 2442.05, 1171.90, 4522.18, nan
1761527242.32, 2430.29, 1171.90, 4522.18, nan
1761527244.75, 2427.11, 1171.90, 4522.18, nan
1761527247.18, 2473.49, 1171.90, 4522.18, nan
1761527249.66, 2475.50, 1171.90, 4522.18, nan
1761527252.13, 2463.41, 1171.90, 4522.18, nan
1761527254.60, 2490.50, 1171.90, 4522.18, nan
1761527257.09, 2431.61, 1171.90, 4522.18, nan
1761527259.52, 2500.32, 1171.90, 4522.18, nan
1761527262.02, 2439.85, 1171.90, 4522.18, nan
1761527264.46, 2443.53, 1171.90, 4522.18, nan
1761527266.90, 2440.06, 1171.90, 4522.18, nan
1761527269.34, 2445.75, 1171.90, 4522.18, nan
1761527271.79, 2507.41, 1171.90, 4522.18, nan
1761527274.30, 2453.90, 1171.90, 4522.18, nan
1761527276.75, 2465.61, 1171.90, 4522.18, nan
1761527279.22, 2528.13, 1171.90, 4522.18, nan
1761527281.75, 2462.86, 1171.90, 4522.18, nan
1761527284.21, 2511.42, 1171.90, 4522.18, nan
