timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1765012884.70, 3880.96, 563.64, 1502.08, 83.15
1765012888.58, 4048.00, 563.77, 1502.08, 85.35
1765012892.63, 3983.88, 563.77, 1502.08, 84.25
1765012896.62, 3995.09, 563.77, 1502.08, 83.15
1765012900.62, 4039.81, 563.77, 1502.08, 84.25
1765012904.66, 4040.65, 563.77, 1502.08, 85.35
1765012908.70, 4213.33, 563.77, 1502.08, 85.90
1765012912.91, 4151.01, 563.77, 1502.08, 85.35
1765012917.07, 4101.64, 563.77, 1502.08, 84.80
1765012921.17, 4134.89, 563.77, 1502.08, 84.80
1765012925.31, 4109.97, 563.77, 1502.08, 84.25
1765012929.42, 4038.72, 563.77, 1502.08, 83.70
1765012933.46, 4180.15, 563.77, 1502.08, 85.90
1765012937.64, 4113.35, 563.77, 1502.08, 85.90
1765012941.76, 4122.89, 563.77, 1502.08, 83.15
1765012945.88, 4148.41, 563.77, 1502.08, 84.25
1765012950.03, 4121.38, 563.77, 1502.08, 85.90
1765012954.16, 4060.12, 563.77, 1502.08, 83.70
1765012958.22, 4147.83, 563.77, 1502.08, 84.80
1765012962.37, 4091.57, 563.77, 1502.08, 83.70
1765012966.47, 4173.68, 563.77, 1502.08, 84.80
1765012970.64, 4116.89, 563.77, 1502.08, 84.25
1765012974.76, 4237.59, 563.77, 1502.08, 84.80
1765012979.00, 4226.13, 563.77, 1502.08, 85.35
1765012983.23, 4131.92, 563.77, 1502.08, 84.25
1765012987.37, 4142.40, 563.77, 1502.08, 85.90
1765012991.51, 4256.86, 563.77, 1502.08, 84.80
1765012995.77, 4065.65, 563.77, 1502.08, 83.15
1765012999.84, 4186.50, 563.77, 1502.08, 85.90
1765013004.03, 4216.16, 563.77, 1502.08, 84.25
1765013008.25, 4249.29, 563.77, 1502.08, 85.35
1765013012.50, 4144.99, 563.77, 1502.08, 84.25
1765013016.64, 4165.31, 563.77, 1502.08, 83.70
1765013020.81, 4095.11, 563.77, 1502.08, 84.80
1765013024.91, 4212.36, 563.77, 1502.08, 85.90
1765013029.12, 4203.53, 563.77, 1502.08, 85.35
1765013033.33, 4211.25, 563.77, 1502.08, 84.25
1765013037.54, 4240.04, 563.77, 1502.08, 84.80
1765013041.78, 4102.72, 563.77, 1502.08, 84.80
1765013045.89, 4074.51, 563.89, 1502.08, 83.70
1765013049.96, 4232.15, 563.89, 1502.08, 84.80
1765013054.20, 4227.19, 563.89, 1502.08, 85.35
1765013058.43, 4313.34, 563.89, 1502.08, 85.35
1765013062.75, 4242.37, 563.89, 1502.08, 84.80
1765013066.99, 4175.49, 563.89, 1502.08, 84.80
1765013071.17, 4197.38, 563.89, 1502.08, 84.80
1765013075.37, 4198.14, 563.89, 1502.08, 84.80
1765013079.57, 4202.91, 563.89, 1502.08, 83.15
1765013083.78, 4178.70, 563.89, 1502.08, 84.80
1765013087.96, 4228.91, 563.89, 1502.08, 84.25
1765013092.19, 4302.11, 563.89, 1502.08, 84.80
1765013096.50, 4247.85, 563.89, 1502.08, 85.35
1765013100.75, 4350.67, 563.89, 1502.08, 84.25
1765013105.10, 4300.50, 563.89, 1502.08, 85.35
1765013109.41, 4161.54, 563.89, 1502.08, 85.35
1765013113.57, 4280.70, 563.89, 1502.08, 85.90
1765013117.86, 4242.91, 563.89, 1502.08, 84.25
1765013122.10, 4149.32, 563.89, 1502.08, 84.80
1765013126.25, 4235.78, 563.89, 1502.08, 85.90
1765013130.49, 4214.17, 563.89, 1502.08, 84.25
1765013134.71, 4355.39, 563.89, 1502.08, 85.35
1765013139.07, 4305.87, 563.89, 1502.08, 84.80
1765013143.38, 4184.06, 563.89, 1502.08, 85.90
1765013147.57, 4249.01, 563.89, 1502.08, 85.90
1765013151.82, 4468.23, 563.89, 1502.08, 84.25
1765013156.28, 4360.40, 563.89, 1502.08, 85.35
1765013160.65, 4318.00, 563.89, 1502.08, 85.90
1765013164.97, 4425.50, 563.89, 1502.08, 85.90
1765013169.39, 4329.40, 563.89, 1502.08, 85.35
1765013173.72, 4235.13, 563.89, 1502.08, 85.35
1765013177.96, 4282.96, 563.89, 1502.08, 85.35
1765013182.25, 4214.44, 563.89, 1502.08, 84.80
1765013186.46, 4387.64, 563.89, 1502.08, 86.45
1765013190.86, 4311.28, 563.89, 1502.08, 85.90
1765013195.17, 4298.26, 563.89, 1502.08, 85.35
1765013199.47, 4055.16, 563.89, 1502.08, 85.90
1765013203.53, 4244.96, 563.89, 1502.08, 85.35
1765013207.78, 4332.40, 563.89, 1502.08, 85.35
1765013212.11, 4437.07, 563.89, 1502.08, 84.80
1765013216.55, 4347.50, 563.89, 1502.08, 85.35
1765013220.90, 4239.52, 563.89, 1502.08, 85.35
