timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780893445.79, 4386.21, 565.59, 1503.83, 83.70
1780893450.19, 4442.37, 565.59, 1503.83, 84.25
1780893454.63, 4432.40, 565.59, 1503.83, 84.80
1780893459.07, 4458.71, 565.59, 1503.83, 84.80
1780893463.53, 4509.33, 565.59, 1503.83, 84.80
1780893468.04, 4423.74, 565.59, 1503.83, 84.80
1780893472.47, 4578.12, 565.59, 1503.83, 84.25
1780893477.05, 4314.56, 565.59, 1503.83, 85.35
1780893481.37, 4512.51, 565.59, 1503.83, 84.80
1780893485.88, 4528.20, 565.59, 1503.83, 84.80
1780893490.41, 4341.85, 565.59, 1503.83, 86.45
1780893494.76, 4504.95, 565.59, 1503.83, 85.90
1780893499.27, 4494.92, 565.59, 1503.83, 86.45
1780893503.76, 4406.91, 565.59, 1503.83, 84.80
1780893508.17, 4476.43, 565.59, 1503.83, 83.70
1780893512.65, 4376.11, 565.59, 1503.83, 85.35
1780893517.03, 4437.29, 565.59, 1503.83, 87.00
1780893521.47, 4511.49, 565.59, 1503.83, 84.80
1780893525.98, 4397.41, 565.59, 1503.83, 85.90
1780893530.38, 4407.33, 565.59, 1503.83, 85.35
1780893534.79, 4375.95, 565.59, 1503.83, 84.25
1780893539.17, 4427.67, 565.59, 1503.83, 84.80
1780893543.60, 4486.66, 565.59, 1503.83, 85.35
1780893548.09, 4408.76, 565.59, 1503.83, 84.25
1780893552.50, 4596.93, 565.59, 1503.83, 85.90
1780893557.10, 4644.86, 565.59, 1503.83, 84.25
1780893561.74, 4457.74, 565.59, 1503.83, 86.45
1780893566.21, 4315.45, 565.59, 1503.83, 85.90
1780893570.53, 4338.34, 565.59, 1503.83, 85.35
1780893574.87, 4353.45, 565.59, 1503.83, 85.90
1780893579.22, 4473.19, 565.59, 1503.83, 85.90
1780893583.70, 4458.36, 565.59, 1503.83, 85.90
1780893588.16, 4465.17, 565.59, 1503.83, 85.35
1780893592.62, 4431.12, 565.59, 1503.83, 85.35
1780893597.06, 4694.53, 565.59, 1503.83, 85.90
1780893601.75, 4556.17, 565.59, 1503.83, 84.80
1780893606.31, 4425.11, 565.59, 1503.83, 85.35
1780893610.74, 4359.00, 565.59, 1503.83, 85.90
1780893615.11, 4654.93, 565.59, 1503.83, 85.35
1780893619.76, 4473.72, 565.59, 1503.83, 85.90
1780893624.24, 4440.22, 565.59, 1503.83, 85.90
1780893628.68, 4374.56, 565.59, 1503.83, 85.35
1780893633.05, 4457.33, 565.59, 1503.83, 85.90
1780893637.51, 4403.86, 565.59, 1503.83, 86.45
1780893641.92, 4552.02, 565.59, 1503.83, 85.90
1780893646.47, 4418.61, 565.59, 1503.83, 85.35
1780893650.89, 4352.22, 565.59, 1503.83, 83.70
1780893655.24, 4528.07, 565.59, 1503.83, 85.35
1780893659.77, 4433.14, 565.59, 1503.83, 85.90
1780893664.21, 4461.01, 565.59, 1503.83, 87.00
1780893668.67, 4603.35, 565.59, 1503.83, 86.45
1780893673.28, 4453.36, 565.59, 1503.83, 85.35
1780893677.74, 4517.25, 565.59, 1503.83, 85.90
1780893682.26, 4500.27, 565.59, 1503.83, 87.55
1780893686.76, 4430.35, 565.59, 1503.83, 83.70
1780893691.20, 4680.78, 565.59, 1503.83, 85.35
1780893695.88, 4508.28, 565.59, 1503.83, 85.90
1780893700.39, 4750.17, 565.59, 1503.83, 86.45
1780893705.14, 4471.60, 565.59, 1503.83, 84.80
1780893709.61, 4473.25, 565.59, 1503.83, 85.90
1780893714.09, 4608.20, 565.59, 1503.83, 85.90
1780893718.70, 4438.84, 565.59, 1503.83, 85.35
1780893723.14, 4534.67, 565.59, 1503.83, 85.90
1780893727.68, 4357.35, 565.59, 1503.83, 85.90
1780893732.04, 4375.29, 565.59, 1503.83, 84.80
1780893736.41, 4656.56, 565.59, 1503.83, 85.90
1780893741.07, 4355.41, 565.59, 1503.83, 85.90
1780893745.44, 4525.27, 565.59, 1503.83, 86.45
1780893749.96, 4466.12, 565.59, 1503.83, 85.35
1780893754.43, 4338.60, 565.59, 1503.83, 85.90
1780893758.77, 4480.92, 565.59, 1503.83, 86.45
1780893763.25, 4408.00, 565.59, 1503.83, 85.90
1780893767.66, 4542.02, 565.59, 1503.83, 84.80
1780893772.21, 4527.31, 565.59, 1503.83, 86.45
1780893776.74, 4520.36, 565.59, 1503.83, 84.80
1780893781.26, 4353.73, 565.59, 1503.83, 86.45
1780893785.62, 4655.04, 565.59, 1503.83, 85.90
1780893790.28, 4403.35, 565.59, 1503.83, 87.00
1780893794.69, 4704.01, 565.59, 1503.83, 85.90
1780893799.39, 4365.08, 565.59, 1503.83, 87.00
1780893803.76, 4612.08, 565.59, 1503.83, 85.90
1780893808.38, 4470.03, 565.59, 1503.83, 87.00
1780893812.85, 4403.68, 565.59, 1503.83, 84.80
1780893817.25, 4593.09, 565.59, 1503.83, 86.45
1780893821.85, 4443.06, 565.59, 1503.83, 87.55
1780893826.29, 4548.07, 565.59, 1503.83, 87.00
1780893830.84, 4624.30, 565.59, 1503.83, 86.45
1780893835.47, 4605.96, 565.59, 1503.83, 86.45
1780893840.08, 4594.35, 565.59, 1503.83, 87.00
1780893844.67, 4389.69, 565.59, 1503.83, 87.55
1780893849.06, 4575.66, 565.59, 1503.83, 86.45
1780893853.65, 4433.48, 565.59, 1503.83, 87.55
1780893858.08, 4935.36, 565.59, 1503.83, 86.45
1780893863.02, 5292.49, 565.59, 1503.83, 87.00
1780893868.32, 4689.94, 565.59, 1503.83, 87.55
1780893873.01, 4562.25, 565.59, 1503.83, 87.00
1780893877.57, 4304.15, 565.59, 1503.83, 87.00
1780893881.88, 4438.96, 565.59, 1503.83, 86.45
1780893886.32, 4438.06, 565.59, 1503.83, 87.00
1780893890.76, 4591.94, 565.59, 1503.83, 88.10
