timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1765359951.32, 3834.56, 565.88, 1504.08, 82.05
1765359955.16, 3783.76, 565.88, 1504.08, 81.50
1765359958.94, 3780.44, 565.88, 1504.08, 81.50
1765359962.72, 3912.78, 565.88, 1504.08, 83.15
1765359966.64, 3893.35, 565.88, 1504.08, 82.60
1765359970.53, 3836.05, 565.88, 1504.08, 81.50
1765359974.37, 3946.49, 565.88, 1504.08, 83.15
1765359978.32, 4043.62, 565.88, 1504.08, 83.15
1765359982.37, 4078.66, 565.88, 1504.08, 84.25
1765359986.46, 4081.62, 565.88, 1504.08, 83.70
1765359990.54, 4053.07, 565.88, 1504.08, 84.25
1765359994.60, 3938.54, 565.88, 1504.08, 82.60
1765359998.53, 4059.43, 565.88, 1504.08, 83.15
1765360002.59, 4051.65, 565.88, 1504.08, 83.70
1765360006.65, 3978.04, 565.88, 1504.08, 84.25
1765360010.63, 4046.91, 565.88, 1504.08, 83.15
1765360014.68, 4120.03, 565.88, 1504.08, 83.15
1765360018.80, 4107.07, 565.88, 1504.08, 83.70
1765360022.91, 4023.61, 565.88, 1504.08, 83.15
1765360026.94, 4011.75, 565.88, 1504.08, 83.15
1765360030.96, 4144.97, 565.88, 1504.08, 85.90
1765360035.11, 4124.41, 565.88, 1504.08, 84.80
1765360039.24, 4196.15, 565.88, 1504.08, 84.80
1765360043.44, 4082.06, 565.88, 1504.08, 84.25
1765360047.52, 4293.64, 565.88, 1504.08, 84.25
1765360051.81, 4185.75, 565.88, 1504.08, 84.25
1765360056.00, 4082.41, 565.88, 1504.08, 84.80
1765360060.08, 4142.93, 565.88, 1504.08, 84.25
1765360064.23, 4188.49, 565.88, 1504.08, 84.25
1765360068.42, 4133.12, 565.88, 1504.08, 83.70
1765360072.55, 4155.96, 565.88, 1504.08, 83.70
1765360076.71, 4232.60, 565.88, 1504.08, 83.70
1765360080.95, 4235.95, 565.88, 1504.08, 83.70
