timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1764935704.29, 4081.04, 565.54, 1503.77, 85.90
1764935708.37, 4140.16, 565.66, 1503.77, 83.70
1764935712.51, 3943.17, 565.66, 1503.77, 84.80
1764935716.46, 4128.81, 565.66, 1503.77, 83.70
1764935720.59, 4056.20, 565.66, 1503.77, 83.15
1764935724.65, 4134.29, 565.66, 1503.77, 84.80
1764935728.78, 4134.10, 565.66, 1503.77, 84.80
1764935732.92, 4156.37, 565.66, 1503.77, 84.25
1764935737.08, 4126.79, 565.66, 1503.77, 84.80
1764935741.20, 4141.23, 565.66, 1503.77, 84.25
1764935745.35, 4069.34, 565.66, 1503.77, 83.70
1764935749.42, 4107.80, 565.66, 1503.77, 84.80
1764935753.52, 4228.71, 565.66, 1503.77, 84.25
1764935757.76, 4163.74, 565.66, 1503.77, 84.80
1764935761.92, 4132.16, 565.66, 1503.77, 83.15
1764935766.06, 4071.34, 565.66, 1503.77, 84.80
1764935770.13, 4204.98, 565.66, 1503.77, 84.80
1764935774.34, 4215.74, 565.66, 1503.77, 84.80
1764935778.56, 4183.79, 565.66, 1503.77, 84.80
1764935782.74, 4159.82, 565.66, 1503.77, 85.35
1764935786.91, 4048.12, 565.66, 1503.77, 85.90
1764935790.96, 4075.87, 565.66, 1503.77, 84.80
1764935795.04, 4346.68, 565.66, 1503.77, 85.35
1764935799.38, 4171.07, 565.66, 1503.77, 84.25
1764935803.56, 4240.38, 565.66, 1503.77, 84.25
1764935807.80, 4211.17, 565.66, 1503.77, 85.35
1764935812.02, 4135.74, 565.66, 1503.77, 84.80
1764935816.15, 4288.46, 565.66, 1503.77, 84.25
1764935820.44, 4298.66, 565.66, 1503.77, 85.35
1764935824.74, 4251.39, 565.66, 1503.77, 84.80
1764935829.00, 4406.55, 565.66, 1503.77, 85.90
1764935833.41, 4274.06, 565.66, 1503.77, 86.45
1764935837.68, 4109.36, 565.66, 1503.77, 84.25
1764935841.79, 4266.92, 565.66, 1503.77, 83.15
1764935846.06, 4408.33, 565.66, 1503.77, 83.70
1764935850.47, 4263.92, 565.66, 1503.77, 84.80
1764935854.74, 4359.92, 565.66, 1503.77, 85.90
1764935859.10, 4332.59, 565.66, 1503.77, 84.25
1764935863.43, 4213.16, 565.66, 1503.77, 86.45
1764935867.64, 4434.24, 565.66, 1503.77, 84.80
1764935872.08, 4282.91, 565.66, 1503.77, 84.80
1764935876.37, 4278.93, 565.66, 1503.77, 84.80
1764935880.65, 4295.47, 565.66, 1503.77, 86.45
1764935884.95, 4215.22, 565.66, 1503.77, 84.25
1764935889.17, 4356.46, 565.66, 1503.77, 85.35
1764935893.53, 4401.59, 565.66, 1503.77, 85.35
1764935897.93, 4188.02, 565.66, 1503.77, 85.35
1764935902.12, 4253.79, 565.66, 1503.77, 85.90
1764935906.38, 4401.31, 565.66, 1503.77, 86.45
1764935910.78, 4223.98, 565.66, 1503.77, 84.80
1764935915.00, 4505.85, 565.66, 1503.77, 85.90
1764935919.51, 4321.50, 565.66, 1503.77, 85.35
1764935923.83, 4354.68, 565.66, 1503.77, 85.90
1764935928.19, 4254.11, 565.66, 1503.77, 84.80
1764935932.44, 4297.82, 565.66, 1503.77, 84.80
1764935936.74, 4352.26, 565.66, 1503.77, 84.80
1764935941.10, 4399.55, 565.66, 1503.77, 85.90
1764935945.50, 4250.93, 565.66, 1503.77, 85.35
1764935949.75, 4276.15, 565.66, 1503.77, 85.35
1764935954.03, 4377.36, 565.66, 1503.77, 85.35
1764935958.41, 4242.30, 565.66, 1503.77, 86.45
1764935962.65, 4333.51, 565.66, 1503.77, 84.25
1764935966.99, 4186.60, 565.66, 1503.77, 85.35
1764935971.18, 4310.18, 565.66, 1503.77, 85.90
1764935975.49, 4291.84, 565.66, 1503.77, 85.35
1764935979.78, 4362.02, 565.66, 1503.77, 85.35
