timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761985535.25, 10430.05, 746.37, 1955.52, 84.25
1761985545.68, 10552.29, 746.37, 1955.52, 84.80
1761985556.23, 9968.01, 746.37, 1955.52, 84.80
1761985566.21, 10061.72, 746.37, 1955.52, 86.45
1761985576.27, 10008.20, 746.37, 1955.52, 87.00
1761985586.28, 10257.06, 746.37, 1955.52, 84.80
1761985596.54, 10065.64, 746.37, 1955.52, 84.80
1761985606.61, 10111.84, 746.37, 1955.52, 85.35
1761985616.72, 10149.73, 746.37, 1955.52, 85.90
1761985626.87, 10192.28, 746.37, 1955.52, 85.90
1761985637.07, 10452.55, 746.37, 1955.52, 86.45
1761985647.52, 10234.35, 746.37, 1955.52, 85.35
1761985657.76, 10383.20, 746.37, 1955.52, 84.80
1761985668.15, 10063.13, 746.37, 1955.52, 85.35
1761985678.21, 10212.14, 746.37, 1955.52, 84.80
1761985688.43, 10360.01, 746.37, 1955.52, 85.35
1761985698.79, 10264.17, 746.37, 1955.52, 84.25
1761985709.05, 10013.31, 746.37, 1955.52, 85.35
1761985719.07, 10387.60, 746.37, 1955.52, 85.35
1761985729.45, 10360.09, 746.37, 1955.52, 85.35
1761985739.81, 10195.55, 746.37, 1955.52, 86.45
1761985750.01, 10289.11, 746.37, 1955.52, 86.45
1761985760.30, 10223.63, 746.37, 1955.52, 85.90
1761985770.53, 10248.82, 746.37, 1955.52, 84.25
1761985780.78, 10710.21, 746.37, 1955.52, 85.90
1761985791.49, 10157.70, 746.37, 1955.52, 84.80
1761985801.65, 10536.57, 746.37, 1955.52, 85.35
1761985812.19, 10238.92, 746.37, 1955.52, 84.80
1761985822.43, 10248.47, 746.37, 1955.52, 85.90
1761985832.68, 10416.77, 746.37, 1955.52, 85.35
1761985843.10, 10131.37, 746.37, 1955.52, 85.90
1761985853.23, 10560.86, 746.37, 1955.52, 85.35
1761985863.80, 10406.30, 746.37, 1955.52, 85.35
1761985874.20, 10075.80, 746.37, 1955.52, 85.90
1761985884.28, 10381.03, 746.37, 1955.52, 86.45
1761985894.66, 10458.29, 746.37, 1955.52, 84.80
1761985905.12, 10459.42, 746.37, 1955.52, 84.25
1761985915.59, 10497.28, 746.37, 1955.52, 84.80
1761985926.09, 10264.45, 746.37, 1955.52, 85.35
1761985936.35, 10429.08, 746.37, 1955.52, 85.35
1761985946.78, 10651.76, 746.37, 1955.52, 84.80
1761985957.44, 10580.65, 746.37, 1955.52, 85.35
1761985968.02, 10409.40, 746.37, 1955.52, 84.80
1761985978.43, 10403.53, 746.37, 1955.52, 85.35
1761985988.84, 10489.30, 746.37, 1955.52, 84.25
1761985999.33, 10364.33, 746.37, 1955.52, 85.90
1761986009.69, 10362.62, 746.37, 1955.52, 84.80
1761986020.06, 10321.70, 746.37, 1955.52, 84.80
1761986030.38, 10742.21, 746.37, 1955.52, 85.90
1761986041.13, 10489.76, 746.37, 1955.52, 84.80
1761986051.62, 10483.02, 746.37, 1955.52, 85.35
1761986062.10, 10458.96, 746.37, 1955.52, 85.35
1761986072.57, 10799.00, 746.37, 1955.52, 85.90
1761986083.37, 10327.11, 746.37, 1955.52, 85.90
1761986093.70, 10340.00, 746.37, 1955.52, 86.45
1761986104.04, 10734.62, 746.37, 1955.52, 85.90
1761986114.78, 10512.39, 746.37, 1955.52, 84.80
1761986125.29, 10263.03, 746.37, 1955.52, 85.35
1761986135.56, 10372.02, 746.37, 1955.52, 85.35
1761986145.93, 10579.41, 746.37, 1955.52, 85.35
1761986156.51, 10576.03, 746.37, 1955.52, 85.35
1761986167.09, 10858.25, 746.37, 1955.52, 86.45
1761986177.95, 10530.28, 746.37, 1955.52, 85.90
1761986188.49, 10461.41, 746.37, 1955.52, 85.90
1761986198.95, 10824.64, 746.37, 1955.52, 85.90
1761986209.78, 10665.76, 746.37, 1955.52, 85.90
1761986220.44, 10322.68, 746.37, 1955.52, 86.45
1761986230.77, 10496.97, 746.37, 1955.52, 84.80
1761986241.27, 10400.07, 746.50, 1955.52, 85.90
1761986251.67, 10657.33, 746.50, 1955.52, 85.90
1761986262.33, 10764.17, 746.50, 1955.52, 85.90
1761986273.10, 10890.46, 746.50, 1955.52, 84.80
1761986283.99, 10603.41, 746.50, 1955.52, 85.90
1761986294.59, 10454.85, 746.50, 1955.52, 87.00
1761986305.05, 10694.21, 746.50, 1955.52, 84.25
1761986315.75, 10692.59, 746.50, 1955.52, 86.45
1761986326.45, 10570.61, 746.50, 1955.52, 85.35
1761986337.02, 10831.62, 746.50, 1955.52, 85.35
1761986347.85, 10728.14, 746.50, 1955.52, 86.45
1761986358.59, 10526.82, 746.50, 1955.52, 86.45
1761986369.11, 10543.72, 746.50, 1955.52, 86.45
1761986379.66, 10830.14, 746.50, 1955.52, 85.90
1761986390.49, 10448.96, 746.50, 1955.52, 85.90
1761986400.94, 10291.46, 746.50, 1955.52, 85.35
1761986411.24, 10430.53, 746.50, 1955.52, 87.00
1761986421.67, 10864.73, 746.50, 1955.52, 85.35
1761986432.54, 10816.53, 746.50, 1955.52, 84.80
1761986443.36, 10638.31, 746.50, 1955.52, 85.90
1761986454.00, 10459.28, 746.50, 1955.52, 85.90
1761986464.46, 10854.03, 746.50, 1955.52, 85.35
1761986475.31, 10881.22, 746.50, 1955.52, 87.00
1761986486.20, 10530.42, 746.50, 1955.52, 87.00
1761986496.73, 10416.45, 746.50, 1955.52, 85.90
1761986507.15, 10346.07, 746.50, 1955.52, 85.35
1761986517.50, 10553.05, 746.50, 1955.52, 85.35
1761986528.05, 10329.79, 746.50, 1955.52, 88.10
1761986538.38, 10671.22, 746.50, 1955.52, 85.90
1761986549.06, 10683.61, 746.50, 1955.52, 87.00
1761986559.75, 10594.94, 746.50, 1955.52, 84.80
1761986570.34, 10376.55, 746.50, 1955.52, 84.80
