timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761564131.86, 2387.29, 478.23, 1383.72, 83.70
1761564134.25, 2556.63, 478.23, 1383.72, 82.60
1761564136.81, 2375.46, 478.23, 1383.72, 85.90
1761564139.19, 2433.58, 478.23, 1383.72, 84.80
1761564141.63, 2372.77, 478.23, 1383.72, 84.80
1761564144.00, 2452.97, 478.23, 1383.72, 84.25
1761564146.46, 2424.50, 478.23, 1383.72, 84.80
1761564148.88, 2451.68, 478.23, 1383.72, 85.35
1761564151.34, 2295.15, 478.23, 1383.72, 83.70
1761564153.64, 2454.66, 478.23, 1383.72, 84.80
1761564156.09, 2494.00, 478.23, 1383.72, 84.80
1761564158.59, 2460.03, 478.23, 1383.72, 84.25
1761564161.05, 2350.37, 478.23, 1383.72, 84.80
1761564163.40, 2464.11, 478.23, 1383.72, 85.35
1761564165.87, 2463.63, 478.23, 1383.72, 83.15
1761564168.34, 2388.00, 478.23, 1383.72, 83.70
1761564170.73, 2478.26, 478.23, 1383.72, 82.60
1761564173.21, 2489.78, 478.23, 1383.72, 84.80
1761564175.70, 2521.74, 478.23, 1383.72, 84.80
1761564178.22, 2546.16, 478.23, 1383.72, 84.25
1761564180.77, 2403.01, 478.23, 1383.72, 86.45
1761564183.18, 2586.30, 478.23, 1383.72, 84.25
1761564185.77, 2472.80, 478.23, 1383.72, 85.35
1761564188.24, 2474.49, 478.23, 1383.72, 84.80
1761564190.72, 2461.20, 478.23, 1383.72, 84.80
1761564193.18, 2409.87, 478.23, 1383.72, 84.80
1761564195.60, 2492.64, 478.23, 1383.72, 84.25
1761564198.09, 2386.43, 478.23, 1383.72, 83.70
1761564200.48, 2483.05, 478.23, 1383.72, 84.25
1761564202.96, 2495.94, 478.23, 1383.72, 85.90
1761564205.46, 2368.00, 478.23, 1383.72, 84.80
1761564207.83, 2425.22, 478.23, 1383.72, 84.80
1761564210.26, 2382.80, 478.23, 1383.72, 84.80
1761564212.64, 2547.30, 478.23, 1383.72, 85.35
1761564215.19, 2547.20, 478.23, 1383.72, 83.15
1761564217.74, 2562.12, 478.23, 1383.72, 85.35
1761564220.30, 2562.36, 478.23, 1383.72, 84.80
1761564222.87, 2494.29, 478.23, 1383.72, 86.45
1761564225.36, 2500.72, 478.23, 1383.72, 87.00
1761564227.86, 2559.52, 478.23, 1383.72, 85.35
1761564230.42, 2415.10, 478.23, 1383.72, 84.80
1761564232.84, 2613.56, 478.23, 1383.72, 84.25
1761564235.45, 2458.15, 478.23, 1383.72, 84.80
1761564237.92, 2418.79, 478.23, 1383.72, 85.35
1761564240.34, 2550.07, 478.23, 1383.72, 84.25
1761564242.89, 2513.22, 478.23, 1383.72, 84.25
1761564245.41, 2447.32, 478.23, 1383.72, 84.25
1761564247.85, 2468.41, 478.23, 1383.72, 84.80
1761564250.32, 2571.77, 478.23, 1383.72, 86.45
1761564252.90, 2616.55, 478.23, 1383.72, 84.80
1761564255.52, 2511.50, 478.23, 1383.72, 84.25
1761564258.03, 2462.06, 478.23, 1383.72, 84.80
1761564260.50, 2428.46, 478.23, 1383.72, 84.25
1761564262.93, 2505.48, 478.23, 1383.72, 85.35
1761564265.44, 2536.06, 478.23, 1383.72, 84.80
1761564267.97, 2483.07, 478.23, 1383.72, 84.25
1761564270.46, 2409.32, 478.23, 1383.72, 85.90
1761564272.87, 2427.22, 478.23, 1383.72, 84.80
1761564275.30, 2439.45, 478.23, 1383.72, 85.90
1761564277.74, 2525.63, 478.23, 1383.72, 84.80
1761564280.27, 2416.93, 478.23, 1383.72, 84.80
1761564282.69, 2485.33, 478.23, 1383.72, 84.25
1761564285.17, 2369.01, 478.23, 1383.72, 85.35
1761564287.55, 2515.34, 478.23, 1383.72, 85.90
1761564290.07, 2509.52, 478.23, 1383.72, 85.90
1761564292.58, 2457.62, 478.23, 1383.72, 84.80
1761564295.04, 2468.09, 478.23, 1383.72, 85.35
1761564297.51, 2533.96, 478.23, 1383.72, 85.35
1761564300.04, 2609.39, 478.23, 1383.72, 85.35
1761564302.65, 2580.98, 478.23, 1383.72, 87.55
1761564305.23, 2469.42, 478.23, 1383.72, 84.80
1761564307.70, 2518.11, 478.23, 1383.72, 83.70
1761564310.22, 2408.41, 478.23, 1383.72, 85.35
1761564312.63, 2504.12, 478.23, 1383.72, 84.80
1761564315.13, 2566.71, 478.23, 1383.72, 85.35
1761564317.70, 2523.58, 478.23, 1383.72, 84.80
1761564320.23, 2474.63, 478.23, 1383.72, 85.90
1761564322.70, 2519.36, 478.23, 1383.72, 85.90
1761564325.22, 2435.40, 478.23, 1383.72, 85.90
1761564327.66, 2618.52, 478.23, 1383.72, 86.45
1761564330.28, 2625.12, 478.23, 1383.72, 84.80
1761564332.91, 2441.95, 478.35, 1383.72, 85.35
1761564335.36, 2463.61, 478.35, 1383.72, 85.90
1761564337.83, 2546.27, 478.35, 1383.72, 85.35
1761564340.38, 2491.19, 478.35, 1383.72, 85.35
1761564342.87, 2586.62, 478.35, 1383.72, 85.90
1761564345.46, 2588.39, 478.35, 1383.72, 85.35
1761564348.05, 2517.19, 478.35, 1383.72, 85.35
1761564350.57, 2512.68, 478.35, 1383.72, 85.35
1761564353.08, 2505.65, 478.35, 1383.72, 86.45
1761564355.59, 2457.65, 478.35, 1383.72, 85.35
1761564358.05, 2511.37, 478.35, 1383.72, 87.00
1761564360.56, 2441.00, 478.35, 1383.72, 84.80
1761564363.01, 2477.17, 478.35, 1383.72, 86.45
1761564365.49, 2561.62, 478.35, 1383.72, 84.80
1761564368.05, 2541.03, 478.35, 1383.72, 84.80
1761564370.59, 2531.33, 478.35, 1383.72, 86.45
1761564373.13, 2530.32, 478.35, 1383.72, 84.80
1761564375.66, 2519.20, 478.35, 1383.72, 84.80
1761564378.18, 2348.79, 478.35, 1383.72, 85.35
1761564380.53, 2594.35, 478.35, 1383.72, 84.80
1761564383.13, 2609.43, 478.35, 1383.72, 85.35
1761564385.74, 2528.98, 478.35, 1383.72, 84.80
1761564388.27, 2543.99, 478.35, 1383.72, 85.90
1761564390.82, 2527.92, 478.35, 1383.72, 84.80
1761564393.35, 2369.36, 478.35, 1383.72, 84.80
1761564395.72, 2511.67, 478.35, 1383.72, 86.45
1761564398.23, 2619.56, 478.35, 1383.72, 85.35
1761564400.86, 2435.62, 478.35, 1383.72, 85.35
1761564403.29, 2607.74, 478.35, 1383.72, 87.00
1761564405.90, 2603.79, 478.35, 1383.72, 85.35
1761564408.51, 2507.85, 478.35, 1383.72, 85.90
1761564411.02, 2536.70, 478.35, 1383.72, 85.90
1761564413.56, 2590.58, 478.35, 1383.72, 85.35
1761564416.15, 2590.36, 478.35, 1383.72, 85.35
1761564418.74, 2358.26, 478.35, 1383.72, 85.35
1761564421.10, 2486.63, 478.35, 1383.72, 85.35
1761564423.59, 2480.57, 478.35, 1383.72, 86.45
1761564426.08, 2618.34, 478.35, 1383.72, 85.35
1761564428.69, 2450.84, 478.35, 1383.72, 85.90
1761564431.15, 2558.65, 478.35, 1383.72, 85.90
1761564433.71, 2487.76, 478.35, 1383.72, 85.90
1761564436.20, 2595.48, 478.35, 1383.72, 85.35
1761564438.79, 2447.95, 478.35, 1383.72, 87.55
1761564441.24, 2480.63, 478.35, 1383.72, 88.10
1761564443.72, 2471.13, 478.35, 1383.72, 86.45
1761564446.20, 2390.91, 478.35, 1383.72, 85.35
