timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761565353.55, 631.31, 351.18, 1236.86, 74.90
1761565354.18, 670.08, 351.18, 1236.86, 75.45
1761565354.85, 627.47, 351.18, 1236.86, 74.90
1761565355.48, 657.17, 351.18, 1236.86, 74.35
1761565356.14, 627.78, 351.18, 1236.86, 75.45
1761565356.77, 655.45, 351.18, 1236.86, 77.10
1761565357.43, 609.19, 351.18, 1236.86, 76.55
1761565358.04, 637.03, 351.18, 1236.86, 76.00
1761565358.68, 605.73, 351.18, 1236.86, 76.00
1761565359.29, 645.46, 351.18, 1236.86, 76.00
1761565359.93, 648.95, 351.18, 1236.86, 76.00
1761565360.59, 625.17, 351.18, 1236.86, 76.55
1761565361.22, 649.94, 351.18, 1236.86, 77.65
1761565361.87, 635.39, 351.18, 1236.86, 78.20
1761565362.50, 630.79, 351.18, 1236.86, 76.00
1761565363.13, 644.12, 351.18, 1236.86, 76.55
1761565363.78, 605.13, 351.18, 1236.86, 77.65
1761565364.39, 647.16, 351.18, 1236.86, 76.55
1761565365.04, 693.35, 351.18, 1236.86, 77.65
1761565365.73, 717.95, 351.18, 1236.86, 79.30
1761565366.45, 712.77, 351.18, 1236.86, 80.40
1761565367.17, 592.78, 351.18, 1236.86, 78.75
1761565367.76, 700.77, 351.18, 1236.86, 77.65
1761565368.46, 672.14, 351.18, 1236.86, 78.75
1761565369.14, 660.21, 351.18, 1236.86, 79.30
1761565369.80, 649.31, 351.18, 1236.86, 79.30
1761565370.45, 707.26, 351.18, 1236.86, 78.75
1761565371.16, 576.55, 351.18, 1236.86, 79.30
1761565371.75, 672.54, 351.18, 1236.86, 80.95
1761565372.42, 628.06, 351.18, 1236.86, 78.20
1761565373.05, 608.04, 351.18, 1236.86, 79.85
1761565373.67, 648.64, 351.18, 1236.86, 78.75
1761565374.32, 637.08, 351.18, 1236.86, 79.30
1761565374.96, 634.27, 351.18, 1236.86, 79.85
1761565375.59, 714.09, 351.18, 1236.86, 79.30
1761565376.31, 689.50, 351.18, 1236.86, 78.75
1761565377.00, 604.72, 351.18, 1236.86, 79.30
1761565377.61, 634.77, 351.18, 1236.86, 80.95
1761565378.24, 651.13, 351.18, 1236.86, 80.95
1761565378.89, 705.63, 351.18, 1236.86, 82.05
1761565379.60, 686.45, 351.18, 1236.86, 81.50
