timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761568202.08, 1241.82, 439.38, 1331.94, 77.65
1761568203.32, 1148.59, 439.50, 1331.94, 77.10
1761568204.47, 1180.10, 439.50, 1331.94, 78.75
1761568205.66, 1218.41, 439.50, 1331.94, 77.10
1761568206.88, 1224.68, 439.50, 1331.94, 77.10
1761568208.10, 1178.77, 439.50, 1331.94, 77.65
1761568209.28, 1205.03, 439.50, 1331.94, 78.75
1761568210.49, 1208.17, 439.50, 1331.94, 79.30
1761568211.70, 1154.46, 439.50, 1331.94, 79.30
1761568212.86, 1216.71, 439.50, 1331.94, 79.30
1761568214.07, 1140.65, 439.50, 1331.94, 79.85
1761568215.22, 1209.17, 439.50, 1331.94, 79.85
1761568216.43, 1159.43, 439.50, 1331.94, 79.85
1761568217.59, 1190.19, 439.50, 1331.94, 79.30
1761568218.78, 1216.46, 439.50, 1331.94, 80.95
1761568220.00, 1112.46, 439.50, 1331.94, 80.40
1761568221.11, 1187.41, 439.50, 1331.94, 80.95
1761568222.30, 1150.20, 439.50, 1331.94, 79.85
1761568223.46, 1166.29, 439.50, 1331.94, 81.50
1761568224.63, 1185.25, 439.50, 1331.94, 80.40
1761568225.81, 1215.36, 439.50, 1331.94, 80.95
1761568227.03, 1226.30, 439.50, 1331.94, 80.95
1761568228.26, 1223.15, 439.50, 1331.94, 82.05
1761568229.48, 1237.96, 439.50, 1331.94, 82.05
1761568230.72, 1122.24, 439.50, 1331.94, 81.50
1761568231.85, 1190.31, 439.50, 1331.94, 82.05
1761568233.04, 1167.18, 439.50, 1331.94, 82.60
1761568234.21, 1223.42, 439.50, 1331.94, 82.05
1761568235.43, 1229.18, 439.50, 1331.94, 82.05
1761568236.66, 1246.27, 439.50, 1331.94, 82.05
1761568237.91, 1291.61, 439.50, 1331.94, 83.15
1761568239.20, 1224.13, 439.50, 1331.94, 82.05
1761568240.43, 1152.21, 439.50, 1331.94, 84.25
1761568241.58, 1222.61, 439.50, 1331.94, 83.70
1761568242.81, 1191.14, 439.50, 1331.94, 83.15
1761568244.00, 1222.22, 439.50, 1331.94, 82.05
1761568245.22, 1249.78, 439.50, 1331.94, 83.15
1761568246.48, 1214.71, 439.50, 1331.94, 83.15
1761568247.69, 1220.79, 439.50, 1331.94, 83.70
1761568248.91, 1254.12, 439.50, 1331.94, 85.35
1761568250.17, 1235.36, 439.50, 1331.94, 85.90
1761568251.40, 1258.00, 439.50, 1331.94, 83.70
1761568252.66, 1221.68, 439.50, 1331.94, 83.70
1761568253.88, 1226.28, 439.50, 1331.94, 84.25
1761568255.11, 1171.59, 439.50, 1331.94, 85.35
1761568256.28, 1126.19, 439.50, 1331.94, 84.80
1761568257.41, 1207.55, 439.50, 1331.94, 84.80
1761568258.62, 1172.84, 439.50, 1331.94, 85.35
1761568259.80, 1224.22, 439.50, 1331.94, 84.25
1761568261.02, 1255.07, 439.50, 1331.94, 84.25
1761568262.28, 1200.68, 439.50, 1331.94, 83.70
1761568263.48, 1295.75, 439.50, 1331.94, 85.90
1761568264.78, 1235.93, 439.50, 1331.94, 84.80
1761568266.02, 1227.20, 439.50, 1331.94, 84.80
1761568267.25, 1206.47, 439.50, 1331.94, 85.35
1761568268.46, 1251.33, 439.50, 1331.94, 85.35
1761568269.71, 1130.15, 439.50, 1331.94, 85.90
1761568270.84, 1284.36, 439.50, 1331.94, 85.35
1761568272.13, 1279.90, 439.50, 1331.94, 84.80
1761568273.41, 1134.83, 439.50, 1331.94, 85.90
1761568274.55, 1151.50, 439.50, 1331.94, 83.70
1761568275.70, 1218.86, 439.50, 1331.94, 83.70
1761568276.92, 1296.18, 439.50, 1331.94, 84.25
1761568278.22, 1224.69, 439.50, 1331.94, 84.80
1761568279.45, 1142.54, 439.50, 1331.94, 84.80
1761568280.59, 1252.28, 439.50, 1331.94, 83.70
1761568281.85, 1370.16, 439.50, 1331.94, 85.35
1761568283.22, 1179.71, 439.50, 1331.94, 84.80
1761568284.40, 1294.23, 439.50, 1331.94, 83.70
1761568285.70, 1228.73, 439.50, 1331.94, 83.15
1761568286.93, 1185.85, 439.50, 1331.94, 84.25
1761568288.12, 1432.00, 439.50, 1331.94, 85.35
1761568289.55, 1296.35, 439.50, 1331.94, 84.25
1761568290.85, 1264.91, 439.50, 1331.94, 84.25
1761568292.12, 1231.25, 439.50, 1331.94, 85.90
1761568293.35, 1179.84, 439.50, 1331.94, 85.90
1761568294.53, 1221.49, 439.50, 1331.94, 85.35
1761568295.75, 1211.25, 439.50, 1331.94, 85.35
1761568296.97, 1166.47, 439.50, 1331.94, 84.80
1761568298.13, 1210.75, 439.50, 1331.94, 85.35
1761568299.35, 1193.72, 439.50, 1331.94, 84.25
1761568300.54, 1230.68, 439.50, 1331.94, 85.35
1761568301.77, 1188.51, 439.50, 1331.94, 85.35
1761568302.96, 1272.68, 439.50, 1331.94, 83.70
1761568304.24, 1287.29, 439.50, 1331.94, 86.45
1761568305.53, 1299.19, 439.50, 1331.94, 84.80
1761568306.83, 1254.19, 439.50, 1331.94, 85.90
1761568308.08, 1330.81, 439.50, 1331.94, 84.25
1761568309.42, 1249.16, 439.50, 1331.94, 84.80
1761568310.67, 1179.71, 439.50, 1331.94, 84.25
