timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780903739.10, 2479.95, 476.48, 1398.60, 84.80
1780903741.59, 2475.92, 476.61, 1398.60, 85.35
1780903744.06, 2507.48, 476.61, 1398.60, 84.25
1780903746.57, 2541.31, 476.61, 1398.60, 85.35
1780903749.12, 2519.97, 476.61, 1398.60, 85.35
1780903751.64, 2414.08, 476.61, 1398.60, 83.70
1780903754.05, 2453.39, 476.61, 1398.60, 87.00
1780903756.51, 2394.97, 476.61, 1398.60, 84.80
1780903758.91, 2390.99, 476.61, 1398.60, 85.35
1780903761.30, 2398.27, 476.61, 1398.60, 85.35
1780903763.70, 2383.96, 476.61, 1398.60, 85.90
1780903766.09, 2405.38, 476.61, 1398.60, 85.90
1780903768.50, 2545.24, 476.61, 1398.60, 84.80
1780903771.05, 2502.81, 476.61, 1398.60, 84.80
1780903773.55, 2534.16, 476.61, 1398.60, 85.90
1780903776.09, 2448.96, 476.61, 1398.60, 84.80
1780903778.54, 2412.09, 476.61, 1398.60, 84.80
1780903780.96, 2548.16, 476.61, 1398.60, 84.80
1780903783.51, 2424.92, 476.61, 1398.60, 86.45
1780903785.94, 2479.45, 476.61, 1398.60, 84.80
1780903788.42, 2416.91, 476.61, 1398.60, 86.45
1780903790.84, 2393.84, 476.61, 1398.60, 85.90
1780903793.24, 2448.15, 476.61, 1398.60, 85.35
1780903795.69, 2496.61, 476.61, 1398.60, 85.90
1780903798.19, 2427.96, 476.61, 1398.60, 86.45
1780903800.62, 2441.43, 476.61, 1398.60, 85.90
1780903803.06, 2396.98, 476.61, 1398.60, 85.90
1780903805.46, 2388.58, 476.61, 1398.60, 85.90
1780903807.85, 2405.37, 476.61, 1398.60, 85.90
1780903810.26, 2451.91, 476.61, 1398.60, 85.90
1780903812.71, 2524.19, 476.61, 1398.60, 86.45
1780903815.24, 2430.19, 476.61, 1398.60, 86.45
1780903817.67, 2452.23, 476.61, 1398.60, 87.00
1780903820.12, 2352.06, 476.73, 1398.60, 85.35
1780903822.48, 2395.89, 476.73, 1398.60, 86.45
1780903824.87, 2390.61, 476.73, 1398.60, 87.00
1780903827.27, 2406.23, 476.73, 1398.60, 86.45
1780903829.67, 2458.25, 476.73, 1398.60, 87.55
1780903832.13, 2415.39, 476.73, 1398.60, 87.00
1780903834.55, 2426.06, 476.73, 1398.60, 87.55
1780903836.98, 2497.16, 476.73, 1398.60, 87.00
1780903839.48, 2447.00, 476.73, 1398.60, 87.55
1780903841.93, 2400.36, 476.73, 1398.60, 88.65
1780903844.33, 2404.39, 476.73, 1398.60, 87.55
1780903846.74, 2390.02, 476.73, 1398.60, 87.55
1780903849.13, 2399.98, 476.73, 1398.60, 88.10
1780903851.53, 2344.61, 476.73, 1398.60, 87.55
1780903853.88, 2489.06, 476.73, 1398.60, 87.00
1780903856.37, 2417.81, 476.73, 1398.60, 87.00
1780903858.79, 2516.26, 476.73, 1398.60, 88.10
1780903861.31, 2465.03, 476.73, 1398.60, 88.65
1780903863.78, 2347.40, 476.73, 1398.60, 88.10
1780903866.12, 2344.23, 476.73, 1398.60, 88.65
1780903868.47, 2477.44, 476.73, 1398.60, 88.65
1780903870.95, 2565.93, 476.73, 1398.60, 88.10
1780903873.51, 2345.17, 476.73, 1398.60, 88.65
1780903875.86, 2428.31, 476.73, 1398.60, 88.10
1780903878.29, 2435.33, 476.73, 1398.60, 89.20
1780903880.73, 2503.47, 476.73, 1398.60, 89.20
1780903883.23, 2378.07, 476.73, 1398.60, 88.10
1780903885.61, 2476.21, 476.73, 1398.60, 88.10
1780903888.09, 2426.20, 476.73, 1398.60, 87.55
1780903890.51, 2472.95, 476.73, 1398.60, 88.65
1780903892.99, 2470.17, 476.73, 1398.60, 88.65
1780903895.46, 2465.02, 476.73, 1398.60, 88.10
1780903897.93, 2413.16, 476.73, 1398.60, 88.10
1780903900.35, 2504.24, 476.73, 1398.60, 89.75
1780903902.85, 2450.14, 476.73, 1398.60, 89.20
1780903905.31, 2222.86, 476.73, 1398.60, 90.30
1780903907.53, 2440.03, 476.73, 1398.60, 88.65
1780903909.98, 2456.16, 476.73, 1398.60, 89.20
1780903912.44, 2609.74, 476.73, 1398.60, 89.20
1780903915.05, 2583.34, 476.73, 1398.60, 89.20
1780903917.63, 2410.04, 476.73, 1398.60, 88.10
1780903920.05, 2544.02, 476.73, 1398.60, 89.20
1780903922.59, 2460.09, 476.73, 1398.60, 89.20
1780903925.06, 2532.19, 476.73, 1398.60, 89.20
1780903927.59, 2651.09, 476.73, 1398.60, 89.20
1780903930.24, 2533.35, 476.73, 1398.60, 87.55
1780903932.78, 2577.23, 476.73, 1398.60, 89.75
1780903935.36, 2472.03, 476.73, 1398.60, 89.20
1780903937.84, 2462.37, 476.73, 1398.60, 88.65
1780903940.30, 2407.17, 476.73, 1398.60, 89.20
1780903942.71, 2427.97, 476.73, 1398.60, 89.20
1780903945.14, 2506.24, 476.73, 1398.60, 88.65
1780903947.65, 2529.94, 476.73, 1398.60, 88.65
1780903950.18, 2490.99, 476.73, 1398.60, 87.55
1780903952.68, 2402.19, 476.73, 1398.60, 88.10
1780903955.08, 2534.37, 476.73, 1398.60, 88.65
1780903957.62, 2491.05, 476.73, 1398.60, 88.65
1780903960.11, 2468.97, 476.73, 1398.60, 88.65
1780903962.58, 2622.25, 476.73, 1398.60, 89.75
1780903965.21, 2514.02, 476.73, 1398.60, 89.20
1780903967.72, 2504.00, 476.73, 1398.60, 88.10
1780903970.23, 2549.19, 476.73, 1398.60, 89.75
1780903972.78, 2561.86, 476.73, 1398.60, 89.75
1780903975.35, 2569.12, 476.73, 1398.60, 88.65
1780903977.92, 2490.16, 476.73, 1398.60, 88.65
1780903980.41, 2460.95, 476.73, 1398.60, 89.75
1780903982.88, 2594.83, 476.73, 1398.60, 89.20
1780903985.48, 2599.19, 476.73, 1398.60, 88.65
1780903988.08, 2569.23, 476.73, 1398.60, 88.10
1780903990.65, 2529.20, 476.73, 1398.60, 89.20
1780903993.18, 2508.01, 476.73, 1398.60, 90.30
1780903995.69, 2573.18, 476.73, 1398.60, 89.75
1780903998.26, 2507.18, 476.73, 1398.60, 89.20
1780904000.77, 2493.99, 476.73, 1398.60, 89.20
1780904003.27, 2498.01, 476.73, 1398.60, 90.30
1780904005.77, 2750.12, 476.73, 1398.60, 89.75
1780904008.52, 2569.49, 476.73, 1398.60, 88.65
1780904011.09, 2689.19, 476.73, 1398.60, 89.75
1780904013.78, 2627.45, 476.73, 1398.60, 89.20
1780904016.41, 2619.73, 476.73, 1398.60, 89.75
1780904019.03, 2620.19, 476.73, 1398.60, 89.75
1780904021.66, 2588.19, 476.73, 1398.60, 89.75
1780904024.25, 2647.84, 476.73, 1398.60, 89.20
1780904026.90, 2547.39, 476.73, 1398.60, 89.20
1780904029.45, 2617.05, 476.73, 1398.60, 89.20
1780904032.07, 2765.01, 476.73, 1398.60, 88.10
1780904034.84, 2704.92, 476.73, 1398.60, 89.75
1780904037.54, 2628.51, 476.73, 1398.60, 88.65
1780904040.18, 2592.17, 476.73, 1398.60, 88.65
1780904042.77, 2644.09, 476.73, 1398.60, 88.10
1780904045.42, 2627.92, 476.73, 1398.60, 89.75
1780904048.05, 2588.95, 476.73, 1398.60, 89.75
