timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761992795.04, 542.62, 319.81, 1204.59, 72.15
1761992795.59, 504.43, 319.81, 1204.59, 73.25
1761992796.10, 538.64, 319.81, 1204.59, 73.25
1761992796.64, 511.13, 319.81, 1204.59, 74.90
1761992797.16, 522.20, 319.81, 1204.59, 74.90
1761992797.68, 536.68, 319.81, 1204.59, 75.45
1761992798.22, 487.59, 319.81, 1204.59, 73.80
1761992798.71, 528.64, 319.81, 1204.59, 75.45
1761992799.24, 539.76, 319.81, 1204.59, 76.00
1761992799.78, 524.79, 319.81, 1204.59, 76.00
1761992800.31, 542.14, 319.81, 1204.59, 74.35
1761992800.85, 575.60, 319.81, 1204.59, 76.55
1761992801.43, 548.76, 319.81, 1204.59, 76.00
1761992801.98, 610.36, 319.81, 1204.59, 76.00
1761992802.59, 537.67, 319.81, 1204.59, 76.00
1761992803.13, 598.11, 319.81, 1204.59, 76.55
1761992803.73, 537.52, 319.81, 1204.59, 76.55
1761992804.27, 505.66, 319.81, 1204.59, 77.65
1761992804.78, 511.57, 319.81, 1204.59, 77.65
1761992805.29, 578.79, 319.81, 1204.59, 77.10
1761992805.87, 521.16, 319.81, 1204.59, 77.65
1761992806.39, 523.03, 319.81, 1204.59, 78.20
1761992806.92, 521.57, 319.81, 1204.59, 78.20
1761992807.44, 519.23, 319.81, 1204.59, 78.75
1761992807.96, 473.18, 319.81, 1204.59, 77.65
1761992808.44, 498.58, 319.81, 1204.59, 78.75
1761992808.94, 527.12, 319.81, 1204.59, 78.75
1761992809.47, 548.14, 319.81, 1204.59, 78.20
1761992810.02, 522.24, 319.81, 1204.59, 78.75
1761992810.54, 491.41, 319.81, 1204.59, 78.75
1761992811.03, 507.34, 319.81, 1204.59, 79.30
1761992811.54, 498.67, 319.81, 1204.59, 79.30
1761992812.04, 525.12, 319.81, 1204.59, 79.85
1761992812.57, 599.20, 319.81, 1204.59, 79.85
1761992813.17, 532.40, 319.81, 1204.59, 79.30
1761992813.71, 508.14, 319.81, 1204.59, 79.85
1761992814.21, 510.66, 319.81, 1204.59, 80.95
1761992814.73, 520.87, 319.81, 1204.59, 80.40
1761992815.25, 557.71, 319.81, 1204.59, 80.95
1761992815.81, 526.84, 319.81, 1204.59, 80.95
1761992816.33, 564.22, 319.81, 1204.59, 80.95
1761992816.90, 566.22, 319.81, 1204.59, 81.50
1761992817.47, 555.16, 319.81, 1204.59, 80.95
1761992818.02, 539.24, 319.81, 1204.59, 81.50
1761992818.56, 509.89, 319.81, 1204.59, 82.05
1761992819.08, 502.12, 319.81, 1204.59, 82.60
1761992819.58, 534.23, 319.81, 1204.59, 83.15
1761992820.12, 526.02, 319.81, 1204.59, 82.05
1761992820.64, 563.62, 319.81, 1204.59, 82.05
1761992821.21, 496.12, 319.81, 1204.59, 82.05
1761992821.71, 551.15, 319.81, 1204.59, 82.60
1761992822.26, 530.12, 319.81, 1204.59, 82.60
1761992822.80, 536.12, 319.81, 1204.59, 83.70
1761992823.33, 533.64, 319.81, 1204.59, 82.05
1761992823.87, 623.67, 319.81, 1204.59, 82.05
1761992824.49, 544.24, 319.81, 1204.59, 82.60
1761992825.04, 505.00, 319.81, 1204.59, 83.15
1761992825.55, 569.10, 319.81, 1204.59, 82.60
1761992826.12, 653.41, 319.81, 1204.59, 82.60
1761992826.77, 585.93, 319.81, 1204.59, 82.60
1761992827.36, 536.25, 319.81, 1204.59, 82.60
1761992827.90, 564.63, 319.81, 1204.59, 83.15
1761992828.47, 601.14, 319.81, 1204.59, 84.25
1761992829.07, 609.08, 319.81, 1204.59, 83.70
1761992829.68, 543.54, 319.81, 1204.59, 82.60
1761992830.23, 572.23, 319.81, 1204.59, 84.25
1761992830.80, 556.28, 319.81, 1204.59, 83.15
1761992831.36, 577.15, 319.81, 1204.59, 82.60
1761992831.94, 559.41, 319.81, 1204.59, 82.60
1761992832.50, 528.10, 319.81, 1204.59, 82.05
1761992833.03, 552.66, 319.81, 1204.59, 82.05
1761992833.58, 545.87, 319.81, 1204.59, 84.80
1761992834.13, 564.98, 319.81, 1204.59, 83.15
1761992834.70, 616.29, 319.81, 1204.59, 83.70
1761992835.32, 534.21, 319.81, 1204.59, 83.70
1761992835.85, 546.33, 319.81, 1204.59, 84.25
1761992836.40, 546.73, 319.81, 1204.59, 84.80
1761992836.95, 526.70, 319.81, 1204.59, 82.60
1761992837.48, 569.57, 319.81, 1204.59, 84.25
1761992838.05, 539.90, 319.81, 1204.59, 83.70
1761992838.59, 509.54, 319.81, 1204.59, 84.25
1761992839.11, 533.12, 319.81, 1204.59, 82.60
1761992839.64, 560.12, 319.81, 1204.59, 83.70
1761992840.20, 545.08, 319.81, 1204.59, 84.25
1761992840.75, 583.65, 319.81, 1204.59, 85.90
1761992841.34, 534.78, 319.81, 1204.59, 83.70
1761992841.87, 627.83, 319.81, 1204.59, 84.25
1761992842.50, 600.20, 319.81, 1204.59, 83.70
1761992843.10, 605.73, 319.81, 1204.59, 83.70
1761992843.71, 591.28, 319.81, 1204.59, 83.15
1761992844.30, 588.43, 319.81, 1204.59, 84.25
1761992844.89, 528.51, 319.81, 1204.59, 83.70
1761992845.42, 626.44, 319.81, 1204.59, 84.80
1761992846.05, 602.73, 319.81, 1204.59, 84.80
1761992846.66, 582.90, 319.81, 1204.59, 83.70
1761992847.25, 547.29, 319.81, 1204.59, 83.70
1761992847.80, 563.42, 319.81, 1204.59, 83.15
1761992848.36, 602.54, 319.81, 1204.59, 84.80
1761992848.96, 559.66, 319.81, 1204.59, 84.25
1761992849.53, 562.16, 319.81, 1204.59, 83.70
1761992850.09, 581.26, 319.81, 1204.59, 83.15
1761992850.67, 563.26, 319.81, 1204.59, 83.70
1761992851.24, 593.65, 319.81, 1204.59, 83.15
1761992851.84, 656.06, 319.81, 1204.59, 84.25
1761992852.50, 611.20, 319.81, 1204.59, 82.60
1761992853.11, 596.09, 319.81, 1204.59, 84.25
1761992853.71, 523.15, 319.81, 1204.59, 84.25
1761992854.23, 583.16, 319.81, 1204.59, 83.70
1761992854.82, 522.73, 319.81, 1204.59, 83.70
1761992855.34, 578.40, 319.81, 1204.59, 84.25
1761992855.92, 585.37, 319.81, 1204.59, 84.25
1761992856.51, 608.15, 319.81, 1204.59, 82.60
1761992857.12, 595.90, 319.81, 1204.59, 85.90
1761992857.72, 571.61, 319.81, 1204.59, 85.35
1761992858.29, 559.78, 319.81, 1204.59, 83.15
