timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761989275.69, 907.79, 373.38, 1265.40, 77.10
1761989276.60, 889.18, 373.38, 1265.40, 77.10
1761989277.49, 960.47, 373.38, 1265.40, 76.55
1761989278.45, 898.11, 373.38, 1265.40, 79.30
1761989279.35, 872.55, 373.38, 1265.40, 79.30
1761989280.23, 917.67, 373.38, 1265.40, 79.30
1761989281.15, 865.12, 373.38, 1265.40, 78.75
1761989282.01, 834.96, 373.38, 1265.40, 80.40
1761989282.85, 912.12, 373.38, 1265.40, 79.30
1761989283.76, 888.49, 373.38, 1265.40, 78.75
1761989284.65, 952.47, 373.38, 1265.40, 79.30
1761989285.61, 933.34, 373.38, 1265.40, 80.95
1761989286.54, 859.48, 373.38, 1265.40, 80.40
1761989287.40, 908.15, 373.38, 1265.40, 82.05
1761989288.31, 838.68, 373.38, 1265.40, 80.95
1761989289.15, 947.13, 373.38, 1265.40, 81.50
1761989290.10, 949.18, 373.38, 1265.40, 81.50
1761989291.06, 872.40, 373.38, 1265.40, 82.05
1761989291.93, 923.37, 373.38, 1265.40, 84.25
1761989292.86, 868.43, 373.38, 1265.40, 83.15
1761989293.73, 919.25, 373.38, 1265.40, 83.15
1761989294.65, 928.18, 373.38, 1265.40, 82.60
1761989295.58, 919.13, 373.38, 1265.40, 82.05
1761989296.50, 932.12, 373.38, 1265.40, 83.15
1761989297.43, 877.48, 373.38, 1265.40, 82.05
1761989298.31, 898.71, 373.50, 1265.40, 83.70
1761989299.22, 919.13, 373.50, 1265.40, 83.70
1761989300.14, 1019.41, 373.50, 1265.40, 83.70
1761989301.16, 1036.36, 373.50, 1265.40, 83.15
1761989302.19, 915.50, 373.50, 1265.40, 82.60
1761989303.11, 938.31, 373.50, 1265.40, 83.15
1761989304.05, 917.47, 373.50, 1265.40, 84.25
1761989304.97, 915.42, 373.50, 1265.40, 83.15
1761989305.89, 967.19, 373.50, 1265.40, 83.15
1761989306.86, 976.27, 373.50, 1265.40, 83.70
1761989307.84, 1013.40, 373.50, 1265.40, 84.25
1761989308.85, 945.05, 373.50, 1265.40, 83.15
1761989309.80, 950.47, 373.50, 1265.40, 84.25
1761989310.75, 969.73, 373.50, 1265.40, 83.15
1761989311.72, 958.99, 373.50, 1265.40, 84.80
1761989312.68, 1005.40, 373.50, 1265.40, 84.25
1761989313.69, 1042.33, 373.50, 1265.40, 83.15
1761989314.73, 942.11, 373.50, 1265.40, 85.35
1761989315.67, 963.11, 373.50, 1265.40, 83.15
1761989316.64, 966.14, 373.50, 1265.40, 82.60
1761989317.61, 986.69, 373.50, 1265.40, 84.25
1761989318.60, 975.88, 373.50, 1265.40, 84.25
1761989319.57, 972.24, 373.50, 1265.40, 84.25
1761989320.55, 1003.83, 373.50, 1265.40, 84.80
1761989321.55, 1013.59, 373.50, 1265.40, 85.35
1761989322.57, 1027.36, 373.50, 1265.40, 82.60
1761989323.60, 982.42, 373.50, 1265.40, 84.80
1761989324.58, 927.13, 373.50, 1265.40, 83.70
1761989325.51, 1037.32, 373.50, 1265.40, 82.60
1761989326.55, 1005.20, 373.50, 1265.40, 85.35
1761989327.56, 1038.22, 373.50, 1265.40, 84.25
1761989328.60, 1163.33, 373.50, 1265.40, 84.25
1761989329.76, 953.39, 373.50, 1265.40, 84.25
1761989330.72, 1054.43, 373.50, 1265.40, 82.60
1761989331.77, 987.33, 373.50, 1265.40, 84.25
1761989332.77, 1000.96, 373.50, 1265.40, 84.25
1761989333.77, 1057.89, 373.50, 1265.40, 84.25
1761989334.83, 952.94, 373.50, 1265.40, 85.35
1761989335.78, 1001.91, 373.50, 1265.40, 85.35
1761989336.78, 912.70, 373.50, 1265.40, 83.70
1761989337.70, 1047.76, 373.50, 1265.40, 84.25
