timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761718527.56, 695.19, 367.59, 1250.64, 78.75
1761718528.26, 748.53, 367.59, 1250.64, 78.75
1761718529.01, 705.13, 367.59, 1250.64, 78.20
1761718529.71, 734.45, 367.59, 1250.64, 78.75
1761718530.45, 744.19, 367.59, 1250.64, 78.75
1761718531.20, 670.08, 367.59, 1250.64, 78.20
1761718531.87, 691.87, 367.59, 1250.64, 79.85
1761718532.56, 708.18, 367.59, 1250.64, 79.85
1761718533.27, 713.99, 367.59, 1250.64, 79.30
1761718533.99, 781.54, 367.59, 1250.64, 80.95
1761718534.77, 690.83, 367.59, 1250.64, 79.85
1761718535.46, 702.77, 367.59, 1250.64, 81.50
1761718536.17, 668.96, 367.59, 1250.64, 80.40
1761718536.84, 752.88, 367.59, 1250.64, 81.50
1761718537.60, 732.47, 367.59, 1250.64, 81.50
1761718538.33, 735.21, 367.59, 1250.64, 80.95
1761718539.07, 689.75, 367.59, 1250.64, 82.05
1761718539.77, 697.97, 367.59, 1250.64, 80.95
1761718540.47, 693.18, 367.59, 1250.64, 81.50
1761718541.16, 696.35, 367.59, 1250.64, 82.05
1761718541.86, 669.58, 367.59, 1250.64, 83.15
1761718542.53, 682.59, 367.59, 1250.64, 81.50
1761718543.22, 701.24, 367.59, 1250.64, 82.60
1761718543.92, 684.93, 367.59, 1250.64, 83.70
1761718544.61, 694.05, 367.59, 1250.64, 82.60
1761718545.31, 726.61, 367.59, 1250.64, 82.60
1761718546.03, 709.82, 367.59, 1250.64, 83.70
1761718546.74, 695.29, 367.59, 1250.64, 82.60
1761718547.44, 668.86, 367.59, 1250.64, 84.25
1761718548.11, 797.51, 367.59, 1250.64, 83.70
1761718548.91, 745.70, 367.59, 1250.64, 84.80
1761718549.65, 717.36, 367.59, 1250.64, 82.60
1761718550.37, 657.21, 367.59, 1250.64, 82.60
1761718551.04, 683.10, 367.59, 1250.64, 83.15
1761718551.72, 757.65, 367.59, 1250.64, 83.70
1761718552.48, 733.68, 367.59, 1250.64, 82.60
1761718553.22, 729.09, 367.59, 1250.64, 84.25
1761718553.95, 696.89, 367.59, 1250.64, 85.35
1761718554.65, 776.38, 367.59, 1250.64, 83.15
1761718555.43, 713.25, 367.59, 1250.64, 83.15
1761718556.14, 754.91, 367.59, 1250.64, 83.15
1761718556.90, 752.39, 367.59, 1250.64, 82.60
1761718557.65, 752.57, 367.59, 1250.64, 84.80
1761718558.41, 747.55, 367.59, 1250.64, 84.25
1761718559.16, 796.03, 367.59, 1250.64, 83.70
1761718559.95, 753.05, 367.59, 1250.64, 84.25
1761718560.71, 743.35, 367.59, 1250.64, 83.70
1761718561.45, 756.85, 367.59, 1250.64, 83.70
1761718562.21, 735.48, 367.59, 1250.64, 83.15
1761718562.95, 745.43, 367.59, 1250.64, 83.70
