timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761714898.50, 680.78, 367.37, 1250.64, 70.50
1761714899.18, 689.16, 367.37, 1250.64, 69.40
1761714899.87, 695.19, 367.37, 1250.64, 71.05
1761714900.56, 702.76, 367.37, 1250.64, 68.30
1761714901.27, 739.01, 367.37, 1250.64, 70.50
1761714902.01, 758.18, 367.37, 1250.64, 70.50
1761714902.77, 700.72, 367.37, 1250.64, 71.05
1761714903.47, 690.26, 367.37, 1250.64, 71.05
1761714904.16, 691.70, 367.37, 1250.64, 71.05
1761714904.86, 697.72, 367.37, 1250.64, 71.60
1761714905.56, 712.36, 367.37, 1250.64, 71.60
1761714906.28, 686.93, 367.37, 1250.64, 72.15
1761714906.97, 640.20, 367.37, 1250.64, 72.15
1761714907.61, 666.60, 367.37, 1250.64, 73.80
1761714908.28, 747.74, 367.37, 1250.64, 72.70
1761714909.03, 685.39, 367.37, 1250.64, 73.25
1761714909.71, 687.41, 367.37, 1250.64, 74.90
1761714910.40, 677.23, 367.37, 1250.64, 73.80
1761714911.08, 692.64, 367.37, 1250.64, 74.90
1761714911.77, 626.54, 367.37, 1250.64, 72.70
1761714912.40, 710.83, 367.37, 1250.64, 75.45
1761714913.12, 700.92, 367.37, 1250.64, 76.00
1761714913.82, 675.98, 367.37, 1250.64, 74.35
1761714914.50, 776.25, 367.37, 1250.64, 74.90
1761714915.28, 672.37, 367.37, 1250.64, 74.35
1761714915.95, 718.04, 367.37, 1250.64, 74.90
1761714916.67, 687.81, 367.37, 1250.64, 75.45
1761714917.36, 716.42, 367.37, 1250.64, 76.00
1761714918.08, 722.32, 367.37, 1250.64, 75.45
1761714918.80, 730.81, 367.37, 1250.64, 76.00
1761714919.54, 706.79, 367.37, 1250.64, 77.10
1761714920.25, 724.15, 367.37, 1250.64, 77.10
1761714920.97, 693.93, 367.37, 1250.64, 76.00
1761714921.67, 696.49, 367.37, 1250.64, 76.00
1761714922.37, 654.05, 367.37, 1250.64, 76.00
1761714923.02, 712.49, 367.37, 1250.64, 78.20
1761714923.74, 678.45, 367.37, 1250.64, 77.10
1761714924.43, 738.64, 367.37, 1250.64, 76.55
1761714925.16, 679.66, 367.37, 1250.64, 77.65
1761714925.85, 757.95, 367.37, 1250.64, 78.20
1761714926.61, 687.72, 367.37, 1250.64, 77.65
1761714927.30, 719.39, 367.37, 1250.64, 78.75
1761714928.02, 696.35, 367.37, 1250.64, 77.65
1761714928.72, 743.37, 367.37, 1250.64, 77.65
1761714929.47, 689.21, 367.37, 1250.64, 77.65
1761714930.16, 706.38, 367.37, 1250.64, 79.30
1761714930.86, 727.65, 367.37, 1250.64, 79.30
1761714931.60, 664.09, 367.37, 1250.64, 78.20
1761714932.26, 696.58, 367.37, 1250.64, 79.30
1761714932.97, 706.90, 367.37, 1250.64, 78.75
1761714933.68, 687.87, 367.37, 1250.64, 77.65
1761714934.37, 688.31, 367.37, 1250.64, 80.40
1761714935.06, 729.34, 367.37, 1250.64, 79.30
1761714935.79, 712.98, 367.37, 1250.64, 79.30
1761714936.51, 715.39, 367.37, 1250.64, 79.85
1761714937.23, 696.86, 367.37, 1250.64, 79.85
1761714937.93, 702.35, 367.37, 1250.64, 80.40
1761714938.63, 728.44, 367.37, 1250.64, 79.85
1761714939.36, 680.71, 367.37, 1250.64, 79.85
1761714940.05, 708.79, 367.37, 1250.64, 81.50
1761714940.76, 690.35, 367.37, 1250.64, 79.30
1761714941.45, 696.40, 367.37, 1250.64, 79.85
1761714942.15, 696.83, 367.37, 1250.64, 79.85
1761714942.85, 681.71, 367.37, 1250.64, 79.85
1761714943.53, 686.93, 367.37, 1250.64, 80.95
1761714944.22, 711.28, 367.37, 1250.64, 81.50
1761714944.94, 717.83, 367.37, 1250.64, 81.50
1761714945.65, 700.06, 367.37, 1250.64, 81.50
1761714946.36, 660.38, 367.37, 1250.64, 81.50
1761714947.02, 722.87, 367.37, 1250.64, 80.40
1761714947.75, 710.98, 367.37, 1250.64, 80.95
1761714948.46, 733.68, 367.37, 1250.64, 82.05
1761714949.20, 661.89, 367.37, 1250.64, 81.50
1761714949.86, 677.10, 367.37, 1250.64, 81.50
1761714950.54, 705.85, 367.37, 1250.64, 81.50
1761714951.25, 670.50, 367.37, 1250.64, 82.05
1761714951.92, 727.82, 367.37, 1250.64, 80.95
1761714952.65, 691.55, 367.37, 1250.64, 82.60
1761714953.34, 682.77, 367.37, 1250.64, 82.05
1761714954.03, 639.25, 367.37, 1250.64, 82.05
1761714954.67, 756.02, 367.37, 1250.64, 82.05
1761714955.43, 680.09, 367.37, 1250.64, 82.05
1761714956.11, 671.74, 367.37, 1250.64, 82.05
1761714956.79, 735.91, 367.37, 1250.64, 82.60
1761714957.53, 665.50, 367.37, 1250.64, 82.05
1761714958.19, 752.13, 367.37, 1250.64, 83.15
1761714958.95, 692.40, 367.37, 1250.64, 82.05
1761714959.65, 759.68, 367.37, 1250.64, 83.15
1761714960.41, 723.26, 367.37, 1250.64, 82.05
1761714961.13, 679.60, 367.37, 1250.64, 82.05
1761714961.81, 717.84, 367.37, 1250.64, 82.60
1761714962.53, 731.22, 367.37, 1250.64, 82.60
1761714963.26, 701.82, 367.37, 1250.64, 83.70
1761714963.97, 704.92, 367.37, 1250.64, 83.15
1761714964.68, 723.44, 367.37, 1250.64, 84.25
1761714965.40, 688.26, 367.37, 1250.64, 83.15
1761714966.09, 674.50, 367.37, 1250.64, 82.60
1761714966.76, 659.38, 367.37, 1250.64, 84.80
1761714967.42, 716.72, 367.37, 1250.64, 83.70
1761714968.14, 715.17, 367.37, 1250.64, 82.60
1761714968.86, 706.35, 367.37, 1250.64, 83.70
1761714969.56, 723.68, 367.37, 1250.64, 82.60
1761714970.29, 677.47, 367.37, 1250.64, 84.25
1761714970.97, 678.60, 367.37, 1250.64, 83.70
1761714971.65, 696.84, 367.37, 1250.64, 82.60
1761714972.35, 715.53, 367.37, 1250.64, 82.60
1761714973.07, 726.84, 367.37, 1250.64, 82.60
1761714973.80, 740.95, 367.37, 1250.64, 82.60
1761714974.54, 713.67, 367.37, 1250.64, 82.05
1761714975.26, 755.51, 367.37, 1250.64, 83.15
1761714976.01, 749.27, 367.37, 1250.64, 83.15
1761714976.76, 713.51, 367.37, 1250.64, 82.60
1761714977.48, 706.91, 367.37, 1250.64, 83.15
1761714978.19, 684.93, 367.37, 1250.64, 83.15
1761714978.88, 703.27, 367.37, 1250.64, 85.35
1761714979.58, 679.28, 367.37, 1250.64, 83.15
1761714980.26, 726.11, 367.37, 1250.64, 84.80
1761714980.99, 714.57, 367.37, 1250.64, 83.70
1761714981.70, 785.47, 367.37, 1250.64, 82.60
1761714982.49, 715.76, 367.37, 1250.64, 84.25
1761714983.21, 704.96, 367.37, 1250.64, 83.15
1761714983.92, 697.58, 367.37, 1250.64, 83.15
1761714984.62, 781.26, 367.37, 1250.64, 83.70
1761714985.40, 798.62, 367.37, 1250.64, 83.15
1761714986.20, 717.72, 367.37, 1250.64, 83.70
1761714986.92, 746.73, 367.37, 1250.64, 83.15
1761714987.67, 691.25, 367.37, 1250.64, 83.70
1761714988.36, 732.56, 367.37, 1250.64, 83.15
1761714989.10, 693.88, 367.37, 1250.64, 83.15
1761714989.79, 711.89, 367.37, 1250.64, 82.60
1761714990.51, 736.38, 367.37, 1250.64, 83.15
1761714991.25, 744.08, 367.37, 1250.64, 83.15
1761714991.99, 739.22, 367.37, 1250.64, 83.15
1761714992.73, 652.56, 367.37, 1250.64, 84.25
1761714993.39, 675.35, 367.37, 1250.64, 83.70
1761714994.06, 721.42, 367.37, 1250.64, 83.15
1761714994.79, 747.30, 367.37, 1250.64, 83.70
1761714995.54, 739.68, 367.37, 1250.64, 83.70
1761714996.28, 736.74, 367.37, 1250.64, 83.15
1761714997.01, 745.80, 367.37, 1250.64, 83.15
1761714997.76, 716.03, 367.37, 1250.64, 83.15
1761714998.48, 668.32, 367.37, 1250.64, 83.70
1761714999.15, 662.78, 367.37, 1250.64, 83.70
1761714999.82, 672.95, 367.37, 1250.64, 84.80
1761715000.49, 723.77, 367.37, 1250.64, 82.60
1761715001.22, 732.42, 367.37, 1250.64, 82.60
1761715001.95, 710.49, 367.37, 1250.64, 82.05
1761715002.67, 773.88, 367.37, 1250.64, 83.70
1761715003.44, 676.85, 367.37, 1250.64, 83.70
1761715004.12, 700.93, 367.37, 1250.64, 82.60
1761715004.82, 698.33, 367.37, 1250.64, 83.70
1761715005.53, 721.01, 367.37, 1250.64, 83.70
1761715006.25, 719.99, 367.37, 1250.64, 83.70
1761715006.97, 759.84, 367.37, 1250.64, 83.15
1761715007.73, 656.87, 367.37, 1250.64, 84.25
1761715008.39, 724.02, 367.37, 1250.64, 83.15
1761715009.12, 712.40, 367.37, 1250.64, 83.15
1761715009.83, 660.33, 367.37, 1250.64, 81.50
1761715010.49, 725.17, 367.37, 1250.64, 83.70
1761715011.22, 746.82, 367.37, 1250.64, 82.05
1761715011.97, 728.29, 367.37, 1250.64, 83.15
1761715012.70, 754.71, 367.37, 1250.64, 83.70
1761715013.45, 709.59, 367.37, 1250.64, 84.25
1761715014.16, 704.67, 367.37, 1250.64, 83.70
1761715014.87, 650.49, 367.37, 1250.64, 83.70
1761715015.52, 718.98, 367.37, 1250.64, 83.15
1761715016.24, 721.65, 367.37, 1250.64, 82.05
1761715016.97, 744.90, 367.37, 1250.64, 83.15
1761715017.71, 698.33, 367.37, 1250.64, 83.15
1761715018.41, 759.76, 367.37, 1250.64, 83.70
1761715019.17, 722.57, 367.37, 1250.64, 83.15
1761715019.90, 713.06, 367.37, 1250.64, 84.80
1761715020.61, 803.45, 367.37, 1250.64, 83.70
1761715021.42, 698.46, 367.37, 1250.64, 84.80
1761715022.12, 717.38, 367.37, 1250.64, 83.70
1761715022.84, 743.10, 367.37, 1250.64, 83.70
1761715023.58, 700.24, 367.37, 1250.64, 82.05
1761715024.29, 712.97, 367.37, 1250.64, 83.70
1761715025.00, 712.95, 367.37, 1250.64, 84.25
1761715025.72, 717.49, 367.37, 1250.64, 83.70
1761715026.44, 738.34, 367.37, 1250.64, 85.35
1761715027.18, 685.44, 367.37, 1250.64, 83.70
1761715027.86, 726.16, 367.37, 1250.64, 84.80
1761715028.59, 720.73, 367.37, 1250.64, 83.15
1761715029.31, 683.25, 367.37, 1250.64, 83.70
1761715030.00, 651.21, 367.37, 1250.64, 83.70
1761715030.65, 710.53, 367.37, 1250.64, 84.25
1761715031.36, 724.56, 367.37, 1250.64, 84.25
1761715032.09, 715.59, 367.37, 1250.64, 83.70
1761715032.80, 677.60, 367.37, 1250.64, 84.25
1761715033.48, 726.35, 367.37, 1250.64, 83.15
1761715034.21, 739.02, 367.37, 1250.64, 84.80
1761715034.95, 740.35, 367.37, 1250.64, 82.05
1761715035.70, 757.52, 367.37, 1250.64, 83.15
1761715036.46, 695.63, 367.37, 1250.64, 82.60
1761715037.16, 715.30, 367.37, 1250.64, 83.70
1761715037.88, 710.17, 367.37, 1250.64, 82.05
1761715038.59, 707.97, 367.37, 1250.64, 82.60
1761715039.30, 730.24, 367.37, 1250.64, 83.15
1761715040.03, 743.74, 367.37, 1250.64, 84.25
1761715040.78, 761.52, 367.37, 1250.64, 83.15
1761715041.54, 735.26, 367.37, 1250.64, 83.70
1761715042.28, 768.11, 367.37, 1250.64, 83.70
1761715043.05, 710.24, 367.37, 1250.64, 83.70
1761715043.76, 744.31, 367.37, 1250.64, 84.80
1761715044.50, 752.44, 367.37, 1250.64, 83.70
1761715045.26, 708.24, 367.37, 1250.64, 82.05
1761715045.97, 686.03, 367.37, 1250.64, 84.25
1761715046.66, 702.96, 367.37, 1250.64, 85.35
1761715047.36, 713.64, 367.37, 1250.64, 83.15
1761715048.08, 701.64, 367.37, 1250.64, 84.25
1761715048.78, 719.96, 367.37, 1250.64, 84.25
1761715049.51, 725.35, 367.37, 1250.64, 83.15
1761715050.23, 746.11, 367.37, 1250.64, 83.70
1761715050.98, 775.04, 367.37, 1250.64, 83.15
