timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761983896.42, 3914.37, 655.26, 1573.36, 84.25
1761983900.34, 3941.09, 655.26, 1573.36, 84.80
1761983904.28, 3872.89, 655.26, 1573.36, 83.70
1761983908.16, 3815.07, 655.26, 1573.36, 85.35
1761983911.98, 3863.06, 655.26, 1573.36, 84.80
1761983915.84, 3930.42, 655.26, 1573.36, 84.25
1761983919.77, 3947.04, 655.26, 1573.36, 85.35
1761983923.72, 3925.22, 655.26, 1573.36, 84.25
1761983927.65, 3867.90, 655.26, 1573.36, 83.15
1761983931.52, 3931.02, 655.26, 1573.36, 84.25
1761983935.45, 3851.45, 655.26, 1573.36, 84.25
1761983939.31, 3937.16, 655.26, 1573.36, 85.90
1761983943.25, 3914.39, 655.26, 1573.36, 84.80
1761983947.16, 3952.12, 655.26, 1573.36, 85.35
1761983951.12, 3979.85, 655.26, 1573.36, 85.90
1761983955.10, 3928.12, 655.26, 1573.36, 85.90
1761983959.03, 3981.53, 655.26, 1573.36, 84.25
1761983963.01, 3981.14, 655.26, 1573.36, 85.35
1761983967.00, 4082.41, 655.26, 1573.36, 85.35
1761983971.08, 3952.00, 655.26, 1573.36, 85.35
1761983975.04, 3971.91, 655.26, 1573.36, 84.80
1761983979.01, 3952.97, 655.26, 1573.36, 85.35
1761983982.97, 4091.08, 655.26, 1573.36, 84.80
1761983987.06, 3943.15, 655.26, 1573.36, 86.45
1761983991.00, 3988.24, 655.26, 1573.36, 83.70
1761983994.99, 3960.49, 655.26, 1573.36, 84.80
1761983998.96, 4028.37, 655.26, 1573.36, 84.80
1761984002.99, 3959.56, 655.26, 1573.36, 84.80
1761984006.95, 4026.25, 655.26, 1573.36, 84.80
1761984010.98, 3974.10, 655.26, 1573.36, 84.80
1761984014.95, 3962.14, 655.26, 1573.36, 85.90
1761984018.92, 4083.29, 655.26, 1573.36, 85.35
1761984023.00, 3894.41, 655.26, 1573.36, 85.90
1761984026.90, 4148.61, 655.26, 1573.36, 84.80
1761984031.05, 4057.33, 655.26, 1573.36, 84.80
1761984035.10, 3932.41, 655.26, 1573.36, 85.90
1761984039.04, 4021.65, 655.26, 1573.36, 85.90
1761984043.06, 4025.88, 655.26, 1573.36, 84.80
1761984047.09, 4052.09, 655.26, 1573.36, 84.80
1761984051.14, 3949.38, 655.26, 1573.36, 85.35
1761984055.09, 4026.39, 655.26, 1573.36, 85.35
1761984059.12, 4049.84, 655.26, 1573.36, 85.35
1761984063.17, 4048.45, 655.26, 1573.36, 84.80
1761984067.22, 3940.55, 655.26, 1573.36, 84.80
1761984071.16, 3942.57, 655.26, 1573.36, 87.00
1761984075.11, 4050.19, 655.26, 1573.36, 85.35
1761984079.17, 4020.39, 655.26, 1573.36, 84.25
1761984083.19, 4046.05, 655.26, 1573.36, 84.80
1761984087.23, 3946.20, 655.26, 1573.36, 84.80
1761984091.18, 3986.43, 655.26, 1573.36, 86.45
1761984095.17, 4028.96, 655.26, 1573.36, 86.45
1761984099.20, 3916.60, 655.26, 1573.36, 86.45
1761984103.12, 4093.36, 655.26, 1573.36, 85.35
1761984107.22, 4013.72, 655.26, 1573.36, 86.45
1761984111.23, 4149.87, 655.26, 1573.36, 85.35
1761984115.38, 3999.17, 655.26, 1573.36, 85.90
1761984119.38, 4072.97, 655.26, 1573.36, 85.90
1761984123.46, 4043.46, 655.26, 1573.36, 85.35
1761984127.51, 3999.54, 655.26, 1573.36, 85.35
1761984131.51, 4091.37, 655.26, 1573.36, 85.35
1761984135.60, 3982.10, 655.26, 1573.36, 85.35
1761984139.58, 4064.96, 655.26, 1573.36, 84.80
1761984143.65, 3964.13, 655.26, 1573.36, 85.35
1761984147.62, 4007.21, 655.26, 1573.36, 86.45
1761984151.63, 3958.38, 655.26, 1573.36, 85.90
1761984155.59, 4011.62, 655.26, 1573.36, 84.80
1761984159.60, 3921.68, 655.26, 1573.36, 85.35
1761984163.53, 4043.21, 655.26, 1573.36, 85.35
1761984167.57, 3981.37, 655.26, 1573.36, 85.35
1761984171.56, 3961.10, 655.26, 1573.36, 86.45
1761984175.52, 4097.22, 655.26, 1573.36, 86.45
