timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1765015189.98, 3794.82, 656.67, 1573.36, 84.80
1765015193.78, 3632.72, 656.67, 1573.36, 84.25
1765015197.41, 3897.64, 656.67, 1573.36, 85.90
1765015201.31, 3797.79, 656.67, 1573.36, 84.25
1765015205.11, 3775.50, 656.67, 1573.36, 86.45
1765015208.89, 3881.65, 656.67, 1573.36, 84.80
1765015212.78, 3826.56, 656.67, 1573.36, 85.90
1765015216.61, 3804.73, 656.67, 1573.36, 87.00
1765015220.42, 3764.76, 656.67, 1573.36, 84.80
1765015224.19, 3776.18, 656.67, 1573.36, 85.35
1765015227.96, 3899.52, 656.67, 1573.36, 85.90
1765015231.87, 3812.22, 656.67, 1573.36, 84.25
1765015235.68, 3846.56, 656.67, 1573.36, 84.25
1765015239.53, 3814.67, 656.67, 1573.36, 84.80
1765015243.35, 3814.82, 656.67, 1573.36, 84.25
1765015247.17, 3853.53, 656.67, 1573.36, 85.90
1765015251.02, 3885.71, 656.67, 1573.36, 85.90
1765015254.91, 3823.40, 656.67, 1573.36, 84.25
1765015258.73, 3775.78, 656.67, 1573.36, 84.25
1765015262.51, 3855.19, 656.67, 1573.36, 84.80
1765015266.37, 3833.75, 656.67, 1573.36, 84.25
1765015270.20, 3896.64, 656.67, 1573.36, 86.45
1765015274.10, 3871.57, 656.67, 1573.36, 84.25
1765015277.97, 3852.53, 656.67, 1573.36, 84.80
1765015281.83, 3947.45, 656.67, 1573.36, 84.25
1765015285.78, 3790.19, 656.67, 1573.36, 85.35
1765015289.57, 3738.02, 656.67, 1573.36, 85.90
1765015293.31, 3854.47, 656.67, 1573.36, 87.00
1765015297.16, 3866.15, 656.67, 1573.36, 84.80
1765015301.03, 3889.17, 656.67, 1573.36, 85.35
1765015304.93, 3897.82, 656.67, 1573.36, 85.35
1765015308.83, 3938.10, 656.67, 1573.36, 85.35
1765015312.77, 3818.14, 656.67, 1573.36, 85.90
1765015316.59, 3865.13, 656.67, 1573.36, 84.80
1765015320.46, 3901.60, 656.67, 1573.36, 85.35
1765015324.36, 3934.92, 656.67, 1573.36, 85.35
1765015328.30, 3840.05, 656.67, 1573.36, 86.45
1765015332.14, 3888.83, 656.67, 1573.36, 84.80
1765015336.03, 3898.78, 656.67, 1573.36, 85.35
1765015339.93, 3932.31, 656.67, 1573.36, 85.35
1765015343.86, 3837.13, 656.67, 1573.36, 85.35
1765015347.70, 3971.43, 656.67, 1573.36, 84.80
1765015351.68, 3855.16, 656.67, 1573.36, 86.45
1765015355.53, 3972.90, 656.67, 1573.36, 86.45
1765015359.51, 4004.84, 656.67, 1573.36, 87.00
1765015363.52, 3854.45, 656.67, 1573.36, 85.90
1765015367.38, 3908.78, 656.67, 1573.36, 83.70
1765015371.29, 3911.84, 656.67, 1573.36, 87.00
1765015375.20, 3832.12, 656.67, 1573.36, 85.35
1765015379.03, 3899.91, 656.67, 1573.36, 87.00
1765015382.93, 3900.68, 656.67, 1573.36, 85.35
1765015386.83, 3863.21, 656.67, 1573.36, 85.90
1765015390.70, 3889.68, 656.67, 1573.36, 87.00
