timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761982628.50, 2646.86, 529.10, 1528.14, 85.90
1761982631.15, 2577.88, 529.10, 1528.14, 85.35
1761982633.73, 2596.47, 529.10, 1528.14, 85.90
1761982636.33, 2737.46, 529.10, 1528.14, 84.80
1761982639.06, 2551.26, 529.10, 1528.14, 84.80
1761982641.62, 2664.15, 529.10, 1528.14, 85.35
1761982644.28, 2596.67, 529.10, 1528.14, 85.90
1761982646.88, 2581.48, 529.10, 1528.14, 85.90
1761982649.46, 2596.74, 529.10, 1528.14, 85.90
1761982652.06, 2640.10, 529.10, 1528.14, 85.90
1761982654.70, 2712.39, 529.10, 1528.14, 85.90
1761982657.41, 2605.48, 529.10, 1528.14, 85.35
1761982660.02, 2556.85, 529.10, 1528.14, 85.90
1761982662.58, 2711.67, 529.10, 1528.14, 85.90
1761982665.30, 2794.02, 529.10, 1528.14, 84.25
1761982668.09, 2571.67, 529.10, 1528.14, 84.80
1761982670.67, 2689.71, 529.10, 1528.14, 85.35
1761982673.36, 2637.56, 529.10, 1528.14, 84.80
1761982675.99, 2620.25, 529.10, 1528.14, 85.90
1761982678.62, 2726.64, 529.10, 1528.14, 85.35
1761982681.35, 2748.09, 529.10, 1528.14, 84.80
1761982684.09, 2670.09, 529.10, 1528.14, 86.45
1761982686.77, 2681.41, 529.10, 1528.14, 85.35
1761982689.45, 2680.22, 529.10, 1528.14, 84.80
1761982692.13, 2596.83, 529.10, 1528.14, 85.35
1761982694.73, 2617.64, 529.10, 1528.14, 85.35
1761982697.35, 2680.23, 529.10, 1528.14, 86.45
1761982700.03, 2575.06, 529.10, 1528.14, 87.00
1761982702.61, 2688.91, 529.10, 1528.14, 84.80
1761982705.30, 2688.18, 529.10, 1528.14, 85.90
1761982707.99, 2721.26, 529.10, 1528.14, 84.25
1761982710.71, 2739.09, 529.10, 1528.14, 85.90
1761982713.45, 2714.41, 529.10, 1528.14, 85.90
1761982716.17, 2618.93, 529.10, 1528.14, 84.80
1761982718.79, 2662.34, 529.10, 1528.14, 85.35
1761982721.45, 2675.41, 529.10, 1528.14, 86.45
1761982724.13, 2670.67, 529.10, 1528.14, 85.35
1761982726.80, 2761.70, 529.10, 1528.14, 85.35
1761982729.57, 2721.67, 529.10, 1528.14, 86.45
1761982732.30, 2736.55, 529.10, 1528.14, 84.80
1761982735.03, 2658.96, 529.10, 1528.14, 84.80
1761982737.69, 2663.15, 529.10, 1528.14, 84.80
1761982740.36, 2766.27, 529.10, 1528.14, 84.80
1761982743.13, 2691.61, 529.10, 1528.14, 86.45
1761982745.82, 2678.94, 529.10, 1528.14, 86.45
1761982748.50, 2680.57, 529.10, 1528.14, 87.00
1761982751.18, 2887.63, 529.10, 1528.14, 86.45
1761982754.07, 2670.02, 529.10, 1528.14, 85.35
1761982756.74, 2686.49, 529.10, 1528.14, 85.35
1761982759.43, 2910.16, 529.10, 1528.14, 85.90
1761982762.34, 2658.99, 529.10, 1528.14, 86.45
1761982765.00, 2717.13, 529.10, 1528.14, 85.90
1761982767.72, 2663.86, 529.10, 1528.14, 87.00
1761982770.38, 2833.84, 529.10, 1528.14, 86.45
1761982773.22, 2742.90, 529.10, 1528.14, 86.45
1761982775.97, 2615.88, 529.10, 1528.14, 87.00
1761982778.59, 2686.64, 529.10, 1528.14, 87.00
1761982781.28, 2848.20, 529.10, 1528.14, 86.45
1761982784.13, 2783.31, 529.10, 1528.14, 87.00
1761982786.91, 2732.05, 529.10, 1528.14, 86.45
1761982789.65, 2808.25, 529.10, 1528.14, 87.00
1761982792.46, 2750.09, 529.10, 1528.14, 85.90
1761982795.21, 2770.91, 529.10, 1528.14, 86.45
1761982797.98, 2709.97, 529.10, 1528.14, 85.35
1761982800.69, 2715.91, 529.10, 1528.14, 87.55
1761982803.41, 2697.27, 529.10, 1528.14, 85.90
1761982806.11, 2725.35, 529.10, 1528.14, 86.45
1761982808.84, 2718.18, 529.10, 1528.14, 87.00
1761982811.56, 2722.04, 529.10, 1528.14, 85.90
1761982814.28, 2663.84, 529.10, 1528.14, 87.55
1761982816.94, 2859.79, 529.10, 1528.14, 85.90
1761982819.80, 2667.35, 529.10, 1528.14, 85.90
1761982822.47, 2750.78, 529.10, 1528.14, 88.10
1761982825.22, 2701.72, 529.10, 1528.14, 87.00
1761982827.93, 2748.17, 529.10, 1528.14, 87.55
1761982830.67, 2783.32, 529.10, 1528.14, 89.20
1761982833.46, 2674.52, 529.10, 1528.14, 87.55
1761982836.14, 2740.57, 529.10, 1528.14, 87.00
1761982838.88, 2700.49, 529.10, 1528.14, 86.45
1761982841.59, 2767.27, 529.10, 1528.14, 86.45
1761982844.35, 2771.26, 529.10, 1528.14, 86.45
1761982847.13, 2686.46, 529.10, 1528.14, 87.00
1761982849.82, 2813.81, 529.10, 1528.14, 87.00
1761982852.63, 2679.50, 529.10, 1528.14, 88.10
1761982855.32, 2735.17, 529.10, 1528.14, 87.00
1761982858.06, 2753.52, 529.10, 1528.14, 86.45
1761982860.81, 2725.50, 529.10, 1528.14, 86.45
1761982863.54, 2742.77, 529.10, 1528.14, 87.00
1761982866.28, 2785.28, 529.10, 1528.14, 87.00
1761982869.07, 2821.82, 529.10, 1528.14, 88.10
1761982871.89, 2727.69, 529.10, 1528.14, 87.00
1761982874.62, 2672.28, 529.10, 1528.14, 87.00
1761982877.30, 2643.93, 529.10, 1528.14, 87.00
1761982879.94, 2691.07, 529.10, 1528.14, 88.10
1761982882.64, 2749.16, 529.10, 1528.14, 88.10
1761982885.39, 2769.37, 529.10, 1528.14, 87.55
1761982888.16, 2705.92, 529.10, 1528.14, 87.55
1761982890.87, 2655.14, 529.10, 1528.14, 87.00
1761982893.52, 2694.64, 529.10, 1528.14, 87.55
1761982896.22, 2738.79, 529.10, 1528.14, 85.90
1761982898.96, 2679.77, 529.10, 1528.14, 88.10
1761982901.64, 2753.22, 529.10, 1528.14, 87.00
1761982904.39, 2733.14, 529.10, 1528.14, 88.10
1761982907.13, 2715.83, 529.10, 1528.14, 89.20
1761982909.85, 2829.59, 529.10, 1528.14, 86.45
