timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761977691.26, 581.68, 336.36, 1240.14, 68.30
1761977691.84, 615.49, 336.36, 1240.14, 68.85
1761977692.46, 582.33, 336.36, 1240.14, 69.95
1761977693.04, 612.58, 336.36, 1240.14, 68.85
1761977693.65, 565.74, 336.36, 1240.14, 69.40
1761977694.22, 627.56, 336.36, 1240.14, 71.60
1761977694.85, 605.28, 336.36, 1240.14, 71.60
1761977695.46, 596.16, 336.36, 1240.14, 68.85
1761977696.06, 551.59, 336.36, 1240.14, 71.05
1761977696.61, 551.37, 336.36, 1240.14, 71.05
1761977697.16, 584.08, 336.36, 1240.14, 71.05
1761977697.75, 580.14, 336.36, 1240.14, 71.05
1761977698.33, 553.43, 336.36, 1240.14, 69.40
1761977698.88, 557.27, 336.36, 1240.14, 71.60
1761977699.44, 638.10, 336.36, 1240.14, 72.15
1761977700.08, 599.80, 336.36, 1240.14, 71.60
1761977700.68, 606.96, 336.36, 1240.14, 73.25
1761977701.29, 604.05, 336.36, 1240.14, 72.15
1761977701.89, 566.42, 336.36, 1240.14, 73.25
1761977702.46, 573.45, 336.36, 1240.14, 72.70
1761977703.03, 592.54, 336.36, 1240.14, 73.80
1761977703.63, 550.19, 336.36, 1240.14, 72.70
1761977704.18, 564.26, 336.36, 1240.14, 72.15
1761977704.75, 560.42, 336.36, 1240.14, 73.25
1761977705.31, 576.04, 336.36, 1240.14, 73.25
1761977705.89, 588.13, 336.36, 1240.14, 73.25
1761977706.47, 571.25, 336.36, 1240.14, 73.25
1761977707.05, 526.52, 336.36, 1240.14, 73.80
1761977707.58, 608.90, 336.36, 1240.14, 73.80
1761977708.19, 618.48, 336.36, 1240.14, 74.35
1761977708.81, 605.33, 336.36, 1240.14, 74.90
1761977709.41, 575.34, 336.36, 1240.14, 76.00
1761977709.99, 681.50, 336.36, 1240.14, 75.45
1761977710.67, 587.18, 336.36, 1240.14, 74.90
1761977711.26, 592.88, 336.36, 1240.14, 74.90
1761977711.86, 613.72, 336.36, 1240.14, 76.00
1761977712.47, 553.25, 336.36, 1240.14, 76.55
1761977713.03, 566.83, 336.36, 1240.14, 75.45
1761977713.60, 569.90, 336.36, 1240.14, 76.55
1761977714.17, 576.59, 336.36, 1240.14, 77.10
1761977714.75, 552.93, 336.36, 1240.14, 76.00
1761977715.31, 646.19, 336.36, 1240.14, 76.55
1761977715.95, 592.32, 336.36, 1240.14, 75.45
1761977716.55, 563.26, 336.36, 1240.14, 76.00
1761977717.11, 567.16, 336.36, 1240.14, 76.00
1761977717.68, 599.67, 336.36, 1240.14, 76.55
1761977718.28, 636.14, 336.36, 1240.14, 77.65
1761977718.92, 632.61, 336.36, 1240.14, 77.10
1761977719.56, 577.60, 336.36, 1240.14, 78.75
1761977720.14, 598.37, 336.36, 1240.14, 76.55
1761977720.74, 595.90, 336.36, 1240.14, 77.10
1761977721.33, 525.65, 336.36, 1240.14, 78.20
1761977721.86, 653.04, 336.36, 1240.14, 77.65
1761977722.52, 589.14, 336.36, 1240.14, 78.20
1761977723.11, 582.18, 336.36, 1240.14, 78.20
1761977723.69, 621.31, 336.36, 1240.14, 77.65
1761977724.31, 592.95, 336.36, 1240.14, 78.20
1761977724.91, 574.58, 336.36, 1240.14, 77.65
1761977725.48, 608.58, 336.36, 1240.14, 78.20
1761977726.09, 591.43, 336.36, 1240.14, 78.20
1761977726.68, 595.45, 336.36, 1240.14, 78.20
1761977727.28, 597.96, 336.36, 1240.14, 78.75
1761977727.88, 585.83, 336.36, 1240.14, 78.75
1761977728.47, 626.16, 336.36, 1240.14, 79.85
1761977729.09, 587.33, 336.36, 1240.14, 80.95
1761977729.69, 594.18, 336.36, 1240.14, 78.75
1761977730.28, 620.07, 336.36, 1240.14, 80.40
1761977730.90, 599.61, 336.36, 1240.14, 80.40
1761977731.50, 558.27, 336.36, 1240.14, 80.40
1761977732.06, 615.25, 336.36, 1240.14, 79.85
1761977732.68, 590.24, 336.36, 1240.14, 81.50
1761977733.27, 590.40, 336.36, 1240.14, 80.40
1761977733.86, 558.97, 336.36, 1240.14, 80.40
1761977734.43, 602.83, 336.36, 1240.14, 80.40
1761977735.03, 613.03, 336.36, 1240.14, 82.60
1761977735.65, 571.32, 336.36, 1240.14, 80.95
1761977736.22, 571.14, 336.36, 1240.14, 82.60
1761977736.79, 609.32, 336.36, 1240.14, 80.95
1761977737.40, 618.44, 336.36, 1240.14, 83.70
1761977738.02, 572.00, 336.36, 1240.14, 81.50
1761977738.60, 592.19, 336.36, 1240.14, 82.05
1761977739.19, 549.19, 336.36, 1240.14, 79.85
1761977739.75, 607.85, 336.36, 1240.14, 83.15
1761977740.36, 626.70, 336.36, 1240.14, 83.15
1761977740.99, 602.20, 336.36, 1240.14, 82.05
1761977741.59, 621.80, 336.36, 1240.14, 82.60
1761977742.22, 571.81, 336.36, 1240.14, 82.60
1761977742.79, 583.67, 336.36, 1240.14, 82.60
1761977743.37, 605.14, 336.36, 1240.14, 82.60
1761977743.98, 589.63, 336.36, 1240.14, 82.05
1761977744.57, 637.06, 336.36, 1240.14, 83.70
1761977745.21, 608.81, 336.36, 1240.14, 83.15
1761977745.82, 584.74, 336.36, 1240.14, 83.70
1761977746.41, 557.13, 336.36, 1240.14, 83.70
1761977746.97, 589.59, 336.36, 1240.14, 83.70
1761977747.56, 584.32, 336.36, 1240.14, 83.70
1761977748.15, 565.33, 336.36, 1240.14, 82.60
1761977748.72, 633.90, 336.36, 1240.14, 82.60
1761977749.35, 577.45, 336.36, 1240.14, 83.15
1761977749.93, 595.38, 336.36, 1240.14, 83.15
1761977750.53, 586.96, 336.36, 1240.14, 82.60
1761977751.12, 608.68, 336.36, 1240.14, 82.60
1761977751.73, 617.85, 336.36, 1240.14, 83.15
1761977752.35, 583.15, 336.36, 1240.14, 83.70
1761977752.94, 607.92, 336.36, 1240.14, 83.15
1761977753.55, 602.09, 336.36, 1240.14, 84.80
1761977754.15, 581.82, 336.36, 1240.14, 84.25
1761977754.74, 650.71, 336.36, 1240.14, 83.70
1761977755.39, 606.25, 336.36, 1240.14, 82.60
1761977756.00, 641.09, 336.36, 1240.14, 82.60
1761977756.64, 605.03, 336.36, 1240.14, 84.80
1761977757.25, 642.36, 336.36, 1240.14, 84.25
1761977757.89, 634.75, 336.36, 1240.14, 83.15
1761977758.53, 595.76, 336.36, 1240.14, 84.80
1761977759.13, 614.86, 336.36, 1240.14, 84.25
1761977759.75, 596.19, 336.36, 1240.14, 84.25
1761977760.34, 609.31, 336.36, 1240.14, 83.70
1761977760.96, 667.16, 336.36, 1240.14, 83.15
1761977761.63, 604.12, 336.36, 1240.14, 84.80
1761977762.23, 667.44, 336.36, 1240.14, 83.15
1761977762.90, 585.11, 336.36, 1240.14, 82.60
1761977763.49, 614.19, 336.36, 1240.14, 83.70
1761977764.10, 548.10, 336.36, 1240.14, 84.25
1761977764.65, 633.04, 336.36, 1240.14, 84.25
1761977765.29, 656.89, 336.36, 1240.14, 82.60
1761977765.95, 605.58, 336.36, 1240.14, 84.80
1761977766.56, 638.15, 336.36, 1240.14, 84.25
1761977767.20, 575.31, 336.36, 1240.14, 84.80
1761977767.77, 568.25, 336.36, 1240.14, 83.70
1761977768.35, 633.89, 336.36, 1240.14, 83.15
1761977768.98, 607.16, 336.36, 1240.14, 83.15
1761977769.59, 611.21, 336.36, 1240.14, 83.70
1761977770.21, 590.75, 336.36, 1240.14, 83.70
1761977770.80, 572.06, 336.36, 1240.14, 85.35
1761977771.37, 620.09, 336.36, 1240.14, 83.70
1761977771.99, 607.49, 336.36, 1240.14, 83.70
1761977772.60, 710.46, 336.36, 1240.14, 84.80
1761977773.31, 601.33, 336.36, 1240.14, 83.15
1761977773.92, 584.15, 336.36, 1240.14, 83.70
1761977774.50, 569.11, 336.36, 1240.14, 83.70
1761977775.07, 592.30, 336.36, 1240.14, 82.60
1761977775.67, 601.02, 336.36, 1240.14, 83.70
1761977776.27, 586.17, 336.36, 1240.14, 85.35
1761977776.86, 699.45, 336.36, 1240.14, 83.70
1761977777.56, 628.97, 336.36, 1240.14, 84.80
1761977778.19, 618.71, 336.36, 1240.14, 84.80
1761977778.81, 649.09, 336.36, 1240.14, 84.80
1761977779.46, 641.26, 336.36, 1240.14, 84.25
1761977780.10, 647.19, 336.36, 1240.14, 84.25
1761977780.75, 634.38, 336.36, 1240.14, 83.15
1761977781.38, 677.26, 336.36, 1240.14, 82.60
1761977782.06, 681.46, 336.36, 1240.14, 84.25
1761977782.74, 728.96, 336.36, 1240.14, 84.25
1761977783.47, 580.38, 336.36, 1240.14, 84.80
1761977784.06, 604.13, 336.36, 1240.14, 84.25
1761977784.66, 654.57, 336.36, 1240.14, 83.15
1761977785.32, 625.26, 336.36, 1240.14, 84.25
1761977785.94, 667.30, 336.36, 1240.14, 84.25
1761977786.61, 638.13, 336.36, 1240.14, 83.70
1761977787.25, 636.77, 336.36, 1240.14, 84.25
1761977787.90, 668.44, 336.36, 1240.14, 85.35
1761977788.56, 722.74, 336.36, 1240.14, 84.80
1761977789.29, 659.90, 336.36, 1240.14, 85.35
1761977789.95, 577.22, 336.36, 1240.14, 84.25
1761977790.53, 616.20, 336.36, 1240.14, 85.35
1761977791.15, 686.46, 336.36, 1240.14, 85.35
1761977791.84, 664.02, 336.36, 1240.14, 84.25
1761977792.50, 626.12, 336.36, 1240.14, 83.70
1761977793.13, 638.17, 336.36, 1240.14, 84.80
1761977793.77, 705.31, 336.36, 1240.14, 83.70
1761977794.48, 632.15, 336.36, 1240.14, 84.80
1761977795.12, 676.78, 336.36, 1240.14, 84.25
1761977795.80, 604.72, 336.36, 1240.14, 83.15
1761977796.40, 632.43, 336.36, 1240.14, 83.15
1761977797.03, 671.20, 336.36, 1240.14, 84.80
