timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761631684.04, 1135.79, 413.68, 1340.16, 79.85
1761631685.17, 1119.18, 413.68, 1340.16, 82.05
1761631686.29, 1109.33, 413.68, 1340.16, 80.40
1761631687.41, 1124.25, 413.68, 1340.16, 80.95
1761631688.53, 1113.41, 413.68, 1340.16, 82.60
1761631689.64, 1105.37, 413.68, 1340.16, 82.05
1761631690.75, 1184.20, 413.68, 1340.16, 81.50
1761631691.94, 1220.45, 413.68, 1340.16, 83.15
1761631693.16, 1183.38, 413.68, 1340.16, 82.05
1761631694.34, 1166.57, 413.68, 1340.16, 82.60
1761631695.51, 1256.42, 413.68, 1340.16, 82.05
1761631696.77, 1107.44, 413.68, 1340.16, 81.50
1761631697.88, 1130.85, 413.68, 1340.16, 83.15
1761631699.01, 1171.12, 413.68, 1340.16, 82.05
1761631700.18, 1210.39, 413.68, 1340.16, 83.70
1761631701.39, 1199.26, 413.68, 1340.16, 83.15
1761631702.60, 1188.14, 413.68, 1340.16, 84.80
1761631703.79, 1181.10, 413.68, 1340.16, 82.60
1761631704.97, 1149.14, 413.68, 1340.16, 83.15
1761631706.12, 1122.43, 413.68, 1340.16, 84.80
1761631707.25, 1232.33, 413.68, 1340.16, 83.70
1761631708.48, 1083.27, 413.68, 1340.16, 83.70
1761631709.56, 1280.21, 413.68, 1340.16, 83.70
1761631710.85, 1248.97, 413.68, 1340.16, 83.70
1761631712.09, 1096.57, 413.68, 1340.16, 83.15
1761631713.19, 1239.46, 413.68, 1340.16, 85.35
1761631714.44, 1292.94, 413.68, 1340.16, 83.70
1761631715.73, 1190.14, 413.68, 1340.16, 84.80
1761631716.92, 1212.51, 413.68, 1340.16, 84.25
1761631718.13, 1232.36, 413.68, 1340.16, 83.70
1761631719.37, 1332.19, 413.68, 1340.16, 83.15
1761631720.71, 1231.01, 413.68, 1340.16, 84.80
1761631721.94, 1226.04, 413.68, 1340.16, 84.25
1761631723.17, 1139.21, 413.68, 1340.16, 83.70
1761631724.31, 1233.61, 413.68, 1340.16, 84.25
1761631725.55, 1274.93, 413.68, 1340.16, 83.70
1761631726.83, 1173.25, 413.68, 1340.16, 84.80
1761631728.00, 1186.15, 413.68, 1340.16, 83.70
1761631729.19, 1210.14, 413.68, 1340.16, 84.80
1761631730.41, 1199.23, 413.68, 1340.16, 85.90
1761631731.60, 1383.16, 413.68, 1340.16, 83.70
1761631732.99, 1246.19, 413.68, 1340.16, 84.80
1761631734.24, 1283.33, 413.68, 1340.16, 85.35
1761631735.52, 1206.29, 413.68, 1340.16, 85.35
1761631736.73, 1280.31, 413.68, 1340.16, 84.80
1761631738.01, 1208.85, 413.68, 1340.16, 84.80
1761631739.22, 1263.57, 413.68, 1340.16, 84.80
1761631740.49, 1195.23, 413.68, 1340.16, 85.90
1761631741.69, 1281.07, 413.68, 1340.16, 83.70
1761631742.97, 1193.16, 413.68, 1340.16, 84.80
1761631744.17, 1246.49, 413.68, 1340.16, 84.25
1761631745.41, 1209.44, 413.68, 1340.16, 84.80
1761631746.62, 1306.37, 413.68, 1340.16, 85.35
1761631747.93, 1183.25, 413.68, 1340.16, 84.25
1761631749.12, 1186.14, 413.68, 1340.16, 83.70
1761631750.31, 1221.31, 413.68, 1340.16, 83.15
1761631751.53, 1208.32, 413.68, 1340.16, 84.80
1761631752.74, 1291.91, 413.68, 1340.16, 84.25
1761631754.03, 1232.23, 413.68, 1340.16, 86.45
1761631755.27, 1225.29, 413.68, 1340.16, 84.25
1761631756.49, 1228.32, 413.68, 1340.16, 84.80
1761631757.72, 1243.96, 413.68, 1340.16, 85.90
1761631758.97, 1289.09, 413.68, 1340.16, 84.25
1761631760.26, 1353.13, 413.68, 1340.16, 84.25
1761631761.62, 1298.38, 413.68, 1340.16, 83.70
1761631762.92, 1219.63, 413.68, 1340.16, 83.70
1761631764.14, 1235.01, 413.68, 1340.16, 83.70
1761631765.38, 1287.35, 413.68, 1340.16, 84.25
1761631766.66, 1200.47, 413.68, 1340.16, 85.90
1761631767.86, 1178.59, 413.68, 1340.16, 85.35
1761631769.05, 1270.96, 413.68, 1340.16, 84.25
1761631770.32, 1218.77, 413.68, 1340.16, 85.90
1761631771.54, 1278.88, 413.68, 1340.16, 85.35
1761631772.82, 1334.14, 413.68, 1340.16, 84.80
1761631774.15, 1180.54, 413.68, 1340.16, 84.25
1761631775.34, 1281.08, 413.68, 1340.16, 84.25
1761631776.62, 1273.16, 413.68, 1340.16, 84.80
1761631777.90, 1312.17, 413.68, 1340.16, 84.80
1761631779.21, 1376.94, 413.68, 1340.16, 84.25
1761631780.59, 1231.92, 413.68, 1340.16, 84.80
1761631781.82, 1268.46, 413.68, 1340.16, 85.35
1761631783.09, 1336.19, 413.68, 1340.16, 85.35
1761631784.43, 1289.15, 413.68, 1340.16, 85.35
1761631785.72, 1268.50, 413.68, 1340.16, 84.80
1761631786.99, 1242.44, 413.68, 1340.16, 84.25
1761631788.23, 1229.13, 413.68, 1340.16, 85.90
1761631789.47, 1259.17, 413.68, 1340.16, 84.25
1761631790.73, 1189.20, 413.68, 1340.16, 84.80
1761631791.92, 1206.14, 413.68, 1340.16, 85.35
1761631793.13, 1272.88, 413.68, 1340.16, 84.80
1761631794.40, 1217.91, 413.68, 1340.16, 85.90
1761631795.62, 1311.23, 413.68, 1340.16, 85.35
1761631796.94, 1241.13, 413.68, 1340.16, 84.25
1761631798.18, 1251.18, 413.68, 1340.16, 84.25
1761631799.44, 1295.22, 413.68, 1340.16, 84.80
1761631800.73, 1207.90, 413.68, 1340.16, 84.80
1761631801.94, 1331.56, 413.68, 1340.16, 84.25
1761631803.28, 1316.27, 413.68, 1340.16, 83.70
1761631804.60, 1307.48, 413.68, 1340.16, 84.25
1761631805.91, 1287.13, 413.68, 1340.16, 85.35
1761631807.20, 1272.19, 413.68, 1340.16, 85.35
1761631808.47, 1318.19, 413.68, 1340.16, 83.70
1761631809.79, 1329.37, 413.68, 1340.16, 84.80
1761631811.12, 1192.96, 413.68, 1340.16, 85.90
1761631812.32, 1230.17, 413.68, 1340.16, 84.25
1761631813.55, 1267.29, 413.68, 1340.16, 84.80
1761631814.82, 1254.05, 413.68, 1340.16, 84.80
1761631816.08, 1267.77, 413.68, 1340.16, 85.90
1761631817.35, 1381.94, 413.68, 1340.16, 84.25
1761631818.73, 1228.39, 413.68, 1340.16, 83.70
1761631819.96, 1234.95, 413.68, 1340.16, 84.25
1761631821.20, 1359.99, 413.68, 1340.16, 84.80
1761631822.56, 1286.22, 413.68, 1340.16, 84.80
1761631823.85, 1254.51, 413.68, 1340.16, 84.80
1761631825.10, 1241.09, 413.68, 1340.16, 84.80
1761631826.35, 1263.14, 413.68, 1340.16, 84.25
1761631827.61, 1232.06, 413.68, 1340.16, 84.80
1761631828.85, 1231.76, 413.68, 1340.16, 85.90
1761631830.08, 1231.34, 413.68, 1340.16, 84.80
1761631831.32, 1352.88, 413.68, 1340.16, 84.25
1761631832.67, 1256.03, 413.68, 1340.16, 84.80
1761631833.93, 1323.91, 413.68, 1340.16, 84.80
1761631835.26, 1286.93, 413.68, 1340.16, 85.90
1761631836.55, 1204.36, 413.68, 1340.16, 84.25
1761631837.75, 1194.19, 413.68, 1340.16, 85.35
1761631838.95, 1274.04, 413.68, 1340.16, 84.80
1761631840.22, 1406.17, 413.68, 1340.16, 85.90
1761631841.63, 1266.95, 413.68, 1340.16, 84.80
1761631842.90, 1312.02, 413.68, 1340.16, 84.80
1761631844.22, 1247.14, 413.68, 1340.16, 84.25
1761631845.47, 1277.80, 413.68, 1340.16, 82.60
1761631846.75, 1175.86, 413.68, 1340.16, 84.25
1761631847.93, 1320.16, 413.68, 1340.16, 85.90
1761631849.25, 1247.21, 413.68, 1340.16, 85.90
1761631850.50, 1338.40, 413.68, 1340.16, 85.35
1761631851.84, 1369.33, 413.68, 1340.16, 84.25
1761631853.21, 1237.50, 413.68, 1340.16, 84.25
1761631854.45, 1370.29, 413.68, 1340.16, 84.80
1761631855.82, 1337.30, 413.68, 1340.16, 84.25
1761631857.16, 1253.14, 413.68, 1340.16, 84.80
1761631858.41, 1267.24, 413.68, 1340.16, 86.45
1761631859.68, 1263.10, 413.68, 1340.16, 84.80
1761631860.95, 1222.93, 413.68, 1340.16, 84.80
1761631862.17, 1227.27, 413.68, 1340.16, 85.35
1761631863.40, 1351.10, 413.68, 1340.16, 83.70
1761631864.75, 1242.31, 413.68, 1340.16, 85.35
1761631866.00, 1311.31, 413.68, 1340.16, 86.45
1761631867.31, 1293.25, 413.68, 1340.16, 85.90
1761631868.60, 1257.14, 413.68, 1340.16, 85.35
1761631869.86, 1241.15, 413.68, 1340.16, 85.35
1761631871.11, 1288.23, 413.68, 1340.16, 84.25
1761631872.40, 1255.23, 413.68, 1340.16, 84.25
1761631873.65, 1279.13, 413.68, 1340.16, 85.90
1761631874.93, 1274.10, 413.68, 1340.16, 84.80
1761631876.21, 1272.38, 413.68, 1340.16, 85.90
1761631877.48, 1268.89, 413.68, 1340.16, 84.25
1761631878.75, 1264.41, 413.68, 1340.16, 84.80
1761631880.02, 1252.92, 413.68, 1340.16, 85.35
1761631881.27, 1258.15, 413.68, 1340.16, 85.35
1761631882.54, 1208.14, 413.68, 1340.16, 84.80
1761631883.75, 1287.20, 413.68, 1340.16, 84.80
1761631885.04, 1311.14, 413.68, 1340.16, 85.35
1761631886.35, 1246.14, 413.68, 1340.16, 85.35
1761631887.60, 1224.05, 413.68, 1340.16, 86.45
1761631888.82, 1267.20, 413.68, 1340.16, 85.90
1761631890.09, 1320.18, 413.68, 1340.16, 85.90
1761631891.42, 1240.22, 413.68, 1340.16, 86.45
1761631892.66, 1247.16, 413.68, 1340.16, 84.25
1761631893.91, 1270.92, 413.68, 1340.16, 85.35
1761631895.18, 1255.76, 413.68, 1340.16, 86.45
1761631896.44, 1262.21, 413.68, 1340.16, 85.35
1761631897.71, 1273.03, 413.68, 1340.16, 84.80
1761631898.98, 1235.37, 413.68, 1340.16, 84.25
1761631900.22, 1313.15, 413.68, 1340.16, 84.80
1761631901.53, 1301.73, 413.68, 1340.16, 85.35
1761631902.84, 1240.76, 413.68, 1340.16, 84.25
1761631904.08, 1299.20, 413.68, 1340.16, 84.80
1761631905.38, 1231.97, 413.68, 1340.16, 85.35
1761631906.62, 1220.16, 413.68, 1340.16, 85.90
1761631907.84, 1397.99, 413.68, 1340.16, 84.80
1761631909.24, 1240.36, 413.68, 1340.16, 85.35
1761631910.48, 1386.97, 413.68, 1340.16, 84.80
1761631911.87, 1257.92, 413.68, 1340.16, 84.80
1761631913.13, 1309.42, 413.68, 1340.16, 84.25
1761631914.44, 1317.09, 413.68, 1340.16, 86.45
1761631915.77, 1265.19, 413.68, 1340.16, 84.80
1761631917.03, 1318.13, 413.68, 1340.16, 87.00
1761631918.35, 1254.22, 413.68, 1340.16, 85.90
1761631919.61, 1292.16, 413.68, 1340.16, 84.25
1761631920.90, 1321.34, 413.68, 1340.16, 84.80
1761631922.23, 1180.45, 413.68, 1340.16, 86.45
1761631923.41, 1365.75, 413.68, 1340.16, 85.90
1761631924.78, 1289.49, 413.68, 1340.16, 84.80
1761631926.07, 1257.42, 413.68, 1340.16, 84.25
1761631927.32, 1302.26, 413.68, 1340.16, 85.90
1761631928.63, 1346.26, 413.68, 1340.16, 84.80
1761631929.98, 1243.13, 413.68, 1340.16, 86.45
1761631931.23, 1294.16, 413.68, 1340.16, 84.25
1761631932.52, 1255.01, 413.68, 1340.16, 85.90
1761631933.78, 1297.42, 413.68, 1340.16, 86.45
1761631935.07, 1286.27, 413.68, 1340.16, 85.35
1761631936.36, 1207.18, 413.68, 1340.16, 84.80
1761631937.57, 1247.88, 413.68, 1340.16, 84.80
1761631938.82, 1203.26, 413.68, 1340.16, 84.80
1761631940.03, 1284.13, 413.68, 1340.16, 85.90
1761631941.31, 1348.12, 413.68, 1340.16, 85.35
1761631942.67, 1239.17, 413.68, 1340.16, 85.35
1761631943.91, 1265.13, 413.68, 1340.16, 84.80
1761631945.17, 1319.28, 413.68, 1340.16, 83.15
1761631946.50, 1249.93, 413.68, 1340.16, 85.90
1761631947.75, 1277.07, 413.68, 1340.16, 87.00
1761631949.03, 1406.87, 413.68, 1340.16, 84.80
1761631950.44, 1343.91, 413.68, 1340.16, 85.35
1761631951.78, 1223.00, 413.68, 1340.16, 85.35
1761631953.01, 1263.01, 413.68, 1340.16, 86.45
1761631954.27, 1330.09, 413.68, 1340.16, 84.25
1761631955.60, 1250.24, 413.68, 1340.16, 84.80
1761631956.85, 1220.18, 413.68, 1340.16, 86.45
1761631958.08, 1387.12, 413.68, 1340.16, 84.80
1761631959.47, 1358.36, 413.68, 1340.16, 84.80
1761631960.83, 1292.04, 413.68, 1340.16, 84.80
1761631962.12, 1199.14, 413.68, 1340.16, 86.45
1761631963.32, 1252.25, 413.68, 1340.16, 84.80
1761631964.58, 1261.72, 413.68, 1340.16, 85.35
1761631965.84, 1344.49, 413.68, 1340.16, 86.45
1761631967.19, 1280.30, 413.68, 1340.16, 85.35
1761631968.47, 1284.16, 413.68, 1340.16, 85.35
