timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1780908898.11, 1220.83, 413.73, 1340.36, 77.65
1780908899.34, 1245.69, 413.73, 1340.36, 77.10
1780908900.58, 1225.21, 413.73, 1340.36, 77.10
1780908901.81, 1268.37, 413.73, 1340.36, 77.10
1780908903.08, 1202.48, 413.73, 1340.36, 77.10
1780908904.28, 1317.12, 413.73, 1340.36, 78.75
1780908905.60, 1219.18, 413.73, 1340.36, 78.20
1780908906.82, 1183.93, 413.73, 1340.36, 77.65
1780908908.01, 1216.71, 413.73, 1340.36, 78.20
1780908909.23, 1244.06, 413.73, 1340.36, 79.85
1780908910.47, 1229.16, 413.73, 1340.36, 78.75
1780908911.71, 1225.14, 413.73, 1340.36, 79.85
1780908912.94, 1334.14, 413.73, 1340.36, 79.85
1780908914.28, 1215.14, 413.73, 1340.36, 80.40
1780908915.49, 1256.11, 413.73, 1340.36, 78.75
1780908916.75, 1196.28, 413.73, 1340.36, 80.40
1780908917.95, 1183.24, 413.73, 1340.36, 80.40
1780908919.14, 1212.05, 413.73, 1340.36, 80.40
1780908920.35, 1240.10, 413.73, 1340.36, 80.95
1780908921.59, 1195.22, 413.73, 1340.36, 81.50
1780908922.79, 1255.08, 413.73, 1340.36, 80.95
1780908924.05, 1204.89, 413.73, 1340.36, 81.50
1780908925.26, 1217.10, 413.73, 1340.36, 80.95
1780908926.48, 1211.96, 413.73, 1340.36, 83.15
1780908927.69, 1250.21, 413.73, 1340.36, 82.05
1780908928.94, 1277.15, 413.73, 1340.36, 81.50
1780908930.22, 1266.81, 413.73, 1340.36, 82.05
1780908931.50, 1248.81, 413.73, 1340.36, 82.60
1780908932.74, 1219.69, 413.73, 1340.36, 82.60
1780908933.97, 1234.89, 413.73, 1340.36, 81.50
1780908935.21, 1279.78, 413.73, 1340.36, 82.60
1780908936.49, 1264.42, 413.73, 1340.36, 83.15
1780908937.75, 1294.33, 413.73, 1340.36, 82.60
1780908939.05, 1247.43, 413.73, 1340.36, 83.15
1780908940.30, 1215.82, 413.73, 1340.36, 83.70
1780908941.51, 1223.22, 413.73, 1340.36, 83.70
1780908942.74, 1332.57, 413.73, 1340.36, 83.70
1780908944.08, 1277.14, 413.73, 1340.36, 84.25
1780908945.35, 1272.54, 413.73, 1340.36, 85.90
1780908946.63, 1226.94, 413.73, 1340.36, 83.70
1780908947.86, 1300.15, 413.73, 1340.36, 83.15
1780908949.16, 1270.73, 413.73, 1340.36, 84.25
1780908950.43, 1218.30, 413.73, 1340.36, 84.25
1780908951.65, 1155.82, 413.73, 1340.36, 84.25
1780908952.81, 1254.88, 413.73, 1340.36, 84.25
1780908954.06, 1183.56, 413.73, 1340.36, 84.25
1780908955.25, 1254.12, 413.73, 1340.36, 84.25
1780908956.51, 1235.01, 413.73, 1340.36, 85.35
1780908957.75, 1212.19, 413.73, 1340.36, 84.25
1780908958.96, 1253.55, 413.73, 1340.36, 86.45
1780908960.22, 1233.41, 413.73, 1340.36, 83.70
1780908961.45, 1314.03, 413.73, 1340.36, 84.80
1780908962.77, 1210.14, 413.73, 1340.36, 84.80
1780908963.98, 1257.11, 413.73, 1340.36, 85.35
1780908965.24, 1204.10, 413.73, 1340.36, 84.80
1780908966.45, 1171.64, 413.73, 1340.36, 83.70
1780908967.62, 1304.15, 413.73, 1340.36, 85.35
1780908968.93, 1283.57, 413.73, 1340.36, 84.25
1780908970.22, 1211.12, 413.73, 1340.36, 85.35
1780908971.43, 1303.93, 413.73, 1340.36, 85.35
1780908972.73, 1171.55, 413.73, 1340.36, 85.90
1780908973.90, 1212.09, 413.73, 1340.36, 85.35
1780908975.12, 1217.82, 413.73, 1340.36, 85.35
1780908976.33, 1306.22, 413.73, 1340.36, 85.90
1780908977.64, 1257.80, 413.73, 1340.36, 85.35
1780908978.90, 1272.05, 413.73, 1340.36, 85.35
1780908980.17, 1242.65, 413.73, 1340.36, 83.70
1780908981.42, 1200.93, 413.73, 1340.36, 84.80
