timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761981108.93, 5673.78, 914.09, 1829.36, 84.80
1761981114.60, 5529.95, 914.09, 1829.36, 84.25
1761981120.13, 5598.63, 914.09, 1829.36, 84.80
1761981125.73, 5679.66, 914.09, 1829.36, 84.80
1761981131.41, 5704.92, 914.09, 1829.36, 84.80
1761981137.12, 5880.53, 914.09, 1829.36, 84.80
1761981143.01, 5655.29, 914.09, 1829.36, 85.90
1761981148.67, 5502.32, 914.09, 1829.36, 84.80
1761981154.17, 5770.71, 914.09, 1829.36, 84.80
1761981159.95, 5610.76, 914.09, 1829.36, 85.90
1761981165.56, 5524.50, 914.09, 1829.36, 84.80
1761981171.08, 5615.93, 914.09, 1829.36, 85.90
1761981176.70, 5801.95, 914.09, 1829.36, 87.00
1761981182.50, 5572.00, 914.09, 1829.36, 85.35
1761981188.08, 5652.98, 914.09, 1829.36, 84.80
1761981193.74, 5626.76, 914.09, 1829.36, 87.00
1761981199.36, 5549.85, 914.09, 1829.36, 84.80
1761981204.92, 5774.01, 914.09, 1829.36, 86.45
1761981210.69, 5763.04, 914.09, 1829.36, 86.45
1761981216.46, 5646.29, 914.09, 1829.36, 84.80
1761981222.11, 5601.39, 914.09, 1829.36, 85.35
1761981227.71, 5718.65, 914.09, 1829.36, 85.35
1761981233.44, 5662.65, 914.09, 1829.36, 85.35
1761981239.10, 5683.33, 914.09, 1829.36, 85.35
1761981244.78, 5501.60, 914.09, 1829.36, 84.80
1761981250.29, 6002.92, 914.09, 1829.36, 87.00
1761981256.29, 5840.73, 914.09, 1829.36, 86.45
1761981262.14, 5676.11, 914.09, 1829.36, 84.80
1761981267.82, 5690.84, 914.09, 1829.36, 85.35
1761981273.51, 5721.52, 914.09, 1829.36, 85.90
1761981279.23, 5830.81, 914.09, 1829.36, 86.45
1761981285.06, 5669.28, 914.09, 1829.36, 87.00
1761981290.74, 5717.64, 914.09, 1829.36, 85.35
1761981296.46, 5749.07, 914.09, 1829.36, 86.45
1761981302.21, 5683.65, 914.09, 1829.36, 86.45
1761981307.90, 5733.20, 914.09, 1829.36, 85.35
1761981313.63, 5784.33, 914.09, 1829.36, 86.45
1761981319.42, 5720.93, 914.09, 1829.36, 87.55
1761981325.14, 5716.65, 914.09, 1829.36, 85.35
1761981330.86, 5633.61, 914.09, 1829.36, 85.90
1761981336.50, 5848.55, 914.09, 1829.36, 87.00
1761981342.35, 5780.32, 914.09, 1829.36, 87.00
1761981348.13, 5631.16, 914.09, 1829.36, 87.55
1761981353.76, 5765.15, 914.09, 1829.36, 87.00
1761981359.53, 5789.31, 914.09, 1829.36, 86.45
1761981365.32, 5632.03, 914.09, 1829.36, 86.45
1761981370.96, 5723.46, 914.09, 1829.36, 86.45
1761981376.68, 5622.74, 914.09, 1829.36, 87.00
1761981382.31, 5643.87, 914.09, 1829.36, 87.55
1761981387.95, 5711.75, 914.09, 1829.36, 88.10
1761981393.67, 5756.26, 914.09, 1829.36, 87.00
1761981399.42, 5620.67, 914.09, 1829.36, 87.00
1761981405.05, 5816.23, 914.09, 1829.36, 86.45
1761981410.87, 5701.81, 914.09, 1829.36, 87.00
1761981416.57, 5581.86, 914.09, 1829.36, 87.00
1761981422.15, 5671.12, 914.09, 1829.36, 88.10
1761981427.83, 5567.75, 914.09, 1829.36, 85.90
1761981433.40, 5768.32, 914.09, 1829.36, 87.55
1761981439.17, 5744.29, 914.09, 1829.36, 87.00
1761981444.92, 5744.62, 914.09, 1829.36, 88.65
1761981450.66, 5678.48, 914.09, 1829.36, 88.10
1761981456.35, 5789.75, 914.09, 1829.36, 87.00
1761981462.14, 5737.00, 914.09, 1829.36, 87.55
1761981467.88, 5752.15, 914.09, 1829.36, 87.55
1761981473.64, 5722.93, 914.09, 1829.36, 87.00
1761981479.36, 5954.71, 914.09, 1829.36, 88.10
1761981485.32, 5704.18, 914.09, 1829.36, 87.55
1761981491.02, 5706.55, 914.09, 1829.36, 87.55
1761981496.73, 5575.80, 914.09, 1829.36, 87.55
1761981502.31, 5757.77, 914.09, 1829.36, 87.55
1761981508.07, 5528.23, 914.09, 1829.36, 87.55
1761981513.60, 5646.20, 914.09, 1829.36, 87.55
1761981519.25, 5836.26, 914.09, 1829.36, 87.00
1761981525.09, 5699.34, 914.09, 1829.36, 88.10
1761981530.79, 5720.83, 914.09, 1829.36, 87.55
1761981536.52, 5835.76, 914.09, 1829.36, 88.10
1761981542.35, 5614.06, 914.09, 1829.36, 88.10
1761981547.97, 5881.68, 914.09, 1829.36, 88.10
1761981553.85, 7173.73, 914.09, 1829.36, 89.20
1761981561.03, 5865.88, 914.09, 1829.36, 88.10
1761981566.90, 5733.52, 914.09, 1829.36, 88.10
1761981572.63, 5637.16, 914.09, 1829.36, 88.65
1761981578.27, 5747.47, 914.09, 1829.36, 87.55
1761981584.02, 5764.33, 914.09, 1829.36, 88.10
