timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761996216.07, 3017.02, 565.68, 1508.65, 83.15
1761996219.08, 3152.90, 565.68, 1508.65, 83.70
1761996222.24, 3119.91, 565.68, 1508.65, 83.15
1761996225.36, 3149.19, 565.68, 1508.65, 83.15
1761996228.52, 3171.21, 565.68, 1508.65, 84.80
1761996231.69, 3027.60, 565.68, 1508.65, 84.80
1761996234.72, 3114.04, 565.68, 1508.65, 83.70
1761996237.83, 3116.12, 565.68, 1508.65, 84.80
1761996240.95, 3045.41, 565.68, 1508.65, 84.80
1761996244.00, 3086.22, 565.68, 1508.65, 83.70
1761996247.09, 3054.00, 565.68, 1508.65, 83.70
1761996250.15, 3062.76, 565.68, 1508.65, 83.70
1761996253.21, 3141.92, 565.68, 1508.65, 84.80
1761996256.35, 3031.41, 565.68, 1508.65, 85.35
1761996259.39, 3179.18, 565.68, 1508.65, 83.70
1761996262.57, 3252.15, 565.68, 1508.65, 83.70
1761996265.82, 3078.34, 565.68, 1508.65, 85.35
1761996268.90, 3044.52, 565.68, 1508.65, 83.70
1761996271.94, 3184.28, 565.68, 1508.65, 85.90
1761996275.13, 3288.40, 565.68, 1508.65, 84.80
1761996278.42, 3180.73, 565.68, 1508.65, 84.25
1761996281.60, 3102.31, 565.68, 1508.65, 83.15
1761996284.71, 3070.64, 565.68, 1508.65, 85.90
1761996287.78, 3165.11, 565.68, 1508.65, 84.80
1761996290.94, 3111.10, 565.68, 1508.65, 83.70
1761996294.06, 3143.44, 565.68, 1508.65, 84.25
1761996297.20, 3243.93, 565.68, 1508.65, 84.25
1761996300.45, 3304.46, 565.68, 1508.65, 86.45
1761996303.75, 3173.22, 565.68, 1508.65, 85.90
1761996306.93, 3125.34, 565.68, 1508.65, 83.70
1761996310.05, 3122.41, 565.68, 1508.65, 83.70
1761996313.17, 3201.32, 565.68, 1508.65, 84.80
1761996316.38, 3148.53, 565.68, 1508.65, 85.90
1761996319.53, 3062.30, 565.68, 1508.65, 84.80
1761996322.59, 3094.01, 565.68, 1508.65, 84.80
