timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761624097.91, 1383.00, 418.48, 1329.66, 82.60
1761624099.29, 1367.68, 418.61, 1329.66, 82.05
1761624100.66, 1253.37, 418.61, 1329.66, 83.70
1761624101.91, 1363.32, 418.61, 1329.66, 84.25
1761624103.28, 1334.85, 418.61, 1329.66, 82.60
1761624104.61, 1390.91, 418.61, 1329.66, 83.15
1761624106.01, 1313.28, 418.61, 1329.66, 83.15
1761624107.33, 1342.60, 418.61, 1329.66, 84.25
1761624108.67, 1487.88, 418.61, 1329.66, 83.15
1761624110.16, 1396.40, 418.61, 1329.66, 83.70
1761624111.56, 1526.02, 418.61, 1329.66, 83.70
1761624113.09, 1393.08, 418.61, 1329.66, 85.35
1761624114.49, 1423.27, 418.61, 1329.66, 82.60
1761624115.91, 1363.30, 418.61, 1329.66, 83.15
1761624117.27, 1414.22, 418.61, 1329.66, 83.70
1761624118.69, 1588.22, 418.61, 1329.66, 85.35
1761624120.28, 1438.47, 418.61, 1329.66, 83.15
1761624121.72, 1477.82, 418.61, 1329.66, 85.35
1761624123.20, 1487.68, 418.61, 1329.66, 83.70
1761624124.69, 1403.45, 418.61, 1329.66, 83.70
1761624126.10, 1468.30, 418.61, 1329.66, 85.35
1761624127.57, 1366.36, 418.61, 1329.66, 83.15
1761624128.94, 1486.55, 418.61, 1329.66, 83.15
1761624130.43, 1514.75, 418.61, 1329.66, 83.70
1761624131.94, 1398.28, 418.61, 1329.66, 84.80
1761624133.34, 1563.25, 418.61, 1329.66, 84.80
1761624134.91, 1455.66, 418.61, 1329.66, 85.35
1761624136.37, 1373.89, 418.61, 1329.66, 84.80
1761624137.74, 1436.26, 418.61, 1329.66, 84.25
1761624139.18, 1583.31, 418.61, 1329.66, 84.80
1761624140.77, 1578.16, 418.61, 1329.66, 85.35
1761624142.35, 1453.14, 418.61, 1329.66, 86.45
1761624143.80, 1478.24, 418.61, 1329.66, 84.80
1761624145.28, 1388.82, 418.61, 1329.66, 83.70
1761624146.67, 1555.37, 418.61, 1329.66, 84.25
1761624148.23, 1540.60, 418.61, 1329.66, 85.35
1761624149.77, 1495.31, 418.61, 1329.66, 84.25
1761624151.27, 1413.23, 418.61, 1329.66, 84.80
1761624152.68, 1446.54, 418.61, 1329.66, 85.35
1761624154.13, 1514.01, 418.61, 1329.66, 84.80
1761624155.65, 1597.27, 418.61, 1329.66, 84.25
1761624157.25, 1518.28, 418.61, 1329.66, 84.80
1761624158.77, 1469.85, 418.61, 1329.66, 84.80
1761624160.24, 1596.79, 418.61, 1329.66, 83.70
1761624161.84, 1526.17, 418.61, 1329.66, 85.35
1761624163.36, 1632.83, 418.61, 1329.66, 85.35
1761624165.00, 1479.31, 418.61, 1329.66, 84.25
1761624166.48, 1530.26, 418.61, 1329.66, 84.25
1761624168.02, 1456.25, 418.61, 1329.66, 85.35
1761624169.48, 1481.90, 418.61, 1329.66, 86.45
1761624170.96, 1573.31, 418.61, 1329.66, 84.80
1761624172.54, 1515.09, 418.61, 1329.66, 84.25
1761624174.05, 1394.59, 418.61, 1329.66, 84.25
1761624175.45, 1453.26, 418.61, 1329.66, 85.35
1761624176.90, 1473.33, 418.61, 1329.66, 84.80
1761624178.38, 1559.72, 418.61, 1329.66, 84.25
1761624179.94, 1369.35, 418.61, 1329.66, 85.90
1761624181.31, 1444.29, 418.61, 1329.66, 85.35
1761624182.76, 1623.12, 418.61, 1329.66, 84.80
1761624184.38, 1607.13, 418.61, 1329.66, 85.90
1761624185.99, 1613.14, 418.61, 1329.66, 83.15
1761624187.61, 1637.29, 418.61, 1329.66, 83.70
1761624189.25, 1619.79, 418.61, 1329.66, 85.35
1761624190.87, 1620.30, 418.61, 1329.66, 85.35
1761624192.49, 1648.37, 418.61, 1329.66, 85.35
1761624194.14, 1530.21, 418.61, 1329.66, 84.80
1761624195.68, 1382.79, 418.61, 1329.66, 85.35
1761624197.06, 1553.28, 418.61, 1329.66, 84.25
1761624198.62, 1473.53, 418.61, 1329.66, 84.80
1761624200.09, 1443.92, 418.61, 1329.66, 84.25
1761624201.54, 1452.28, 418.61, 1329.66, 84.80
1761624202.99, 1578.14, 418.61, 1329.66, 84.25
1761624204.57, 1665.99, 418.61, 1329.66, 84.25
1761624206.24, 1470.88, 418.61, 1329.66, 84.25
1761624207.71, 1510.48, 418.61, 1329.66, 84.80
