timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761998660.50, 683.98, 342.53, 1237.29, 77.65
1761998661.19, 593.42, 342.53, 1237.29, 77.10
1761998661.78, 682.87, 342.53, 1237.29, 77.65
1761998662.47, 565.95, 342.53, 1237.29, 78.20
1761998663.04, 665.44, 342.53, 1237.29, 79.30
1761998663.70, 634.29, 342.53, 1237.29, 79.85
1761998664.34, 636.78, 342.53, 1237.29, 79.85
1761998664.98, 661.28, 342.53, 1237.29, 78.75
1761998665.64, 621.84, 342.53, 1237.29, 80.40
1761998666.27, 648.66, 342.53, 1237.29, 79.85
1761998666.91, 629.97, 342.53, 1237.29, 79.30
1761998667.55, 661.23, 342.53, 1237.29, 80.40
1761998668.21, 693.75, 342.53, 1237.29, 80.40
1761998668.91, 634.76, 342.53, 1237.29, 80.40
1761998669.54, 605.44, 342.53, 1237.29, 80.40
1761998670.15, 694.52, 342.53, 1237.29, 82.60
1761998670.84, 688.22, 342.53, 1237.29, 82.05
1761998671.53, 647.46, 342.53, 1237.29, 82.05
1761998672.18, 672.73, 342.53, 1237.29, 82.60
1761998672.86, 686.11, 342.53, 1237.29, 83.70
1761998673.54, 651.06, 342.53, 1237.29, 82.60
1761998674.19, 560.40, 342.53, 1237.29, 82.05
1761998674.75, 622.74, 342.53, 1237.29, 82.05
1761998675.38, 688.01, 342.53, 1237.29, 82.60
1761998676.07, 618.27, 342.53, 1237.29, 82.60
1761998676.69, 712.24, 342.53, 1237.29, 83.70
1761998677.40, 724.27, 342.53, 1237.29, 84.25
1761998678.13, 696.47, 342.53, 1237.29, 83.70
1761998678.83, 669.22, 342.53, 1237.29, 83.15
1761998679.50, 698.59, 342.53, 1237.29, 82.05
1761998680.20, 648.63, 342.53, 1237.29, 84.80
1761998680.85, 689.74, 342.53, 1237.29, 83.70
1761998681.54, 674.71, 342.53, 1237.29, 83.70
1761998682.21, 665.77, 342.53, 1237.29, 83.70
1761998682.88, 766.68, 342.53, 1237.29, 82.60
1761998683.65, 651.24, 342.53, 1237.29, 83.70
1761998684.31, 653.27, 342.53, 1237.29, 83.15
1761998684.96, 711.25, 342.53, 1237.29, 82.60
1761998685.67, 677.46, 342.53, 1237.29, 84.25
1761998686.36, 758.63, 342.53, 1237.29, 83.15
1761998687.12, 678.28, 342.53, 1237.29, 84.80
1761998687.80, 670.70, 342.53, 1237.29, 83.70
1761998688.47, 779.27, 342.53, 1237.29, 83.70
1761998689.25, 748.39, 342.53, 1237.29, 83.15
1761998690.00, 685.50, 342.53, 1237.29, 84.25
1761998690.69, 720.37, 342.53, 1237.29, 84.25
1761998691.41, 694.56, 342.53, 1237.29, 85.35
1761998692.11, 651.62, 342.53, 1237.29, 83.70
1761998692.76, 624.53, 342.53, 1237.29, 83.70
1761998693.39, 749.31, 342.53, 1237.29, 83.70
1761998694.14, 711.52, 342.53, 1237.29, 83.15
1761998694.85, 653.89, 342.53, 1237.29, 83.70
1761998695.51, 715.32, 342.53, 1237.29, 84.80
1761998696.23, 661.39, 342.53, 1237.29, 84.25
1761998696.89, 718.94, 342.53, 1237.29, 84.25
1761998697.61, 744.82, 342.53, 1237.29, 84.80
1761998698.36, 655.25, 342.53, 1237.29, 85.90
1761998699.02, 680.21, 342.53, 1237.29, 84.25
1761998699.70, 737.84, 342.53, 1237.29, 83.70
1761998700.44, 667.89, 342.53, 1237.29, 84.25
1761998701.11, 745.17, 342.53, 1237.29, 84.80
1761998701.85, 685.29, 342.53, 1237.29, 83.70
1761998702.54, 660.47, 342.53, 1237.29, 84.25
1761998703.20, 729.05, 342.53, 1237.29, 84.25
1761998703.93, 746.73, 342.53, 1237.29, 83.15
1761998704.68, 776.28, 342.53, 1237.29, 85.35
1761998705.46, 749.25, 342.53, 1237.29, 83.70
1761998706.21, 756.45, 342.53, 1237.29, 84.80
1761998706.97, 753.26, 342.53, 1237.29, 85.35
1761998707.73, 691.28, 342.53, 1237.29, 83.15
1761998708.42, 802.76, 342.53, 1237.29, 84.25
1761998709.22, 653.09, 342.53, 1237.29, 84.80
1761998709.88, 665.53, 342.53, 1237.29, 85.35
1761998710.55, 742.66, 342.53, 1237.29, 84.25
1761998711.29, 753.80, 342.53, 1237.29, 83.15
1761998712.05, 601.32, 342.53, 1237.29, 85.90
1761998712.65, 703.70, 342.53, 1237.29, 84.25
1761998713.36, 765.18, 342.53, 1237.29, 83.15
1761998714.12, 771.89, 342.53, 1237.29, 84.80
1761998714.90, 816.42, 342.53, 1237.29, 83.70
1761998715.71, 855.19, 342.53, 1237.29, 85.35
1761998716.57, 748.70, 342.53, 1237.29, 83.70
1761998717.32, 816.12, 342.53, 1237.29, 83.70
1761998718.14, 817.69, 342.53, 1237.29, 84.25
1761998718.95, 744.92, 342.53, 1237.29, 83.15
1761998719.70, 701.23, 342.53, 1237.29, 84.25
1761998720.41, 757.22, 342.53, 1237.29, 85.90
1761998721.17, 755.26, 342.53, 1237.29, 84.25
1761998721.92, 852.15, 342.53, 1237.29, 84.80
1761998722.77, 688.95, 342.53, 1237.29, 84.80
1761998723.46, 716.50, 342.53, 1237.29, 85.35
1761998724.18, 688.30, 342.53, 1237.29, 86.45
1761998724.88, 791.31, 342.53, 1237.29, 84.80
1761998725.67, 698.70, 342.53, 1237.29, 85.35
1761998726.37, 771.88, 342.53, 1237.29, 85.35
1761998727.14, 674.74, 342.53, 1237.29, 84.25
1761998727.82, 687.64, 342.53, 1237.29, 83.70
1761998728.51, 719.68, 342.53, 1237.29, 84.25
1761998729.23, 701.07, 342.53, 1237.29, 84.80
1761998729.93, 706.02, 342.53, 1237.29, 83.70
1761998730.64, 835.27, 342.53, 1237.29, 84.80
1761998731.48, 734.78, 342.53, 1237.29, 83.70
1761998732.22, 793.81, 342.53, 1237.29, 83.70
1761998733.02, 752.75, 342.53, 1237.29, 84.80
1761998733.77, 751.15, 342.53, 1237.29, 86.45
1761998734.53, 805.30, 342.53, 1237.29, 84.80
1761998735.34, 748.65, 342.53, 1237.29, 83.70
1761998736.09, 824.73, 342.53, 1237.29, 85.90
1761998736.91, 703.62, 342.53, 1237.29, 84.80
