timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761979160.18, 190.75, 289.95, 1174.63, 62.80
1761979160.37, 192.28, 289.95, 1174.63, 63.90
1761979160.56, 194.92, 289.95, 1174.63, 62.80
1761979160.76, 181.04, 289.95, 1174.63, 62.80
1761979160.94, 174.25, 289.95, 1174.63, 62.80
1761979161.12, 224.20, 289.95, 1174.63, 62.80
1761979161.34, 167.23, 289.95, 1174.63, 64.45
1761979161.51, 205.91, 289.95, 1174.63, 63.35
1761979161.72, 192.66, 289.95, 1174.63, 63.90
1761979161.92, 200.33, 289.95, 1174.63, 64.45
1761979162.12, 193.27, 289.95, 1174.63, 66.10
1761979162.31, 183.25, 289.95, 1174.63, 64.45
1761979162.50, 193.16, 289.95, 1174.63, 65.00
1761979162.70, 189.21, 289.95, 1174.63, 65.00
1761979162.89, 253.23, 289.95, 1174.63, 63.90
1761979163.15, 224.57, 289.95, 1174.63, 65.00
1761979163.37, 183.31, 289.95, 1174.63, 64.45
1761979163.56, 157.42, 289.95, 1174.63, 65.00
1761979163.71, 171.05, 289.95, 1174.63, 66.10
1761979163.89, 195.01, 289.95, 1174.63, 66.65
1761979164.09, 213.88, 289.95, 1174.63, 66.65
1761979164.30, 212.31, 289.95, 1174.63, 66.10
1761979164.52, 215.35, 289.95, 1174.63, 66.65
1761979164.73, 218.22, 289.95, 1174.63, 67.75
1761979164.95, 218.15, 289.95, 1174.63, 66.65
1761979165.18, 220.59, 289.95, 1174.63, 67.20
1761979165.40, 199.04, 289.95, 1174.63, 68.30
1761979165.60, 260.43, 289.95, 1174.63, 66.65
1761979165.86, 203.23, 289.95, 1174.63, 67.20
1761979166.07, 204.29, 289.95, 1174.63, 68.30
1761979166.27, 262.58, 289.95, 1174.63, 67.75
1761979166.54, 225.15, 289.95, 1174.63, 69.40
1761979166.76, 221.35, 289.95, 1174.63, 69.40
1761979166.99, 197.23, 289.95, 1174.63, 67.75
1761979167.19, 184.26, 289.95, 1174.63, 67.75
1761979167.37, 214.25, 289.95, 1174.63, 68.30
1761979167.59, 169.19, 289.95, 1174.63, 68.85
1761979167.76, 173.28, 289.95, 1174.63, 67.75
1761979167.94, 169.18, 289.95, 1174.63, 68.30
1761979168.11, 180.19, 289.95, 1174.63, 69.95
1761979168.29, 190.99, 289.95, 1174.63, 67.75
1761979168.48, 206.20, 289.95, 1174.63, 68.85
1761979168.69, 201.30, 289.95, 1174.63, 68.85
1761979168.90, 205.13, 289.95, 1174.63, 70.50
1761979169.10, 174.28, 289.95, 1174.63, 69.95
1761979169.28, 205.07, 289.95, 1174.63, 69.40
1761979169.49, 195.11, 289.95, 1174.63, 68.85
1761979169.69, 209.29, 289.95, 1174.63, 69.95
1761979169.90, 199.10, 289.95, 1174.63, 68.85
1761979170.10, 219.32, 289.95, 1174.63, 71.05
1761979170.32, 205.40, 289.95, 1174.63, 71.60
1761979170.53, 236.21, 289.95, 1174.63, 69.95
1761979170.77, 187.81, 289.95, 1174.63, 71.60
1761979170.96, 197.72, 289.95, 1174.63, 69.95
1761979171.16, 188.31, 289.95, 1174.63, 70.50
1761979171.34, 175.32, 289.95, 1174.63, 71.05
1761979171.52, 201.37, 289.95, 1174.63, 70.50
1761979171.73, 195.05, 289.95, 1174.63, 71.60
1761979171.92, 189.33, 289.95, 1174.63, 72.15
1761979172.11, 192.99, 289.95, 1174.63, 71.60
1761979172.31, 196.19, 289.95, 1174.63, 72.15
1761979172.51, 178.15, 289.95, 1174.63, 71.05
1761979172.69, 196.68, 289.95, 1174.63, 70.50
1761979172.88, 194.15, 289.95, 1174.63, 71.60
1761979173.08, 220.31, 289.95, 1174.63, 71.60
1761979173.31, 195.07, 289.95, 1174.63, 72.70
1761979173.50, 197.42, 289.95, 1174.63, 71.60
1761979173.70, 193.96, 289.95, 1174.63, 71.60
1761979173.90, 198.20, 289.95, 1174.63, 71.60
1761979174.10, 186.66, 289.95, 1174.63, 72.15
1761979174.29, 195.80, 289.95, 1174.63, 72.15
1761979174.49, 187.19, 289.95, 1174.63, 71.60
1761979174.68, 177.85, 289.95, 1174.63, 72.15
1761979174.86, 187.10, 289.95, 1174.63, 73.80
1761979175.05, 176.17, 289.95, 1174.63, 73.25
1761979175.23, 178.25, 289.95, 1174.63, 72.70
1761979175.41, 155.39, 289.95, 1174.63, 72.70
1761979175.57, 208.12, 289.95, 1174.63, 72.15
1761979175.78, 236.33, 289.95, 1174.63, 72.15
1761979176.01, 199.01, 289.95, 1174.63, 73.25
1761979176.21, 217.05, 289.95, 1174.63, 72.15
1761979176.43, 215.22, 289.95, 1174.63, 74.35
1761979176.65, 203.84, 289.95, 1174.63, 72.70
1761979176.86, 211.28, 289.95, 1174.63, 72.70
1761979177.07, 191.18, 289.95, 1174.63, 73.25
1761979177.26, 180.34, 289.95, 1174.63, 72.70
1761979177.44, 216.19, 289.95, 1174.63, 73.80
1761979177.66, 201.44, 289.95, 1174.63, 72.70
1761979177.86, 215.86, 289.95, 1174.63, 73.80
1761979178.08, 176.53, 289.95, 1174.63, 73.25
1761979178.26, 210.72, 289.95, 1174.63, 73.25
1761979178.47, 164.02, 289.95, 1174.63, 73.80
1761979178.64, 184.46, 289.95, 1174.63, 74.35
1761979178.82, 233.08, 289.95, 1174.63, 72.70
1761979179.06, 198.19, 289.95, 1174.63, 73.25
1761979179.26, 202.36, 289.95, 1174.63, 73.80
1761979179.46, 181.32, 289.95, 1174.63, 73.25
1761979179.64, 213.18, 289.95, 1174.63, 74.35
1761979179.86, 176.28, 289.95, 1174.63, 73.80
1761979180.04, 193.18, 289.95, 1174.63, 74.35
1761979180.23, 188.16, 289.95, 1174.63, 74.90
1761979180.42, 189.94, 289.95, 1174.63, 73.80
1761979180.62, 168.27, 289.95, 1174.63, 74.90
1761979180.79, 197.18, 289.95, 1174.63, 74.90
1761979180.99, 195.18, 289.95, 1174.63, 73.80
1761979181.18, 193.02, 289.95, 1174.63, 74.35
1761979181.38, 208.02, 289.95, 1174.63, 75.45
1761979181.59, 192.49, 289.95, 1174.63, 75.45
1761979181.78, 167.49, 289.95, 1174.63, 74.35
1761979181.95, 170.18, 289.95, 1174.63, 74.35
1761979182.12, 229.35, 289.95, 1174.63, 73.25
1761979182.35, 174.87, 289.95, 1174.63, 73.80
1761979182.53, 160.54, 289.95, 1174.63, 74.90
1761979182.69, 218.16, 289.95, 1174.63, 74.90
1761979182.91, 194.17, 289.95, 1174.63, 74.90
1761979183.11, 176.31, 289.95, 1174.63, 74.35
1761979183.29, 211.92, 289.95, 1174.63, 74.35
1761979183.50, 201.46, 289.95, 1174.63, 76.55
1761979183.70, 198.12, 289.95, 1174.63, 76.55
1761979183.90, 190.20, 289.95, 1174.63, 74.35
1761979184.09, 204.40, 289.95, 1174.63, 76.00
1761979184.30, 163.24, 289.95, 1174.63, 76.00
1761979184.46, 178.40, 289.95, 1174.63, 76.00
1761979184.64, 219.82, 289.95, 1174.63, 75.45
1761979184.86, 221.39, 289.95, 1174.63, 76.55
1761979185.09, 172.05, 289.95, 1174.63, 75.45
1761979185.26, 215.28, 289.95, 1174.63, 75.45
1761979185.47, 165.28, 289.95, 1174.63, 75.45
1761979185.64, 203.06, 289.95, 1174.63, 76.55
1761979185.84, 153.11, 289.95, 1174.63, 75.45
1761979186.00, 191.22, 289.95, 1174.63, 75.45
1761979186.19, 220.24, 289.95, 1174.63, 76.55
1761979186.42, 200.19, 289.95, 1174.63, 76.00
1761979186.62, 205.48, 289.95, 1174.63, 76.55
1761979186.83, 194.25, 289.95, 1174.63, 77.10
1761979187.02, 145.97, 289.95, 1174.63, 77.10
1761979187.17, 185.37, 289.95, 1174.63, 76.55
1761979187.35, 206.21, 289.95, 1174.63, 76.00
1761979187.56, 223.41, 289.95, 1174.63, 76.00
1761979187.79, 209.58, 289.95, 1174.63, 76.55
1761979188.00, 205.17, 289.95, 1174.63, 76.55
1761979188.20, 186.53, 289.95, 1174.63, 77.65
1761979188.39, 197.96, 289.95, 1174.63, 76.55
1761979188.59, 208.18, 289.95, 1174.63, 77.10
1761979188.80, 228.51, 289.95, 1174.63, 77.65
1761979189.03, 195.02, 289.95, 1174.63, 76.55
1761979189.23, 216.14, 289.95, 1174.63, 78.20
1761979189.44, 223.03, 289.95, 1174.63, 77.10
1761979189.67, 162.04, 289.95, 1174.63, 78.20
1761979189.83, 206.89, 289.95, 1174.63, 77.10
1761979190.04, 203.66, 289.95, 1174.63, 77.65
1761979190.25, 197.27, 289.95, 1174.63, 77.65
1761979190.45, 158.42, 289.95, 1174.63, 78.75
1761979190.61, 218.70, 289.95, 1174.63, 77.65
1761979190.83, 226.17, 289.95, 1174.63, 78.75
1761979191.06, 181.43, 289.95, 1174.63, 78.75
1761979191.24, 205.00, 289.95, 1174.63, 77.65
1761979191.45, 193.16, 289.95, 1174.63, 78.20
1761979191.64, 188.18, 289.95, 1174.63, 79.30
1761979191.84, 183.21, 289.95, 1174.63, 79.30
1761979192.02, 188.90, 289.95, 1174.63, 77.65
1761979192.21, 196.12, 289.95, 1174.63, 78.20
1761979192.41, 196.45, 289.95, 1174.63, 79.30
1761979192.61, 191.09, 289.95, 1174.63, 78.20
1761979192.80, 191.20, 289.95, 1174.63, 77.65
1761979192.99, 230.23, 289.95, 1174.63, 78.75
1761979193.23, 206.43, 289.95, 1174.63, 78.20
1761979193.44, 189.18, 289.95, 1174.63, 78.75
1761979193.63, 199.22, 289.95, 1174.63, 78.75
1761979193.83, 159.18, 289.95, 1174.63, 78.75
1761979193.99, 208.86, 289.95, 1174.63, 78.75
1761979194.20, 205.27, 289.95, 1174.63, 78.75
1761979194.41, 192.37, 289.95, 1174.63, 78.20
1761979194.60, 203.23, 289.95, 1174.63, 78.75
1761979194.81, 188.18, 289.95, 1174.63, 79.30
1761979195.00, 194.25, 289.95, 1174.63, 80.40
1761979195.19, 168.83, 289.95, 1174.63, 78.75
1761979195.36, 184.46, 289.95, 1174.63, 79.30
1761979195.55, 184.55, 289.95, 1174.63, 78.75
1761979195.73, 155.12, 289.95, 1174.63, 78.20
1761979195.89, 213.91, 289.95, 1174.63, 79.30
1761979196.10, 193.19, 289.95, 1174.63, 80.40
1761979196.30, 176.62, 289.95, 1174.63, 79.85
1761979196.48, 179.52, 289.95, 1174.63, 78.20
1761979196.66, 203.19, 289.95, 1174.63, 79.30
1761979196.86, 203.41, 289.95, 1174.63, 78.75
1761979197.07, 209.38, 289.95, 1174.63, 80.95
1761979197.28, 206.56, 289.95, 1174.63, 78.75
1761979197.49, 203.86, 289.95, 1174.63, 79.85
1761979197.70, 205.64, 289.95, 1174.63, 80.40
1761979197.90, 192.14, 289.95, 1174.63, 79.85
1761979198.10, 196.48, 289.95, 1174.63, 79.30
1761979198.29, 199.15, 289.95, 1174.63, 79.85
1761979198.49, 178.23, 289.95, 1174.63, 80.40
1761979198.67, 190.49, 289.95, 1174.63, 79.85
1761979198.86, 193.86, 289.95, 1174.63, 81.50
1761979199.06, 210.19, 289.95, 1174.63, 80.95
1761979199.27, 226.34, 289.95, 1174.63, 80.40
1761979199.50, 172.35, 289.95, 1174.63, 81.50
1761979199.67, 190.93, 289.95, 1174.63, 80.40
1761979199.86, 179.46, 289.95, 1174.63, 80.95
1761979200.04, 233.30, 289.95, 1174.63, 80.95
1761979200.28, 230.36, 289.95, 1174.63, 79.85
1761979200.51, 187.86, 289.95, 1174.63, 80.40
1761979200.70, 170.28, 289.95, 1174.63, 81.50
1761979200.87, 200.95, 289.95, 1174.63, 80.95
1761979201.08, 191.34, 289.95, 1174.63, 82.05
1761979201.27, 187.22, 289.95, 1174.63, 81.50
1761979201.46, 197.12, 289.95, 1174.63, 81.50
1761979201.66, 236.43, 289.95, 1174.63, 82.05
1761979201.89, 178.44, 289.95, 1174.63, 80.40
1761979202.07, 187.25, 289.95, 1174.63, 81.50
1761979202.26, 191.32, 289.95, 1174.63, 80.95
1761979202.45, 191.36, 289.95, 1174.63, 80.95
1761979202.65, 176.30, 289.95, 1174.63, 81.50
1761979202.82, 180.37, 289.95, 1174.63, 81.50
1761979203.00, 217.41, 289.95, 1174.63, 82.60
1761979203.23, 176.16, 289.95, 1174.63, 80.95
1761979203.40, 204.26, 289.95, 1174.63, 83.70
1761979203.61, 193.18, 289.95, 1174.63, 80.95
1761979203.80, 198.18, 289.95, 1174.63, 81.50
1761979204.00, 193.33, 289.95, 1174.63, 82.60
1761979204.20, 192.33, 289.95, 1174.63, 81.50
1761979204.39, 197.25, 289.95, 1174.63, 82.60
1761979204.59, 194.20, 289.95, 1174.63, 82.05
1761979204.79, 194.15, 289.95, 1174.63, 82.05
1761979204.99, 201.33, 289.95, 1174.63, 83.15
1761979205.19, 175.22, 289.95, 1174.63, 81.50
1761979205.37, 176.78, 289.95, 1174.63, 82.60
1761979205.55, 174.30, 289.95, 1174.63, 82.05
1761979205.72, 179.38, 289.95, 1174.63, 82.60
1761979205.90, 224.95, 289.95, 1174.63, 82.05
1761979206.13, 202.21, 289.95, 1174.63, 82.05
1761979206.33, 207.42, 289.95, 1174.63, 80.95
1761979206.54, 179.18, 289.95, 1174.63, 82.05
1761979206.72, 179.40, 289.95, 1174.63, 83.15
1761979206.91, 178.60, 289.95, 1174.63, 82.60
1761979207.08, 198.00, 289.95, 1174.63, 82.05
1761979207.29, 158.16, 289.95, 1174.63, 84.25
1761979207.45, 213.35, 289.95, 1174.63, 83.70
1761979207.66, 270.84, 289.95, 1174.63, 82.05
1761979207.93, 153.82, 289.95, 1174.63, 82.05
1761979208.09, 189.20, 289.95, 1174.63, 84.25
1761979208.28, 190.40, 289.95, 1174.63, 83.15
1761979208.47, 179.28, 289.95, 1174.63, 82.05
1761979208.65, 185.13, 289.95, 1174.63, 82.60
1761979208.84, 220.47, 289.95, 1174.63, 82.05
1761979209.06, 172.03, 289.95, 1174.63, 82.05
1761979209.23, 180.24, 289.95, 1174.63, 82.05
1761979209.41, 198.25, 289.95, 1174.63, 82.60
1761979209.61, 185.21, 289.95, 1174.63, 82.05
1761979209.80, 181.27, 289.95, 1174.63, 82.05
1761979209.99, 207.27, 289.95, 1174.63, 82.60
1761979210.19, 211.33, 289.95, 1174.63, 82.60
1761979210.41, 185.50, 289.95, 1174.63, 83.70
1761979210.59, 191.28, 289.95, 1174.63, 82.60
1761979210.78, 161.40, 289.95, 1174.63, 82.60
1761979210.95, 171.20, 289.95, 1174.63, 83.15
1761979211.12, 246.04, 289.95, 1174.63, 82.60
1761979211.37, 221.58, 289.95, 1174.63, 81.50
1761979211.59, 192.28, 289.95, 1174.63, 83.15
1761979211.78, 196.21, 289.95, 1174.63, 84.80
1761979211.98, 215.58, 289.95, 1174.63, 82.05
1761979212.20, 199.15, 289.95, 1174.63, 82.60
1761979212.40, 211.11, 289.95, 1174.63, 82.60
1761979212.61, 171.11, 289.95, 1174.63, 84.25
1761979212.78, 181.45, 289.95, 1174.63, 82.60
1761979212.97, 177.16, 289.95, 1174.63, 83.70
1761979213.14, 207.09, 289.95, 1174.63, 84.80
1761979213.35, 237.30, 289.95, 1174.63, 83.70
1761979213.59, 160.71, 290.08, 1174.63, 83.70
1761979213.75, 236.63, 290.08, 1174.63, 82.60
1761979213.99, 190.53, 290.08, 1174.63, 82.60
1761979214.18, 188.88, 290.08, 1174.63, 84.25
1761979214.37, 227.05, 290.08, 1174.63, 83.70
1761979214.60, 194.10, 290.08, 1174.63, 84.25
