timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1761627393.50, 1042.42, 399.94, 1333.51, 81.50
1761627394.55, 1043.17, 399.94, 1333.51, 82.05
1761627395.59, 1092.35, 399.94, 1333.51, 82.05
1761627396.69, 1097.15, 399.94, 1333.51, 83.15
1761627397.78, 1111.49, 399.94, 1333.51, 82.05
1761627398.90, 1153.44, 399.94, 1333.51, 82.60
1761627400.06, 1067.18, 399.94, 1333.51, 84.25
1761627401.12, 1117.44, 399.94, 1333.51, 82.60
1761627402.25, 1126.19, 399.94, 1333.51, 83.15
1761627403.38, 1113.24, 399.94, 1333.51, 84.25
1761627404.49, 1091.49, 399.94, 1333.51, 83.70
1761627405.58, 1101.89, 399.94, 1333.51, 83.70
1761627406.69, 1067.37, 399.94, 1333.51, 83.15
1761627407.76, 1178.28, 399.94, 1333.51, 82.05
1761627408.94, 1093.17, 399.94, 1333.51, 84.80
1761627410.03, 1017.47, 399.94, 1333.51, 83.70
1761627411.05, 1120.77, 399.94, 1333.51, 84.80
1761627412.18, 1033.43, 399.94, 1333.51, 84.25
1761627413.21, 1165.43, 400.06, 1333.51, 83.70
1761627414.38, 1147.10, 400.06, 1333.51, 83.70
1761627415.52, 1130.30, 400.06, 1333.51, 85.35
1761627416.66, 1085.54, 400.06, 1333.51, 83.70
1761627417.74, 1145.44, 400.06, 1333.51, 84.80
1761627418.89, 1209.45, 400.06, 1333.51, 85.35
1761627420.10, 1224.58, 400.06, 1333.51, 83.70
1761627421.33, 1155.94, 400.06, 1333.51, 84.25
1761627422.49, 1154.11, 400.06, 1333.51, 83.70
1761627423.64, 1146.20, 400.06, 1333.51, 84.25
1761627424.79, 1122.10, 400.06, 1333.51, 83.70
1761627425.91, 1189.21, 400.06, 1333.51, 84.80
1761627427.10, 1148.16, 400.06, 1333.51, 84.80
1761627428.26, 1108.30, 400.06, 1333.51, 84.25
1761627429.36, 1165.38, 400.06, 1333.51, 84.80
1761627430.53, 1101.39, 400.06, 1333.51, 84.25
1761627431.64, 1221.60, 400.06, 1333.51, 84.80
1761627432.86, 1143.62, 400.06, 1333.51, 84.25
1761627434.01, 1146.74, 400.06, 1333.51, 84.25
1761627435.16, 1088.27, 400.06, 1333.51, 85.90
1761627436.24, 1288.73, 400.06, 1333.51, 84.25
1761627437.53, 1134.70, 400.06, 1333.51, 84.25
1761627438.67, 1131.53, 400.06, 1333.51, 84.25
1761627439.80, 1191.12, 400.06, 1333.51, 84.25
1761627441.00, 1161.09, 400.06, 1333.51, 84.25
1761627442.16, 1251.33, 400.06, 1333.51, 84.25
1761627443.41, 1179.39, 400.06, 1333.51, 83.70
1761627444.60, 1248.36, 400.06, 1333.51, 84.80
