timestamp, inference_time_ms, memory_rss_mb, memory_vms_mb, temperature_c
1764328869.89, 359.36, 313.79, 1201.92, 66.65
1764328870.26, 403.76, 313.79, 1201.92, 68.30
1764328870.66, 423.59, 313.79, 1201.92, 67.75
1764328871.09, 388.23, 313.79, 1201.92, 67.20
1764328871.48, 407.67, 313.79, 1201.92, 67.20
1764328871.89, 323.64, 313.79, 1201.92, 67.75
1764328872.22, 434.50, 313.79, 1201.92, 67.75
1764328872.65, 344.82, 313.79, 1201.92, 67.75
1764328873.00, 298.24, 313.79, 1201.92, 68.85
1764328873.30, 450.17, 313.79, 1201.92, 69.95
1764328873.75, 365.05, 313.79, 1201.92, 68.85
1764328874.12, 372.21, 313.79, 1201.92, 68.85
1764328874.49, 400.77, 313.79, 1201.92, 69.95
1764328874.90, 360.13, 313.79, 1201.92, 70.50
1764328875.26, 336.87, 313.79, 1201.92, 69.95
1764328875.60, 405.21, 313.79, 1201.92, 70.50
1764328876.01, 428.64, 313.79, 1201.92, 70.50
1764328876.44, 314.75, 313.79, 1201.92, 71.05
1764328876.76, 398.27, 313.79, 1201.92, 70.50
1764328877.16, 415.90, 313.79, 1201.92, 70.50
1764328877.58, 368.35, 313.79, 1201.92, 72.70
1764328877.95, 392.17, 313.79, 1201.92, 71.60
1764328878.35, 353.82, 313.79, 1201.92, 71.60
1764328878.70, 364.56, 313.79, 1201.92, 73.80
1764328879.07, 417.33, 313.79, 1201.92, 72.15
1764328879.49, 391.98, 313.79, 1201.92, 72.15
1764328879.89, 380.19, 313.79, 1201.92, 72.70
1764328880.27, 398.17, 313.79, 1201.92, 72.70
1764328880.67, 395.25, 313.79, 1201.92, 73.25
1764328881.07, 410.33, 313.79, 1201.92, 73.80
1764328881.49, 389.89, 313.79, 1201.92, 73.25
1764328881.88, 397.45, 313.79, 1201.92, 73.25
1764328882.28, 389.17, 313.79, 1201.92, 73.80
1764328882.67, 401.81, 313.79, 1201.92, 73.80
1764328883.08, 395.17, 313.79, 1201.92, 74.35
1764328883.47, 390.57, 313.79, 1201.92, 74.35
1764328883.86, 356.08, 313.79, 1201.92, 75.45
1764328884.22, 419.50, 313.79, 1201.92, 73.80
1764328884.65, 413.04, 313.79, 1201.92, 74.90
